author_repo,wf_contents,security_policy
jwasham/coding-interview-university,Links Checker' 'active' '16201436,
CyC2018/CS-Notes,pages-build-deployment' 'active' '19311481,
trekhleb/javascript-algorithms,CI' 'active' '4550796,
TheAlgorithms/Python,directory_writer' 'active' '16629' 'codespell' 'active' '403742' 'Project Euler' 'active' '3033667' 'build' 'active' '3711979' 'mypy' 'active' '6904386' 'monkeytype' 'active' '7229749' 'Qodana' 'active' '33123208,
yangshun/tech-interview-handbook,New workflow' 'active' '163339' 'Lint' 'active' '37072988' 'Typecheck' 'active' '37072987' 'pages-build-deployment' 'active' '16490027,
kdn251/interviews,,
azl397985856/leetcode,Compress images' 'active' '158201' 'Continuous Integration' 'active' '22197577' 'pages-build-deployment' 'active' '16532400,
TheAlgorithms/Java,Java gradle CI' 'active' '262893' 'Build' 'active' '3166674' 'CodeQL' 'active' '6754791' 'Close stale issues and PRs' 'active' '13213231' 'Update Directory' 'active' '13560767' 'Prettify' 'disabled_manually' '13560913,
algorithm-visualizer/algorithm-visualizer,,
youngyangyang04/leetcode-master,,
halfrost/LeetCode-Go,Deploy《LeetCode-Cookbook》' 'active' '2065226,
huihut/interview,pages-build-deployment' 'active' '21233709,
crossoverJie/JCSprout,,
donnemartin/interactive-coding-challenges,,
TheAlgorithms/JavaScript,Node CI' 'active' '176352' 'update_directory_md' 'active' '177052' 'Continuous Integration' 'active' '14675188' 'Update Directory' 'active' '14675248' 'Codacy Analysis CLI' 'active' '32977381' 'Javascript Algorithm CI' 'active' '32977382,
TheAlgorithms/C-Plus-Plus,Doxygen CI' 'active' '1620215' 'Awesome CI Workflow' 'active' '1623885' 'CodeQL' 'active' '6657497' 'Add "approved" label when approved' 'active' '8927500' 'Close stale issues and PRs' 'active' '13132521' 'pages-build-deployment' 'active' '17210565' 'Check Code Coverage' 'active' '33952880' 'CodeQL' 'active' '35965304' 'CodeQL' 'active' '35989994,
keon/algorithms,Python application' 'active' '19938700,
trekhleb/homemade-machine-learning,,
mxgmn/WaveFunctionCollapse,,
