author_repo,wf_contents,security_policy
milligram/milligram,,
ampproject/amp-wp,Build' ' test & measure' 'active' '1364807' 'Auto Cancel' 'active' '6656342' 'Release Drafter' 'active' '8877897' 'Dependabot auto-merge' 'active' '9250167' 'Gutenberg packages update' 'active' '9794522' 'CodeQL' 'active' '13145974' 'Release Draft' 'active' '13226409,The AMP Project accepts responsible security disclosures through the Google' 'Application Security program
AlexHex7/Non-local_pytorch,,
wprig/wprig,,
ampproject/amp-by-example,,
GoogleForCreators/web-stories-wp,Update Google Fonts' 'active' '486708' 'Clean up PR assets' 'active' '1211720' 'Migrate Templates' 'active' '1867695' 'Deploy to Firebase Hosting' 'active' '2474965' 'CodeQL' 'active' '2802791' 'Plugin Release' 'active' '5862860' 'PHP Unit Tests' 'active' '6600855' 'Editor Integration Tests' 'active' '6600856' 'JavaScript Unit Tests' 'active' '6600858' 'Dashboard Integration Tests' 'active' '6600859' 'Lint PHP' 'active' '6600860' 'Lint CSS/JS/MD' 'active' '6600861' 'E2E Tests' 'active' '6600862' 'Build plugin' 'active' '6600863' 'Deploy to GH Pages' 'active' '6600865' 'Add milestone' 'active' '9789476' 'Update browserslist db' 'active' '12072238' 'npm Release' 'active' '15855374' 'pages-build-deployment' 'active' '16765746' 'Update Product Schema' 'active' '25194233' 'PHP Unit Tests' 'disabled_manually' '1281821' 'CSS Lints' 'disabled_manually' '1281822' 'JavaScript Lints' 'disabled_manually' '1281825' 'JavaScript Unit Tests' 'disabled_manually' '1281827' 'Bundle size check' 'disabled_manually' '1281828' 'PHP Lints' 'disabled_manually' '1281829' 'Build plugin' 'disabled_manually' '1281830' 'E2E Tests' 'disabled_manually' '1281831' 'Markdown Lints' 'disabled_manually' '1281832' 'Dashboard Integration Tests' 'disabled_manually' '1680114' 'Edit Story Integration Tests' 'disabled_manually' '1680115' 'Cancel previous workflows' 'disabled_manually' '4338477' 'PR Tasks Completed Check' 'disabled_manually' '5190730' 'Lint I18N' 'disabled_manually' '8083242' 'Scorecards supply-chain security' 'disabled_manually' '21868693,SSuuppppoorrtteedd VVeerrssiioonnss' 'We support the latest stable version of the plugin with security updates' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability in this repository please contact the Google' 'Security Team at gcovulnz
DeepVAC/deepvac,,
EmbeddedRPC/erpc,clang-format lint' 'active' '2920226' 'Greetings' 'active' '2920081,
ampproject/amp-toolbox,CI' 'active' '563891,
xtrime-ru/TelegramApiServer,,
juusaw/amp-jekyll,,
NVlabs/STEP,,
wildhaber/gohugo-amp,,
nuxt-community/amp-module,,
holmesian/Typecho-AMP,,
Alfresco/alfresco-sdk,,
ahmedkaludi/accelerated-mobile-pages,,
da2x/amp2html,,
Codeinwp/neve,PHP Tests' 'active' '607032' 'NPM Tests' 'active' '609071' 'Deploy' 'active' '624032' 'Deploy to stagings' 'active' '700725' 'Release' 'active' '806223' 'Add to project' 'active' '1170159' 'Check for merge conflicts' 'active' '1402524' 'Trigger visual on PR comment' 'active' '2067308' 'Build and Deploy StoryBook 🚀' 'active' '4975613' '.github/workflows/e2e-storybook.yml' 'active' '5350980' 'Update language files' 'active' '6499738' 'Verify PR' 'active' '8455630' '.github/workflows/pr-announcer-docs.yml' 'active' '8558175' 'Translations Diff' 'active' '10583305' 'Sync branches' 'active' '11909837' 'Update Google Fonts' 'active' '12521483' 'Build and Publish NPM Package 🚀' 'active' '14177954' 'pages-build-deployment' 'active' '16428166' 'Build and test Playwright' 'active' '40558947,
davidcalhoun/jstoxml,unit testing' 'active' '22534261,
nxp-mcuxpresso/rpmsg-lite,pages-build-deployment' 'active' '18084016,
KilledMufasa/AmputatorBot,,
rkazakov/ampify,,
google/amp-pwa-demo,,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
asurcodes/amperage,,
treebohotels/leaf-ui,,
tuntorius/mightier_amp,,
wildhaber/offline-first-sw,,
Ariel-Rodriguez/react-amp-template,,
milligram/awesome-milligram,,
ahmedkaludi/amp-theme-framework,,
jrnelson90/tinderboxpedal,,
takafumir/rails_amp,,
ahmedkaludi/pwa-for-wp,,
magyarandras/amp-converter,test' 'active' '15335050,
ahmedkaludi/schema-and-structured-data-for-wp,,
MitchTalmadge/AMP-dockerized,Build' 'active' '9730595' 'Check for Updates' 'active' '15064647' 'Auto Deploy Staging Branches' 'active' '15098575' 'Deploy Production' 'active' '15098576' 'Deploy Staging' 'active' '15098577,
niutech/amp-spectre,,
huyb1991/hugo-lamp,,
pdevty/amp,,
jiansing/gridea-theme-inlineamp,,
niutech/amp-browser,,
wplemon/gridd,,
jafaircl/gatsby-plugin-amp,,
onwidget/storybook-amp,,
benatespina/AMPTwigTheme,,
L3o-pold/prestashopamp,,
verkstedt/react-amp-components,,
jimmy319/amp-react-renderer-plugin,Component Build' 'active' '14007806' 'Npm Publish' 'active' '14007807,
NeuroFan/Compressive_Sensing_C_and_MATLAB,,
YouCount/youcount.github.io,,
niutech/amp-surface,,
mizchi/dev,,
dgradecak/alfresco-mvc,build' 'active' '39706117,
felixarntz/wp-gdpr-cookie-notice,Integration Test PHP' 'active' '7437681' 'Lint PHP' 'active' '7437541' 'Unit Test PHP' 'active' '7437682,
jessehanley/wordpress-amp-theme,,
0x00000001A/watosan,,
ProGM/rails-google-amp-example,,
viko-ai/hugo-amp-theme,,
better-studio/better-amp,,
niutech/amp-mui,,
Ismaestro/ampjucks,,
devadvance/terminalcheatsheet,linting' 'active' '2841825' 'pages-build-deployment' 'active' '17143078,
DrKain/tidy-url,,
chasefinch/amp-renderer,PyPI' 'active' '2306970,
add-my-pet/DEBtool_M,pages-build-deployment' 'active' '16725221,
niutech/amp-browser-extension,,
chriskyfung/amp-affiliately-jekyll-theme,CodeQL' 'active' '8390570' 'Build and Deploy Jekyll to Github Pages' 'active' '13622239' 'pages-build-deployment' 'active' '19662231,
godofredoninja/Hodor-AMP-Ghost,,
eh3rrera/node-amp-live-list,,
anasrar/AMP-Journal,,
xgqfrms/cdn,GitHub Actions Testing ✅' 'active' '30611526' 'pages-build-deployment' 'active' '16715854,
gdgpisa/gdgpisa.github.io,pages-build-deployment' 'active' '21563950,
EFTEC/AMPGeneratorOne,,
AberHu/ImageNet-training,,
realGuys/MadelineProtoPluginSystem,,
sdeleon28/IgnitionGuitarAmp,,
kolappannathan/amp-blogger-templates,,SSuuppppoorrtteedd VVeerrssiioonnss' 'Only the latest release of an active project is supported Archived projects' 'are not supported and wont be patched' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'For bugs and feature requests raise an Issue at GitHub To report security' 'vulnerabilities privately you can use this Google Form
cbschuld/monoprice-multizone-interface,,
varunon9/amp4email,,
Financial-Times/google-amp,,
onwidget/awesome-amp,Lint' 'active' '27742612' 'pages-build-deployment' 'active' '27556365,
nxp-mcuxpresso/rpmsg-sysfs,,
hanover-computing/normalize-url-plus,CodeQL' 'active' '13717120' 'OSSAR' 'active' '13717123,
oahehc/dfp-examples,,
yasglobal/permalinks-customizer,,
herget/investing-guide,Build and Deploy' 'active' '2237498,
FGRibreau/rss-to-amp-stories,,
aws-observability/amp-eks-iam,,If you discover a potential security issue in this project we ask that you' 'notify AWSAmazon Security via our vulnerability reporting page or directly via' 'email to awssecurityamazoncom Please do nnoott create a public GitHub issue
gve-sw/amp,,
Ennexa/composer-amp-update-cache,,
Parbhat/wagtail-amp,,
qianduan/Next,,
bobo0810/PytorchExample,,
lovefields/dragonEditor,Publish' 'active' '11411780' 'pages-build-deployment' 'active' '23540433,
ArborealAudio/STR-X,,
mizchi/next-amp-tailwind-purgecss,,
sebastianbenz/eleventy-base-amp-blog,,
tomayac/amp-tube,,
rkazakov/postxml-amp,,
killshot13/google-web-stories-template,,
juliaaano/juliaaano,ci-cd' 'active' '12808427' 'pages-build-deployment' 'active' '20580269,
ampier-io/ampier-framework,,
niutech/google-search-timeline,,
Blueshoe/django-amp-tools,,
Shank2358/DCNv2,,
Lei-IT/GMAMP,,
dotenorio/palestras,,
asurcodes/amp-optimizer-action,,
intentfulmotion/hw-amp,,
SustainableCommunityDevelopmentHub/hugo_site,,
nischayn22/Amp,,
ricardofiorani/php-cloudflare-amp-validator,,
MatheusHAS/clear-amp-cache-serverless,,
dorokhin/amp-tools,Python application' 'active' '10623347' 'Python application' 'active' '10623385' 'Publish Python 🐍 distributions 📦 to PyPI' 'active' '31060553' 'CodeQL' 'disabled_inactivity' '13006966,
rtCamp/amp-admanager,Inspections' 'active' '157525' 'Inspections' 'active' '393055,
m1guelpf/book-story,,
jschmidtnj/mywebsite2,,
mazipan/simple-ampify,,
chasefinch/django-amp-renderer,PyPI' 'active' '2308151,
yukagil/vue-amp-shadow,,
bluemwhitew/bluemwhitew.photography,Deploy' 'active' '2258635,
petanikode/amp-tools,,
ahmedkaludi/level-up,,
kirbyhackett/amp-email,,
Eloston/amp-switcher-chrome,,
jonathanrjpereira/555-Electronic-Car-Horn,,
j26design/Disqus-AMP-Integration,,
ArroWsGM/amped-laravel,,
JayHoltslander/Animated-SVG-in-AMP,,
chrisrhymes/mustang-sally,,
aav7fl/website-legacy,,
thebradleysanders/Monoprice-6-Zone-Home-Controller,,
ClearCadence/alfresco_http_activiti_client,,
JamesIves/bolt-cms-amp-filter,,
aws-samples/prometheus-grafana-getting-started-webinar,,If you discover a potential security issue in this project we ask that you' 'notify AWSAmazon Security via our vulnerability reporting page or directly via' 'email to awssecurityamazoncom Please do nnoott create a public GitHub issue
dsewnr/go-amp-update-cache,Go' 'active' '230074,
yhb-flydream/docs,,
xwp/syntaxhighlighter-amplified,,
mehedimi/laravel-amp-mail,,
