author_repo,wf_contents,security_policy
sindresorhus/awesome,.github/workflows/main.yml' 'active' '8283370,
vinta/awesome-python,,
awesome-selfhosted/awesome-selfhosted,Run syntax test' 'active' '14408039' 'Pull Request Checks' 'active' '10904188,
avelino/awesome-go,Check For Stale Repositories' 'active' '2713637' 'site-deploy' 'active' '16744506' 'tests' 'active' '16360206,
trimstray/the-book-of-secret-knowledge,,
papers-we-love/papers-we-love,lychee' 'active' '14056441,
521xueweihan/HelloGitHub,,
Hack-with-Github/Awesome-Hacking,,
jaywcjlove/awesome-mac,GitHub Actions Build and Deploy awesome-mac' 'active' '225195' 'GitHub Actions Build and Deploy awesome-mac' 'active' '39812' 'pages-build-deployment' 'active' '16991520,
DopplerHQ/awesome-interview-questions,Markdown link checker' 'active' '8274465,
sindresorhus/awesome-nodejs,,
MunGell/awesome-for-beginners,Build' 'active' '33570910' 'Check on Invalid PR' 'active' '33570911,
wasabeef/awesome-android-ui,,
prakhar1989/awesome-courses,pages-build-deployment' 'active' '36691484,
Solido/awesome-flutter,pages-build-deployment' 'active' '17112834,
fffaraz/awesome-cpp,,
binhnguyennus/awesome-scalability,pages-build-deployment' 'active' '16736121,SSuuppppoorrtteedd VVeerrssiioonnss' 'Use this section to tell people about which versions of your project are' 'currently being supported with security updates' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x   ' 'x   ' 'x   ' '    ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Use this section to tell people how to report a vulnerability' 'Tell them where to go how often they can expect to get an update on a reported' 'vulnerability what to expect if the vulnerability is accepted or declined' 'etc
vsouza/awesome-ios,,
tiimgreen/github-cheat-sheet,,
dypsilon/frontend-dev-bookmarks,,
akullpp/awesome-java,,
brillout/awesome-react-components,Update Table of Contents' 'active' '2649990,
serhii-londar/open-source-mac-os-apps,Generate Readme' 'active' '13260206' 'Check PR' 'active' '13261223,
dkhamsing/open-source-ios-apps,Pull Request' 'active' '12048942' 'Ruby' 'active' '892058' 'Update Metadata' 'active' '12571765,
rust-unofficial/awesome-rust,Automatic Approve' 'active' '10372028' 'Lint' 'active' '12018088' 'Rust' 'active' '5447089,
ziadoz/awesome-php,Awesome Bot' 'active' '213536' 'Awesome Bot' 'active' '104881,
goabstract/Awesome-Design-Tools,,
herrbischoff/awesome-macos-command-line,,
alebcay/awesome-shell,GitHub Actions CI' 'active' '8418136,
AllThingsSmitty/css-protips,,
veggiemonk/awesome-docker,' 'active' '129091' 'Pull Requests' 'active' '1014644,
lukasz-madon/awesome-remote-job,,
sindresorhus/awesome-electron,,
DovAmir/awesome-design-patterns,pages-build-deployment' 'active' '33128791,
matteocrippa/awesome-swift,PR Approved' 'active' '10976597' 'PullRequest Check' 'active' '10976609,
ascoders/weekly,,
