author_repo,wf_contents,security_policy
ohmyzsh/ohmyzsh,Triage Pull Request' 'active' '148722' 'CI' 'active' '493439' 'Project tracking' 'active' '17209357,SSuuppppoorrtteedd VVeerrssiioonnss' 'At the moment Oh My Zsh only considers the very latest commit to be supported' 'We combine that with our fast response to incidents and the automated updates' 'to minimize the time between vulnerability publication and patch release' 'VVeerrssiioonn       SSuuppppoorrtteedd' 'master        ' 'other commits ' 'In the near future we will introduce versioning so expect this section to' 'change' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'DDoo nnoott ssuubbmmiitt aann iissssuuee oorr ppuullll rreeqquueesstt this might reveal the vulnerability' 'Instead you should email the maintainers directly at sseeccuurriittyyoohhmmyyzzsshh' 'We will deal with the vulnerability privately and submit a patch as soon as' 'possible' 'You can also submit your vulnerability report to huntrdev and see if you can' 'get a bounty reward
junegunn/fzf,Test fzf on Linux' 'active' '4916903' 'CodeQL' 'active' '5453195' 'Dependency Review' 'active' '26109826' 'Differential ShellCheck' 'active' '33632646' 'Test fzf on macOS' 'disabled_manually' '4916904,
sharkdp/bat,CICD' 'active' '1455323' 'Toxicity check' 'active' '8406321,
sherlock-project/sherlock,Pull Request Action' 'active' '1331359' 'Tests' 'active' '1369105' 'Nightly' 'active' '1369312,
google/zx,Check' 'active' '27391687' 'Dev Publish' 'active' '33463460' 'Publish' 'active' '9182860' 'Test' 'active' '9183711,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
wagoodman/dive,CodeQL' 'active' '21213982' 'Codespell' 'active' '21214288' 'Lint Code Base' 'active' '21583900' 'app-pipeline' 'active' '76136,
BurntSushi/ripgrep,ci' 'active' '179444' 'ci' 'active' '1463' 'release' 'active' '772960,
chubin/cheat.sh,Differential ShellCheck' 'active' '34579346' 'Ubuntu Tests' 'active' '2960959,
jesseduffield/lazygit,Continuous Integration' 'active' '806575' 'Continuous Delivery' 'active' '825661' 'CodeQL' 'active' '7897454' 'Check Cheatsheet' 'active' '17305485' 'Generate Sponsors README' 'active' '25890455' 'Build PR Image' 'active' '40246449' 'Codespaces Prebuilds' 'active' '40351932,
cli/cli,Tests' 'active' '25016' 'goreleaser' 'active' '29504' 'Lint' 'active' '925645' 'Code Scanning' 'active' '1208059' 'PR Automation' 'active' '6579755' 'Issue Automation' 'active' '15766164' 'manual winget bump' 'active' '20916803' 'Go' 'disabled_manually' '218150,including the open source code repositories managed through our GitHub' 'organizations such as cli' 'If you believe you have found a security vulnerability in GitHub CLI you can' 'report it to us in one of two ways' '     Report it to this repository directly using private vulnerability' '      reporting Such reports are not eligible for a bounty reward' '     Submit the report through HackerOne to be eligible for a bounty reward' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'ddiissccuussssiioonnss oorr ppuullll rreeqquueessttss' 'Thanks for helping make GitHub safe for everyone
spf13/cobra,Mark stale issues and pull requests' 'active' '930156' 'Test' 'active' '5667734' 'Pull Request Labeler' 'active' '5832437' 'size-labeler' 'active' '20529368,
n8n-io/n8n,Docker Image CI' 'active' '113113' 'Docker Nightly Image CI' 'active' '4578556' 'Run test workflows' 'active' '9521460' 'Test Pull Requests' 'active' '33322401' 'Test Master' 'active' '33323319' 'Docker Base Image CI' 'active' '33720002' 'Check PR title' 'active' '34833785' 'Test Postgres and MySQL schemas' 'active' '38488372' 'End-to-End tests' 'active' '41758357' 'Check Documentation URLs' 'active' '43770745' 'Node CI' 'disabled_manually' '74046,Please report suspected security vulnerabilities to sseeccuurriittyynnnniioo You will' 'receive a response from us within  hours If the issue is confirmed we will' 'release a patch as soon as possible depending on complexity but historically' 'within a few days
alebcay/awesome-shell,GitHub Actions CI' 'active' '8418136,
angular/angular-cli,Lock Inactive Issues' 'active' '13251' 'Lock Inactive Issues' 'active' '184351' 'DevInfra' 'active' '12185635' 'Feature request triage bot' 'active' '19011829' 'OpenSSF Scorecard' 'active' '19424607' 'DevInfra' 'active' '40917433,for vulnerabilities in Angular please submit your report here' 'For more information on Angulars security policy visit httpsangulario' 'guidesecurity
sharkdp/fd,CICD' 'active' '11202521,
httpie/httpie,Build' 'active' '188232' 'Check Brew Formula' 'active' '12908499' 'Tests' 'active' '12958068' 'Coverage' 'active' '12958070' 'Code Style Check' 'active' '12958454' 'Snap package' 'active' '13025315' 'Check installation instructions' 'active' '13862768' 'Check Markdown Style' 'active' '13872287' 'Test Brew Package (MacOS)' 'active' '13872288' 'Test Snap Package (Linux)' 'active' '13872289' 'Deploy Documentation' 'active' '13897022' 'Release on Snap' 'active' '13975579' 'Benchmark' 'active' '16007645' 'Mark stale pull requests' 'active' '16360430' 'Release on Homebrew' 'active' '21461789' 'Release on Chocolatey' 'active' '21461790' 'Release on PyPI' 'active' '21461791' 'Update Autogenerated Files' 'active' '21804387' 'Release as Standalone Linux Package' 'active' '22023769' '.github/workflows/test-package-windows-chocolatey.yml' 'disabled_manually' '13937320,RReeppoorrttiinngg aa vvuullnneerraabbiilliittyy' 'When you identify a vulnerability in HTTPie please report it privately using' 'one of the following channels' '     Email to securityhttpieio' '     Report on huntrdev' 'In addition to the description of the vulnerability include the following' 'information' '     A short reproducer to verify it it can be a small HTTP server shell' '      script docker image etc' '     Your deemed severity level of the vulnerability LOWMEDIUMHIGH' '      CRITICAL' '     CWE ID if available
ibraheemdev/modern-unix,,
tqdm/tqdm,Check' 'active' '2882617' 'Comment Bot' 'active' '1908008' 'Post Release' 'active' '1907630' 'Test' 'active' '2882549' 'pages-build-deployment' 'active' '16528276,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn   SSuuppppoorrtteedd' '  ' '   ' 'SSeeccuurriittyy ccoonnttaacctt iinnffoorrmmaattiioonn' 'To report a security vulnerability please use the Tidelift security contact' 'Tidelift will coordinate the fix and disclosure
