author_repo,wf_contents,security_policy
localstack/localstack,integration-tests-against-pro' 'active' '12517581' 'pages-build-deployment' 'active' '16428626' 'Welcome First Time Contributors ✨' 'active' '20874512' 'Update ASF APIs' 'active' '21047015' 'Triage Stale issues' 'active' '25338335' 'CLA Assistant' 'active' '25354170' 'Update Docker Hub Description' 'active' '28242797' 'cli-tests' 'active' '28901668' 'Terraform Tests' 'active' '29474400' 'smoke-tests-against-redhat' 'disabled_manually' '19440460' 'Rebase release PRs' 'disabled_manually' '29157190' 'Rebase PRs targeting release branches' 'disabled_manually' '29157191,
harness/drone,,
jenkinsci/jenkins,Changelog Drafter' 'active' '99081' 'Label conflicting PRs' 'active' '29779377' 'Publish artifact' 'active' '3944939,The Jenkins project takes security seriously We make every possible effort to' 'ensure users can adequately secure their automation infrastructure To that' 'end we work with Jenkins core and plugin developers as well as security' 'researchers to fix security vulnerabilities in Jenkins in a timely manner and' 'to improve the security of Jenkins in general' 'RReeppoorrttiinngg SSeeccuurriittyy VVuullnneerraabbiilliittiieess' 'Please report security vulnerabilities in the Jenkins issue tracker under the' 'SECURITY project This project is configured in such a way that only the' 'reporter and the security team can see the details By restricting access to' 'this potentially sensitive information we can work on a fix and deliver it' 'before the method of attack becomes wellknown' 'If you are unable to report using our issue tracker you can also send your' 'report to the private Jenkins security team mailing list jenkinsci' 'certgooglegroupscom' 'The Jenkins security team will then file an issue on your behalf and will work' 'with the maintainers of the affected components to get the issue resolved' 'LLeeaarrnn MMoorree' 'For further details about our scope issue handling process or disclosure' 'process see Reporting Security Vulnerabilities on jenkinsio
auchenberg/volkswagen,,
theonedev/onedev,,
openshift/origin,,If youve found a security issue that youd like to disclose confidentially' 'please contact Red Hats Product Security team Details at https' 'accessredhatcomsecurityteamcontact' 'LLiicceennssee' 'OKD is licensed under the Apache License Version  Some components may be' 'licensed differently  consult individual repositories for more
dagger/dagger,Test Unit' 'active' '18617555' 'Test Integration' 'active' '18617556' 'lint' 'active' '18617557' 'Test Universe' 'active' '18617559' 'Deploy Docs' 'active' '19648555' 'Dagger CI' 'active' '20923639' 'Close stale PRs' 'active' '21582143' 'Dagger CI TEST - TO REMOVE' 'active' '22785879' 'Security checks' 'active' '23845903' 'Add issues to backlog project' 'active' '23992681' 'Test Experimental Universe' 'active' '26146445' 'test' 'active' '37468191' 'Release dagger-cue' 'active' '38391011' 'Publish Go SDK' 'active' '39967157' 'Publish Python SDK' 'active' '40037420' 'test' 'active' '40163329' '.github/workflows/publish-cli.yml' 'active' '40251587' 'Publish NodeJS SDK' 'active' '40605324' 'automated-provisioning-test' 'active' '40757151' 'provisioning-test' 'active' '40824234' 'Publish CLI & Engine' 'active' '41809656' 'Gitpod' 'disabled_manually' '25081350,
concourse/concourse,CodeQL' 'active' '8859592,SSuuppppoorrtteedd VVeerrssiioonnss' 'The Concourse team at VMware releases security updates for the versions of' 'Concourse available on the VMware Tanzu Network' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a security issue please send an email to securityconcourseciorg' 'Thank you
gocd/gocd,,SSuuppppoorrtteedd VVeerrssiioonnss' 'GoCD only has explicit security support for the most recent released version' 'Since breaking changes are rare and generally signposted well in advance we' 'encourage users to keep on a recent or current version to allow for upgrade as' 'easily as possible in the event of a security defect' 'Having said this wherever possible we will try and provide suggested' 'mitigations or workarounds for older versions' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report any issues to httpshackeronecomgocd according to the listed' 'policy
buildbot/buildbot,CI' 'active' '3808255,
gaia-pipeline/gaia,,
Strider-CD/strider,,
jenkins-x/jx,CodeQL' 'active' '25441478' '.github/workflows/jenkins-x-pr.yaml' 'active' '7395416' 'Release' 'active' '7387265' '.github/workflows/plugins-pr.yaml' 'active' '7395417,The Jenkins X project takes security seriously We make every possible effort' 'to ensure users can adequately secure their automation infrastructure To that' 'end we work with Jenkins X platform and app developers as well as security' 'researchers to fix security vulnerabilities in Jenkins X in a timely manner' 'and to improve the security of Jenkins X in general' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you find a vulnerability in Jenkins X please report it in the Jenkins CI' 'issue tracker under the SECURITY project PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy iissssuueess' 'iinn tthhee ggiitthhuubb ttrraacckkeerr This project is configured in such a way that only the' 'reporter and the security team can see the details By restricting access to' 'this potentially sensitive information we can work on a fix and deliver it' 'before the method of attack becomes wellknown' 'If you are unable to report using the above issue tracker you can also send' 'your report to the private Jenkins Security Team mailing list jenkinsci' 'certgooglegroupscom' 'VVuullnneerraabbiilliittiieess iinn AAppppss' 'Whilst the Jenkins X team is not responsible for the quality of third party' 'apps please still use the above reporting mechanism and we will coordinate' 'with the app developer to ensure a fix in a secure maner
ovh/cds,,
xcpretty/xcpretty,,
milanm/DevOps-Roadmap,,
hygieia/hygieia,,
