author_repo,wf_contents,security_policy
bitcoin/bitcoin,,SSuuppppoorrtteedd VVeerrssiioonnss' 'See our website for versions of Bitcoin Core that are currently supported with' 'security updates httpsbitcoincoreorgenlifecycleschedule' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report security issues send an email to securitybitcoincoreorg not for' 'support' 'The following keys may be used to communicate sensitive information to' 'developers' 'NNaammee          FFiinnggeerrpprriinntt' 'Pieter Wuille E AC  FA CF B F EB E ' 'Michael Ford  E F C DD  EB D F ACD BA' 'Andrew Chow      C D D   EE E' 'You can import a key by running the following command with that individuals' 'fingerprint gpg keyserver hkpskeysopenpgporg recvkeys' 'fingerprint Ensure that you put quotes around fingerprints containing' 'spaces
ccxt/ccxt,,
freqtrade/freqtrade,Freqtrade CI' 'active' '9176' 'Update Docker Hub Description' 'active' '172912' 'Update Docker Hub Description' 'active' '379342' '.github/workflows/draft-pdf.yml' 'active' '37158299,
OpenBB-finance/OpenBBTerminal,Tests' 'active' '6263769' 'lint_python' 'active' '6325274' 'Windows 10 Full Clean Build with ML' 'active' '6767312' 'Pull Request Labels' 'active' '9166279' 'Mac OS X Full Clean Build with ML' 'active' '9785473' 'Deploy' 'active' '12430886' 'Deploy to GitHub Pages' 'active' '12432612' 'pages-build-deployment' 'active' '16409724' 'Coverage' 'active' '22223127' '.github/workflows/coverage.yml' 'active' '22224387' 'CI' 'active' '22224878' 'Codecov' 'active' '22228166' 'Intel MacOS Build' 'active' '29240218' 'Set Issue Label and Assignee' 'active' '29659462' 'Windows10 Build' 'active' '31638461' 'Release Drafter' 'active' '32015649' 'M1 MacOS Build' 'active' '34297173' 'Update Docker Hub' 'active' '36355009' 'Build and Publish Docker' 'active' '36529614' 'gen docs' 'active' '40586834' 'Linter' 'active' '41239792,
monero-project/monero,ci/gh-actions/build-time-test' 'active' '27359244' 'ci/gh-actions/cli' 'active' '437974' 'ci/gh-actions/depends' 'active' '4156133' 'ci/gh-actions/gitian' 'active' '41942143,
xmrig/xmrig,,
dvf/blockchain,,
lbryio/lbry-sdk,.github/workflows/main.yml' 'active' '374260' 'slack' 'active' '11479494' 'pages-build-deployment' 'active' '16753967,SSuuppppoorrtteedd VVeerrssiioonnss' 'While we are not at v yet only the latest release will be supported' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'See httpslbrycomfaqsecurity
lightningnetwork/lnd,CI' 'active' '1258384' 'CI' 'active' '2660470' 'Docker image build' 'active' '3728363' 'Release build' 'active' '3843138' 'CodeQL' 'active' '5646064' 'docker-sign-container' 'active' '13764070' 'Pull Request Stats' 'active' '36573480' '.github/workflows/setup.yml' 'active' '38900298' '.github/workflows/action.yml' 'active' '38909878,SSuuppppoorrtteedd VVeerrssiioonnss' 'The last major lnd release is to be considered the current support version' 'Given an issue severe enough a backport will be issued either to the prior' 'major release or the set of releases considered utilized enough' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report security issues send an email to securitylightningengineering' 'this list isnt to be used for support' 'The following key can be used to communicate sensitive information' 'FECDDABBABCEBCBAF
tendermint/tendermint,Check Markdown links' 'active' '673222' 'Protobuf' 'active' '864832' 'Lint' 'active' '967058' 'Test' 'active' '1041851' 'Test Coverage' 'active' '1401230' 'Close stale pull requests' 'active' '1774512' 'Markdown Linter' 'active' '2225396' 'Build & Push' 'active' '2804062' 'e2e' 'active' '2837803' 'Release' 'active' '3094573' 'Fuzz Tests' 'active' '5274159' 'e2e-nightly-34x' 'active' '5535087' 'Janitor' 'active' '7268301' 'Golang Linter' 'active' '8591473' 'CodeQL' 'active' '15045600' 'Build' 'active' '16043975' 'Build & Push Proto Builder Image' 'active' '19730822' 'Proto Check' 'active' '19730823' 'e2e-manual' 'active' '19878062' 'Check Markdown links' 'active' '19955623' 'Protobuf Lint' 'active' '21344288' 'Check documentation ToC' 'active' '24251836' 'Build static documentation site' 'active' '25515350' 'Check generated code' 'active' '26050826' 'e2e-nightly-main' 'active' '31342111' 'e2e-nightly-37x' 'active' '33681058' 'Pre-release' 'active' '33931232' 'Run Gosec' 'active' '35674765' 'Docker E2E Node' 'active' '42000861' 'Build & Push' 'active' '42096893' 'Check for Go vulnerabilities' 'active' '43315444' 'e2e-manual-multiversion' 'active' '43697195' 'e2e-nightly' 'disabled_manually' '5126396,RReeppoorrttiinngg aa BBuugg' 'As part of our Coordinated Vulnerability Disclosure Policy we operate a bug' 'bounty See the policy for more details on submissions and rewards and see' 'Example Vulnerabilities below for examples of the kinds of bugs were most' 'interested in' 'GGuuiiddeelliinneess' 'We require that all researchers' '     Use the bug bounty to disclose all vulnerabilities and avoid posting' '      vulnerability information in public places including Github Issues' '      Discord channels and Telegram groups' '     Make every effort to avoid privacy violations degradation of user' '      experience disruption to production systems including but not limited' '      to the Cosmos Hub and destruction of data' '     Keep any information about vulnerabilities that youve discovered' '      confidential between yourself and the Tendermint Core engineering team' '      until the issue has been resolved and disclosed' '     Avoid posting personally identifiable information privately or publicly' 'If you follow these guidelines when reporting an issue to us we commit to' '     Not pursue or support any legal action related to your research on this' '      vulnerability' '     Work with you to understand resolve and ultimately disclose the issue in' '      a timely fashion' 'DDiisscclloossuurree PPrroocceessss' 'Tendermint Core uses the following disclosure process' '    Once a security report is received the Tendermint Core team works to' '      verify the issue and confirm its severity level using CVSS' '    The Tendermint Core team collaborates with the Gaia team to determine the' '      vulnerabilitys potential impact on the Cosmos Hub' '    Patches are prepared for eligible releases of Tendermint in private' '      repositories See Supported Releases below for more information on' '      which releases are considered eligible' '    If it is determined that a CVEID is required we request a CVE through a' '      CVE Numbering Authority' '    We notify the community that a security release is coming to give users' '      time to prepare their systems for the update Notifications can include' '      forum posts tweets and emails to partners and validators including' '      emails sent to the Tendermint Security Mailing List' '     hours following this notification the fixes are applied publicly and' '      new releases are issued' '    Cosmos SDK and Gaia update their Tendermint Core dependencies to use' '      these releases and then themselves issue new releases' '    Once releases are available for Tendermint Core Cosmos SDK and Gaia we' '      notify the community again through the same channels as above We also' '      publish a Security Advisory on Github and publish the CVE as long as' '      neither the Security Advisory nor the CVE include any information on how' '      to exploit these vulnerabilities beyond what information is already' '      available in the patch itself' '    Once the community is notified we will pay out any relevant bug bounties' '      to submitters' '   One week after the releases go out we will publish a post with further' '      details on the vulnerability as well as our response to it' 'This process can take some time Every effort will be made to handle the bug in' 'as timely a manner as possible however its important that we follow the' 'process described above to ensure that disclosures are handled consistently and' 'to keep Tendermint Core and its downstream dependent projectsincluding but' 'not limited to Gaia and the Cosmos Hubas secure as possible' 'EExxaammppllee TTiimmeelliinnee' 'The following is an example timeline for the triage and response The required' 'roles and team members are described in parentheses after each task however' 'multiple people can play each role and each person may play multiple roles' ' HHoouurrss BBeeffoorree RReelleeaassee TTiimmee' '    Request CVE number ADMIN' '    Gather emails and other contact info for validators COMMS LEAD' '    Create patches in a private security repo and ensure that PRs are open' '      targeting all relevant release branches TENDERMINT ENG TENDERMINT LEAD' '    Test fixes on a testnet TENDERMINT ENG COSMOS SDK ENG' '    Write Security Advisory for forum TENDERMINT LEAD' ' HHoouurrss BBeeffoorree RReelleeaassee TTiimmee' '    Post Security Advisory prenotification on forum TENDERMINT LEAD' '    Post Tweet linking to forum post COMMS LEAD' '    Announce security advisorylink to post in various other social channels' '      Telegram Discord COMMS LEAD' '    Send emails to validators or other users PARTNERSHIPS LEAD' 'RReelleeaassee TTiimmee' '    Cut Tendermint releases for eligible versions TENDERMINT ENG TENDERMINT' '      LEAD' '    Cut Cosmos SDK release for eligible versions COSMOS ENG' '    Cut Gaia release for eligible versions GAIA ENG' '    Post Security releases on forum TENDERMINT LEAD' '    Post new Tweet linking to forum post COMMS LEAD' '    Remind everyone via social channels Telegram Discord that the release' '      is out COMMS LEAD' '    Send emails to validators or other users COMMS LEAD' '    Publish Security Advisory and CVE if CVE has no sensitive information' '      ADMIN' 'AAfftteerr RReelleeaassee TTiimmee' '    Write forum post with exploit details TENDERMINT LEAD' '    Approve payout on HackerOne for submitter ADMIN' ' DDaayyss AAfftteerr RReelleeaassee TTiimmee' '    Publish CVE if it has not yet been published ADMIN' '    Publish forum post with exploit details TENDERMINT ENG TENDERMINT LEAD' 'SSuuppppoorrtteedd RReelleeaasseess' 'The Tendermint Core team commits to releasing security patch releases for both' 'the latest minor release as well for the majorminor release that the Cosmos' 'Hub is running' 'If you are running older versions of Tendermint Core we encourage you to' 'upgrade at your earliest opportunity so that you can receive security patches' 'directly from the Tendermint repo While you are welcome to backport security' 'patches to older versions for your own use we will not publish or promote' 'these backports' 'SSccooppee' 'The full scope of our bug bounty program is outlined on our Hacker One program' 'page Please also note that in the interest of the safety of our users and' 'staff a few things are explicitly excluded from scope' '     Any thirdparty services' '     Findings from physical testing such as office access' '     Findings derived from social engineering eg phishing' 'EExxaammppllee VVuullnneerraabbiilliittiieess' 'The following is a list of examples of the kinds of vulnerabilities that were' 'most interested in It is not exhaustive there are other kinds of issues we' 'may also be interested in' 'SSppeecciiffiiccaattiioonn' '     Conceptual flaws' '     Ambiguities inconsistencies or incorrect statements' '     Mismatch between specification and implementation of any component' 'CCoonnsseennssuuss' 'Assuming less than  of the voting power is Byzantine malicious' '     Validation of blockchain data structures including blocks block parts' '      votes and so on' '     Execution of blocks' '     Validator set changes' '     Proposer round robin' '     Two nodes committing conflicting blocks for the same height safety' '      failure' '     A correct node signing conflicting votes' '     A node halting liveness failure' '     Syncing new and old nodes' 'Assuming more than  the voting power is Byzantine' '     Attacks that go unpunished unhandled evidence' 'NNeettwwoorrkkiinngg' '     Authenticated encryption MITM information leakage' '     Eclipse attacks' '     Sybil attacks' '     Longrange attacks' '     DenialofService' 'RRPPCC' '     Writeaccess to anything besides sending transactions' '     DenialofService' '     Leakage of secrets' 'DDeenniiaallooffSSeerrvviiccee' 'Attacks may come through the PP network or the RPC layer' '     Amplification attacks' '     Resource abuse' '     Deadlocks and race conditions' 'LLiibbrraarriieess' '     Serialization' '     ReadingWriting files and databases' 'CCrryyppttooggrraapphhyy' '     Elliptic curves for validator signatures' '     Hash algorithms and Merkle trees for block validation' '     Authenticated encryption for PP connections' 'LLiigghhtt CClliieenntt' '     Core verification' '     Bisectionsequential algorithms
