author_repo,wf_contents,security_policy
jlevy/the-art-of-command-line,,
storybookjs/storybook,Unit tests' 'active' '14458' 'CLI tests' 'active' '14459' 'Puppeteer & A11y tests' 'active' '14461' 'Automention PRs' 'active' '14911' 'Dangerfile JS Pull' 'active' '14912' 'Dangerfile JS Pull' 'active' '127452' 'Trigger CircleCI workflow' 'active' '3911051' 'Danger JS' 'active' '7958226' 'Generate And Push Repros' 'active' '12422119' 'Handle Release Branches' 'active' '14886250' 'Export to linear' 'active' '15268250' 'Markdown Links Check' 'active' '22587517' 'Generate and push repros to the next branch' 'active' '31265784' 'Generate And Push Repros' 'disabled_manually' '31138867,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn       SSuuppppoorrtteedd' '   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability you can reach out to the maintainers directly on' 'Twitter httpstwittercomstorybookjs' 'When we fix a security issue we will post a security advisory on GithubNPM' 'describe the change in the release notes and also announce notify the' 'community on our Discord
mermaid-js/mermaid,Apply labels to PR' 'active' '27871' 'Build' 'active' '27872' 'Draft Release' 'active' '29804' 'Apply triage label to new issue' 'active' '51848' 'Static analysis' 'active' '92030' 'Unlock reopened issue' 'active' '112271' 'Publish release preview package' 'active' '157145' 'Apply triage label to new issue' 'active' '205471' 'Publish release' 'active' '230156' 'E2E' 'active' '5386828' 'Validate PR Labeler Configuration' 'active' '15465643' 'Update Browserslist' 'active' '16340736' 'pages-build-deployment' 'active' '16415560' 'Check if README and docs/README are in sync' 'active' '20257870' 'CodeQL' 'active' '25081378' 'Dependency Review' 'active' '25099850' 'Lint' 'active' '25850862' 'Unit Tests' 'active' '25850863' 'E2E (Applitools)' 'active' '35375750' 'Lint Docs' 'active' '36397906' 'Deploy Vitepress docs to Pages' 'active' '39399575' 'Link Checker' 'active' '39779749,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability please email securitymermaidlive with a' 'description of the issue the steps you took to create the issue affected' 'versions and if known mitigation for the issue
tldr-pages/tldr,CI' 'active' '1700977' 'Codespell' 'active' '32384006' 'PR Labeler' 'active' '15479834' 'Main Mirror' 'active' '6508373' 'Manage stale issues' 'active' '1885161,
facebook/docusaurus,Lint' 'active' '6835856' 'Build Blog-only' 'active' '6835857' 'Test' 'active' '6835858' 'Test Docusaurus v1' 'active' '6871106' 'V1 Tests' 'active' '6873888' 'Migration CLI' 'active' '6873889' 'V1 Tests Windows' 'active' '6873896' 'Canary Release' 'active' '6878007' 'CodeQL' 'active' '12926134' 'Tests' 'active' '14738263' 'Windows Tests' 'active' '14738265' 'E2E Tests' 'active' '14738266' 'Lighthouse Report' 'active' '14738453' 'Build Performance' 'active' '15039071' 'Showcase Tests' 'active' '15597441' 'Swizzle Tests' 'active' '19279312' 'Dependency Review' 'active' '24117284' 'Label PRs' 'active' '25433813' 'Tests CLI docusaurus deploy' 'active' '29377189,Please do not open GitHub issues or pull requests  this makes the problem' 'immediately visible to everyone including malicious actors Security issues in' 'this open source project can be safely reported via the Meta Bug Bounty' 'program' 'httpswwwfacebookcomwhitehat' 'Metas security team will triage your report and determine whether or not is it' 'eligible for a bounty under our program
chubin/cheat.sh,Differential ShellCheck' 'active' '34579346' 'Ubuntu Tests' 'active' '2960959,
satwikkansal/wtfpython,,
freeCodeCamp/devdocs,Deploy' 'active' '7270215' 'CodeScan' 'active' '13628356' 'Generate documentation versions report' 'active' '7302597' 'Ruby tests' 'active' '10167482,Our security policy is available here
doczjs/docz,Node CI' 'active' '215216,
docsifyjs/docsify,Build & Test' 'active' '1966196' 'pages-build-deployment' 'active' '17461573,If you believe you have found a security vulnerability in docsify please' 'report it to us asap' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh oouurr ppuubblliicc GGiittHHuubb iissssuueess' 'Send email via  maintainersdocsifyjsorg to us' 'Please include as much of the following information as possible to help us' 'better understand the possible issue' '     Type of issue eg crosssite scripting' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'Thank you in advance
charlax/professional-programming,,
shimohq/chinese-programmer-wrong-pronunciation,,
requarks/wiki,Helm Chart CI' 'active' '14510054' 'Build + Publish' 'active' '19234982' 'Build DigitalOcean Image' 'active' '20166258,Wikijs is built with security in mind We try our absolute best to deliver' 'secure and robust applications However like any software there can be' 'security bugs either introduced by an update or by using an attack vector that' 'wasnt considered when designing the software' 'If you find such vulnerability its important to disclose it in a quick and' 'secure manner to the developers Follow the instructions below to report a' 'vulnerability' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'xx   ' 'xx   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'DDOO NNOOTT CCRREEAATTEE AANN IISSSSUUEE OONN GGIITTHHUUBB to report a potential vulnerability  security' 'problem Instead choose one of these options' 'AA DDiisscclloossee oonn HHuunnttrrddeevv' 'Disclose the vulnerability on Huntrdev for the repository httpsgithubcom' 'Requarkswiki' 'BB SSeenndd aann eemmaaiill
mkdocs/mkdocs,CI' 'active' '36385233' 'deploy-release' 'active' '3407505' 'pages-build-deployment' 'active' '22675251,
nhn/tui.editor,Editor Check Types' 'active' '11135119' 'detect runtime error' 'active' '1351516' 'Editor Lint Code Base' 'active' '11135120' 'Plugin Unit' ' Integration Test' 'active' '11135118' 'Cdn Publish' 'active' '11935159' 'Doc Publish' 'active' '11935160' 'Wrapper Npm Publish' 'active' '12263441' 'Npm Publish' 'active' '11935161' 'Editor Unit' ' Integration Test' 'active' '11135117' 'pages-build-deployment' 'active' '23060177,
SimulatedGREG/electron-vue,,
jsdoc/jsdoc,build' 'active' '4501249,
pandao/editor.md,,
sparanoid/chinese-copywriting-guidelines,Test' 'active' '24959694,
squidfunk/mkdocs-material,build' 'active' '357374' 'documentation' 'active' '3767750' 'publish' 'active' '3767751' 'pages-build-deployment' 'active' '16466606' 'Dependabot auto-merge' 'active' '39407342,
github/opensource.guide,Test and build on push' 'active' '147199' 'CodeQL' 'active' '1706405' 'CI' 'active' '1135458' 'Node.js CI' 'active' '8125377' 'Mark stale PRs' 'active' '13011349' 'GitHub Actions CI' 'active' '64730' 'Dependabot: version updates' 'active' '44448857' 'pages-build-deployment' 'active' '16700509,SSeeccuurriittyy' 'GitHub takes the security of our software products and services seriously' 'including all of the open source code repositories managed through our GitHub' 'organizations such as GitHub' 'Even though open source repositories are outside of the scope of our bug bounty' 'program and therefore not eligible for bounty rewards we will ensure that your' 'finding gets passed along to the appropriate maintainers for remediation' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'If you believe you have found a security vulnerability in any GitHubowned' 'repository please report it to us through coordinated disclosure' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'ddiissccuussssiioonnss oorr ppuullll rreeqquueessttss' 'Instead please send an email to opensourcesecuritygithubcom' 'Please include as much of the information listed below as you can to help us' 'better understand and resolve the issue' '     The type of issue eg buffer overflow SQL injection or crosssite' '      scripting' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'PPoolliiccyy' 'See GitHubs Safe Harbor Policy
BookStackApp/BookStack,phpunit' 'active' '41518' 'phpunit' 'active' '191819' 'test-migrations' 'active' '2679056' 'phpstan' 'active' '14959930' 'lint-php' 'active' '35151965' 'analyse-php' 'active' '35181224' 'test-php' 'active' '35181225,SSuuppppoorrtteedd VVeerrssiioonnss' 'Only the latest version of BookStack is supported We generally dont support' 'older versions of BookStack due to maintenance effort and since we aim to' 'provide a fairly stable upgrade path for new versions' 'SSeeccuurriittyy NNoottiiffiiccaattiioonnss' 'If youd like to be notified of new potential security concerns you can signup' 'to the BookStack security mailing list' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If youve found an issue that likely has no impact to existing users For' 'example in a developmentonly branch feel free to raise it via a standard' 'GitHub bug report issue' 'If the issue could have a security impact to BookStack instances please use' 'one of the below methods to report the vulnerability' '     Directly contact the lead maintainer ssddanbrown' '          o You will need to login to be able to see the email address on the' '            GitHub profile page' '          o Alternatively you can send a DM via Twitter to ssddanbrown' '     Disclose via huntrdev' '          o Bounties may be available to you through this platform' '          o Be sure to use httpsgithubcomBookStackAppBookStack as the' '            repository URL' 'Please be patient while the vulnerability is being reviewed Deploying the fix' 'to address the vulnerability can often take a little time due to the amount of' 'preparation required to ensure the vulnerability has been covered and to' 'create the content required to adequately notify the userbase' 'Thank you for keeping BookStack instances safe
styleguidist/react-styleguidist,Codecov' 'active' '3857723' 'Danger JS' 'active' '3857724' 'Dependabot Automerge' 'active' '2449854' 'CI' 'active' '3857722' 'Semantic Release' 'active' '3976095,
cheat/cheat,Go' 'active' '8612400' 'Go' 'active' '8612359' 'CodeQL' 'active' '3319639' 'homebrew' 'active' '973845,
zealdocs/zeal,Build Check' 'active' '1077842' 'CodeQL Scanning' 'active' '2554285,
reactjs/reactjs.org,Lint / Flow check' 'active' '14457517' 'Labeler' 'active' '14985192' 'Analyze Bundle' 'active' '14990704' 'Analyze Bundle (Comment)' 'active' '14990705' 'Beta Site Lint / Heading ID check' 'active' '15218759,
matheusfelipeog/beautiful-docs,,
