author_repo,wf_contents,security_policy
FortAwesome/Font-Awesome,,
tonsky/FiraCode,.github/workflows/build.yml' 'active' '5726086,
ryanoasis/nerd-fonts,Create Casks PR' 'active' '43057539' 'Docker release' 'active' '8310783' 'Font-Patcher' 'active' '15980193' 'PackSVGs' 'active' '35257287' 'Update gh-pages' 'active' '37791882' 'Release' 'active' '16867082' 'pages-build-deployment' 'active' '17450214,
you-dont-need/You-Dont-Need-JavaScript,,
source-foundry/Hack,,
be5invis/Iosevka,Close stale issues and PRs' 'active' '5362615' 'pages-build-deployment' 'active' '16566742,
rsms/inter,Build fonts' 'active' '36542550' 'Deploy website on GitHub Pages' 'active' '36539234' 'pages-build-deployment' 'active' '18120283,
gztchan/awesome-design,,
faressoft/terminalizer,,
adobe-fonts/source-han-sans,,
neutraltone/awesome-stock-resources,,
lxgw/LxgwWenKai,,
cdnjs/cdnjs,Close Fork Pulls' 'active' '1561401' 'sync' 'active' '8994606,
atelier-anchor/smiley-sans,build' 'active' '40380035,
dompdf/dompdf,Run unit tests' 'active' '22217856,SSuuppppoorrtteedd VVeerrssiioonnss' 'Because of limited resources and general compatibility between version only the' 'most recent release of Dompdf is actively supported' 'VVeerrssiioonn SSuuppppoorrtteedd' '   ' '  ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'In order to give the community time to respond and upgrade we strongly urge you' 'report all security issues privately Please email us at securitydompdforg' 'with details and we will respond ASAP
JetBrains/JetBrainsMono,Build Fonts' 'active' '12771959,
IBM/plex,pages-build-deployment' 'active' '26850113,
snowie2000/mactype,,
be5invis/Sarasa-Gothic,Close stale issues and PRs' 'active' '5362722,
ubuwaits/beautiful-web-type,pages-build-deployment' 'active' '27189460,
adobe-fonts/source-han-serif,,
devicons/devicon,Build Icons' 'active' '2219731' 'CodeQL' 'active' '2499639' 'Peek Icons' 'active' '3027386' 'Post the screenshots into a comment from Peek Icons workflow' 'active' '4801125' 'Publish to npm' 'active' '6079385' 'Labeler' 'active' '6326154' 'Add "approved" label when approved' 'active' '6328229' 'Stale' 'active' '6474711' 'Optimize the added/changed svgs' 'active' '8868337' 'Check Icon PR' 'active' '16940159' 'Label Issue In Develop' 'active' '18855680' 'pages-build-deployment' 'active' '22377951' 'Post the result of the check_icon_pr workflow into its PR.' 'active' '22377955' 'Optimize icons' 'active' '41264230,
belluzj/fantasque-sans,pages-build-deployment' 'active' '21925221,
IdreesInc/Monocraft,,
chrissimpkins/codeface,,
i-tu/Hasklig,,
ecomfe/fontmin,,
uswds/public-sans,Add all issues to project board' 'active' '29147866,
opentypejs/opentype.js,pages-build-deployment' 'active' '21574293,
olikraus/u8g2,,
fontsource/fontsource,Build and Release [Weekly]' 'active' '1311183' 'Build and Release [Manual]' 'active' '1314044' 'Build and Release [Force Rebuild No Deploy] [Manual]' 'active' '2073667' 'Packager Tests' 'active' '9207293' 'Rebuild Algolia' 'active' '11885352' 'Build and Release [Force Rebuild] [Manual Republish]' 'active' '31880692' 'Website Deploy' 'active' '34087885,
kiliman/operator-mono-lig,,
alfredxing/brick,,
KyleAMathews/typefaces,,
