author_repo,wf_contents,security_policy
golang/go,,SSuuppppoorrtteedd VVeerrssiioonnss' 'We support the past two Go releases for example Go x and Go x when' 'Go x is the latest stable release' 'See httpsgodevwikiGoReleaseCycle and in particular the Release' 'Maintenance part of that page' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'See httpsgodevsecurity for how to report a vulnerability
kubernetes/kubernetes,,SSuuppppoorrtteedd VVeerrssiioonnss' 'Information about supported Kubernetes versions can be found on the Kubernetes' 'version and version skew support policy page on the Kubernetes website' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Instructions for reporting a vulnerability can be found on the Kubernetes' 'Security and Disclosure Information page
avelino/awesome-go,Check For Stale Repositories' 'active' '2713637' 'site-deploy' 'active' '16744506' 'tests' 'active' '16360206,
gin-gonic/gin,Run Tests' 'active' '4571766' 'CodeQL' 'active' '7897413' 'CodeQL' 'active' '19315571' 'Goreleaser' 'active' '27017870,
moby/moby,.dco' 'active' '35072425' '.windows' 'active' '33552684' 'bin-image' 'active' '44461128' 'buildkit' 'active' '33573227' 'ci' 'active' '21805183' 'Differential ShellCheck' 'active' '33399309' 'simple' 'active' '26467860' 'test' 'active' '26704268' 'windows-2019' 'active' '33552685' 'windows-2022' 'active' '33303865' 'windows' 'active' '24017332,The Moby maintainers take security seriously If you discover a security issue' 'please bring it to their attention right away' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please DDOO NNOOTT file a public issue instead send your report privately to' 'securitydockercom' 'Security reports are greatly appreciated and we will publicly thank you for it' 'although we keep your name confidential if you request it We also like to send' 'giftsif youre into schwag make sure to let us know We currently do not' 'offer a paid security bounty program but are not ruling it out in the future
gohugoio/hugo,Weekly Issue Closure' 'active' '215438' 'Test' 'active' '4562171' 'Close stale and lock closed issues and PRs' 'active' '17349684,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report suspected security vulnerabilities to' 'bbjjoorrnneerriikkppeeddeerrsseennggmmaaiillccoomm You will receive a response from us within ' 'hours If we can confirm the issue we will release a patch as soon as possible' 'depending on the complexity of the issue but historically within days' 'Also see Hugos Security Model
fatedier/frp,Build Image and Publish to Dockerhub & GPR' 'active' '2684623' 'golangci-lint' 'active' '33475973' 'goreleaser' 'active' '3732653' 'Close stale issues' 'active' '2718096,
grafana/grafana,publish_docs' 'active' '23555' 'CodeQL' 'active' '2854921' 'Run commands when issues are labeled or comments added' 'active' '2889588' 'Github issue metrics collection' 'active' '2926511' 'Backport PR Creator' 'active' '3035099' '.github/workflows/bump-version.yml' 'active' '3623342' 'Update changelog' 'active' '3652008' 'Create or update GitHub release' 'active' '3687626' 'Main Workflow' 'active' '5851140' 'PR automation' 'active' '6822774' 'pa11y tests' 'active' '12552109' 'Cancel' 'active' '12914236' 'Concurrent Workflows Checker' 'active' '13487895' 'Run when PRs are closed' 'active' '16093715' 'PR Checks' 'active' '16241122' 'Remove milestone' 'active' '16281855' '.github/workflows/detect-breaking-changes-notify.yml' 'active' '16419903' 'Levitate / Detect breaking changes' 'active' '16419904' 'Close milestone' 'active' '16428545' 'Prepare release' 'active' '16607568' 'Levitate / Report breaking changes' 'active' '17270815' 'Close Milestone' 'active' '18112407' 'Close stale issues and PRs' 'active' '20570996' 'Run commands when issues are labeled' 'active' '20845004' '.github/workflows/labeler.yaml' 'active' '22898289' 'Cloud data sources test code coverage' 'active' '22911337' 'CodeQL for PR / javascript' 'active' '23083924' 'CodeQL for PR / python' 'active' '23087614' 'Cloud data sources test code coverage' 'active' '23331169' 'Enterprise PR check' 'active' '24597689' 'Snyk SBOM CI' 'active' '26359654' 'Notify Slack channel based on issue label' 'active' '28749843' 'doc-validator' 'active' '29525781' 'Observability Experience test code coverage' 'active' '35247048' '.github/workflows/test.yml' 'active' '35857520' 'syft-sbom-ci' 'active' '36441324' 'Levitate / Detect breaking changes' 'active' '39936736' 'publish-technical-documentation-next' 'active' '41873450' 'publish-technical-documentation-release' 'active' '41873451' 'When epic issues changed in Platform UX squad projects' ' check if epic is part of specified child projects and update on Platform UX parent project' 'active' '43099076' 'Codeowners Validator' 'active' '44206453' 'go tidy' 'disabled_manually' '6814695' 'Levitate' 'disabled_manually' '16127129' 'CodeQL for PR / go' 'disabled_manually' '23087613,If you think you have found a security vulnerability please send a report to' 'securitygrafanacom This address can be used for all of Grafana Labss open' 'source and commercial products including but not limited to Grafana Grafana' 'Cloud Grafana Enterprise and grafanacom We can accept only vulnerability' 'reports at this address' 'Please encrypt your message to us please use our PGP key The key fingerprint' 'is' 'F BEA A F AEE CAA D  BE CCA' 'The key is available from keyserverubuntucom' 'Grafana Labs will send you a response indicating the next steps in handling' 'your report After the initial reply to your report the security team will' 'keep you informed of the progress towards a fix and full announcement and may' 'ask for additional information or guidance' 'IImmppoorrttaanntt We ask you to not disclose the vulnerability before it have been' 'fixed and announced unless you received a response from the Grafana Labs' 'security team that you can do so' 'SSeeccuurriittyy aannnnoouunncceemmeennttss' 'We will post a summary remediation and mitigation details for any patch' 'containing security fixes on the Grafana blog The security announcement blog' 'posts will be tagged with the security tag' 'You can also track security announcements via the RSS feed
junegunn/fzf,Test fzf on Linux' 'active' '4916903' 'CodeQL' 'active' '5453195' 'Dependency Review' 'active' '26109826' 'Differential ShellCheck' 'active' '33632646' 'Test fzf on macOS' 'disabled_manually' '4916904,
syncthing/syncthing,Go' 'active' '165636' 'Build Syncthing' 'active' '38918121' 'Update translations and documentation' 'active' '17680934,If you believe that youve found a Syncthingrelated security vulnerability' 'please report it by sending email to the address securitysyncthingnet The' 'PGP key for securitysyncthingnet BADBCAB can be used to send' 'encrypted mail or to verify responses received from that address' 'You can read more about Syncthing security at httpssyncthingnetsecurity
caddyserver/caddy,Tests' 'active' '787811' 'Release' 'active' '831150' 'Release Published' 'active' '1702029' 'Cross-Build' 'active' '2037318' 'Lint' 'active' '2952993' 'CGO Build' 'active' '12530829' 'CIFuzz' 'active' '15684134' 'CodeQL' 'active' '30395974,The Caddy project would like to make sure that it stays on top of all' 'practicallyexploitable vulnerabilities' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x     ' 'x     ' ' x   ' 'AAcccceeppttaabbllee SSccooppee' 'A security report must demonstrate a security bug in the source code from this' 'repository' 'Some security problems are the result of interplay between different components' 'of the Web rather than a vulnerability in the web server itself Please only' 'report vulnerabilities in the web server itself as we cannot coerce the rest' 'of the Web to be fixed for example we do not consider IP spoofing BGP' 'hijacks or missingmisconfigured HTTP headers a vulnerability in the Caddy web' 'server' 'Vulnerabilities caused by misconfigurations are out of scope Yes it is' 'entirely possible to craft and use a configuration that is unsafe just like' 'with every other web server we recommend against doing that' 'We do not accept reports if the steps imply or require a compromised system or' 'thirdparty software as we cannot control those We expect that users secure' 'their own systems and keep all their software patched For example if' 'untrusted users are able to uploadwritehost arbitrary files in the web root' 'directory it is NOT a security bug in Caddy if those files get served to' 'clients however it wwoouulldd be a valid report if a bug in Caddys source code' 'unintentionally gave unauthorized users the ability to upload unsafe files or' 'delete files without relying on an unpatched system or piece of software' 'Clientside exploits are out of scope In other words it is not a bug in Caddy' 'if the web browser does something unsafe even if the downloaded content was' 'served by Caddy Those kinds of exploits can generally be mitigated by proper' 'configuration of HTTP headers As a general rule the content served by Caddy' 'is not considered in scope because content is configurable by the site owner or' 'the associated web application' 'Security bugs in code dependencies are out of scope Instead if a dependency' 'has patched a relevant security bug please feel free to open a public issue or' 'pull request to update that dependency in our code' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'We get a lot of difficult reports that turn out to be invalid Clear obvious' 'reports tend to be the most credible but are also rare' 'First please ensure your report falls within the accepted scope of security' 'bugs above' 'Well need enough information to verify the bug and make a patch To speed' 'things up please include' '     Most minimal possible config without redactions' '     Commands' '     Precise HTTP requests curl v and its output please' '     Full log output please enable debug mode' '     Specific minimal steps to reproduce the issue from scratch' '     A working patch' 'Please DO NOT use containers VMs cloud instances or services or any other' 'complex infrastructure in your steps Always prefer curl instead of web' 'browsers' 'We consider publiclyregistered domain names to be public information This' 'necessary in order to maintain the integrity of certificate transparency' 'public DNS and other public trust systems Do not redact domain names from' 'your reports The actual content of your domain name affects Caddys behavior' 'so we need the exact domain names to reproduce with or your report will be' 'ignored' 'It will speed things up if you suggest a working patch such as a code diff' 'and explain why and how it works Reports that are not actionable do not' 'contain enough information are too pushydemanding or are not able to' 'convince us that it is a viable and practical attack on the web server itself' 'may be deferred to a later time or possibly ignored depending on available' 'resources Priority will be given to credible responsible reports that are' 'constructive specific and actionable We get a lot of invalid reports' 'Thank you for understanding' 'When you are ready please email Matt Holt the author directly matt at' 'dyanim dot com' 'Please dont encrypt the email body It only makes the process more' 'complicated' 'Please also understand that due to our nature as an open source project we do' 'not have a budget to award security bounties We can only thank you' 'If your report is valid and a patch is released we will not reveal your' 'identity by default If you wish to be credited please give us the name to use' 'andor your GitHub username If you dont provide this we cant credit you' 'Thanks for responsibly helping Caddyand thousands of websitesbe more secure
etcd-io/etcd,Publish Release Assets to Asset Transparency Log' 'active' '2270812' 'CodeQL' 'active' '3982857' 'Tests' 'active' '8926095' 'E2E' 'active' '8985775' 'functional-tests' 'active' '9076865' 'grpcProxy-tests' 'active' '9076866' 'Build' 'active' '10830873' 'Static Analysis' 'active' '10831315' 'Coverage' 'active' '18698366' 'Test prometheus rules' 'active' '19466188' 'Test contrib/mixin' 'active' '19505728' 'Measure Test Flakiness' 'active' '23327139' 'Release' 'active' '24777770' 'Scorecards supply-chain security' 'active' '35661783' 'Linearizability' 'active' '36262010' 'Fuzzing v3rpc' 'active' '36956500' 'Go Vulnerability Checker' 'active' '38530997' 'Release on PR' 'active' '42458171' 'Linearizability Nightly' 'active' '42529430' 'Mayhem for API' 'disabled_manually' '19545607,
