author_repo,wf_contents,security_policy
koalaman/shellcheck,Build ShellCheck' 'active' '5815765,
hasura/graphql-engine,console lint' 'active' '1084087' 'server lint' 'active' '2963898' 'realtime-chat' 'active' '15633663' 'pages-build-deployment' 'active' '16416150,Were extremely grateful for security researchers and users that report' 'vulnerabilities to the Hasura Community All reports are thoroughly' 'investigated by a set of community volunteers and the Hasura team' 'To report a security issue please email us at securityhasuraio with all the' 'details attaching all necessary information' 'WWhheenn SShhoouulldd II RReeppoorrtt aa VVuullnneerraabbiilliittyy' '     You think you have discovered a potential security vulnerability in the' '      Hasura GraphQL Engine or related components' '     You are unsure how a vulnerability affects the Hasura GraphQL Engine' '     You think you discovered a vulnerability in another project that Hasura' '      GraphQL Engine depends on eg Heroku Docker etc' '     You want to report any other security risk that could potentially harm' '      Hasura GraphQL Engine users' 'WWhheenn SShhoouulldd II NNOOTT RReeppoorrtt aa VVuullnneerraabbiilliittyy' '     You need help tuning Hasura GraphQL Engine components for security' '     You need help applying security related updates' '     Your issue is not security related' 'SSeeccuurriittyy VVuullnneerraabbiilliittyy RReessppoonnssee' 'Each report is acknowledged and analyzed by the projects maintainers and the' 'security team within  working days' 'The reporter will be kept updated at every stage of the issues analysis and' 'resolution triage  fix  release' 'PPuubblliicc DDiisscclloossuurree TTiimmiinngg' 'A public disclosure date is negotiated by the Hasura product security team and' 'the bug submitter We prefer to fully disclose the bug as soon as possible once' 'a user mitigation is available It is reasonable to delay disclosure when the' 'bug or the fix is not yet fully understood the solution is not welltested or' 'for vendor coordination The timeframe for disclosure is from immediate' 'especially if its already publicly known to a few weeks We expect the time' 'frame between a report to a public disclosure to typically be in the order of ' 'days The Hasura GraphQL Engine maintainers and the security team will take the' 'final call on setting a disclosure date' 'Some sections have been inspired and adapted from httpsgithubcom' 'kuberneteswebsiteblobmastercontentendocsreferenceissuessecurity' 'securitymd' 'TTrraannssllaattiioonnss' 'This document is available in the following translations' '     French ' '     Hindi ' '     Malayalam 
jgm/pandoc,CI tests' 'active' '192239' 'benchmarks' 'active' '35953940' 'CI tests' 'active' '30815' 'commit-validation' 'active' '1383028' 'Format validation' 'active' '3306469' 'Lint' 'active' '3310489' 'Nightly' 'active' '11426' 'Release candidate' 'active' '53868,SSuuppppoorrtteedd VVeerrssiioonnss' 'Only the most recent version of pandoc is supported with security updates' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability email the maintainer jgmberkeleyedu But first' 'please read the section of the manual entitled A note on security which' 'describes some security guarantees pandoc does NOT make
PostgREST/postgrest,CI' 'active' '11704065' 'Loadtest' 'active' '15616253' 'Upload Reports' 'active' '15616941,
compiler-explorer/compiler-explorer,Labeler' 'active' '1864493' 'Compiler Explorer' 'active' '5793211' 'Compiler Explorer on Windows' 'active' '6391189' 'Update browsers list' 'active' '7397167' 'CodeQL' 'active' '13549572' 'Compiler Explorer Frontend Testing' 'active' '17400250,Compiler Explorer allows remote users to compile and if configured execute' 'code We take security seriously and encourage users to promptly report' 'security vulnerabilities they find' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If the issue can be reported without revealing exploitable specifics please' 'file an issue as a bug' 'Please email mattgodboltorg with specifics or if the bug cant be reported' 'publically without leaving an obvious exploit in the public eye' 'We expect to get back within a day or two If you dont hear from us please do' 'ping us again or reach out to us on the Discord
hmemcpy/milewski-ctfp-pdf,Build PDFs' 'active' '1953021,
lk-geimfari/awesomo,,
hadolint/hadolint,Markdown Lint' 'active' '3736717' 'Haskell Lint' 'active' '3736718' 'Haskell Tests' 'active' '3736719' 'Release' 'active' '3792678' 'Build With Nix' 'active' '22664066' 'Third Party Notices Update' 'disabled_manually' '8766641,
purescript/purescript,CI' 'active' '4636248,
liuxinyu95/AlgoXY,Build' 'active' '3015174,
