author_repo,wf_contents,security_policy
tiangolo/fastapi,Issue Manager' 'active' '1479052' 'Test' 'active' '1929523' 'Publish' 'active' '1929979' 'Build Docs' 'active' '1930578' 'Preview Docs' 'active' '1932386' 'Latest Changes' 'active' '2947455' 'Label Approved' 'active' '2947479' 'FastAPI People' 'active' '3061793' 'Notify Translations' 'active' '12309785' 'CodeQL' 'active' '15444274' 'Azure Static Web Apps CI/CD' 'active' '39096084' 'Smokeshow' 'active' '39554201,Security is very important for FastAPI and its community ' 'Learn more about it below ' 'VVeerrssiioonnss' 'The latest version of FastAPI is supported' 'You are encouraged to write tests for your application and update your FastAPI' 'version frequently after ensuring that your tests are passing This way you' 'will benefit from the latest features bug fixes and sseeccuurriittyy ffiixxeess' 'You can learn more about FastAPI versions and how to pin and upgrade them for' 'your project in the docs' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you think you found a vulnerability and even if you are not sure about it' 'please report it right away by sending an email to securitytiangolocom' 'Please try to be as explicit as possible describing all the steps and example' 'code to reproduce the security issue' 'I the author tiangolo will review it thoroughly and get back to you' 'PPuubblliicc DDiissccuussssiioonnss' 'Please restrain from publicly discussing a potential security vulnerability ' 'Its better to discuss privately and try to find a solution first to limit the' 'potential impact as much as possible' '' 'Thanks for your help' 'The FastAPI community and I thank you for that 
prettier/prettier,Dev' 'active' '439698' 'Lint' 'active' '439699' 'Prod' 'active' '439700' 'Dev_Package_Test' 'active' '1071086' 'Lock' 'active' '1687314' 'Internal_ESLint_Rules_Test' 'active' '4341282' 'Mark Issue Duplicate' 'active' '5316428' 'Support requests' 'active' '6079886' 'Compare Test' 'active' '6182431' 'Release_Script_Test' 'active' '12862563' 'Prevent File change' 'active' '15042520' 'Prevent File change' 'active' '20182951' 'Validate_Vendors' 'active' '21456992' 'Bundler_Friendly' 'active' '22076812' 'Check Sizes' 'active' '23137911' 'CodeQL' 'active' '40640987' 'No Response' 'active' '41348298,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a security vulnerability please use the Tidelift security contact' 'Tidelift will coordinate the fix and disclosure
chinese-poetry/chinese-poetry,Test' 'active' '3418624' 'pages-build-deployment' 'active' '19404132,
nlohmann/json,C/C++ CI' 'active' '180821' 'macOS' 'active' '1266003' 'Ubuntu' 'active' '1266004' 'Windows' 'active' '1266005' 'Code scanning - action' 'active' '1820989' 'intel-compiler' 'active' '9186631' 'pages-build-deployment' 'active' '17065553' 'Publish documentation' 'active' '31578408' 'Pull Request Labeler' 'active' '31679349' 'Check amalgamation' 'active' '32025853' 'CIFuzz' 'active' '41285333' 'myCi' 'disabled_manually' '8480687,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Usually all issues are tracked publicly on GitHub If you want to make a' 'private report eg for a vulnerability or to attach an example that is not' 'meant to be published please send an email to mailnlohmannme You can use' 'this key for encryption
SheetJS/sheetjs,Tests: Bun' 'disabled_manually' '30066595' 'Tests: deno 1.x' 'active' '19825906' 'Tests: node.js' 'active' '7672347' 'Tests: node.js (io.js)' 'active' '7672346' 'Tests: pretest/posttest' 'active' '7672348' 'Tests: node.js (0.x)' 'active' '7672345' 'Automatic Rebase' 'active' '7675028' 'Require “Allow Edits”' 'active' '7675029' 'pages-build-deployment' 'active' '19036142,
Asabeneh/30-Days-Of-JavaScript,,
httpie/httpie,Build' 'active' '188232' 'Check Brew Formula' 'active' '12908499' 'Tests' 'active' '12958068' 'Coverage' 'active' '12958070' 'Code Style Check' 'active' '12958454' 'Snap package' 'active' '13025315' 'Check installation instructions' 'active' '13862768' 'Check Markdown Style' 'active' '13872287' 'Test Brew Package (MacOS)' 'active' '13872288' 'Test Snap Package (Linux)' 'active' '13872289' 'Deploy Documentation' 'active' '13897022' 'Release on Snap' 'active' '13975579' 'Benchmark' 'active' '16007645' 'Mark stale pull requests' 'active' '16360430' 'Release on Homebrew' 'active' '21461789' 'Release on Chocolatey' 'active' '21461790' 'Release on PyPI' 'active' '21461791' 'Update Autogenerated Files' 'active' '21804387' 'Release as Standalone Linux Package' 'active' '22023769' '.github/workflows/test-package-windows-chocolatey.yml' 'disabled_manually' '13937320,RReeppoorrttiinngg aa vvuullnneerraabbiilliittyy' 'When you identify a vulnerability in HTTPie please report it privately using' 'one of the following channels' '     Email to securityhttpieio' '     Report on huntrdev' 'In addition to the description of the vulnerability include the following' 'information' '     A short reproducer to verify it it can be a small HTTP server shell' '      script docker image etc' '     Your deemed severity level of the vulnerability LOWMEDIUMHIGH' '      CRITICAL' '     CWE ID if available
alibaba/fastjson,Java CI' 'active' '3327060,' ' httpssecurityalibabacom ' '' '     gitURL' '     ' '     ' '     ' '' 'ASRCAlibaba Security Response' 'Center' '' '    ' '    ASRC' '    ' '    gitissue' '    ASRC' '    ASRC' '' '' '     SSRF' '     SQL' '     ' '     RCE' '     XMLXXE' '     ' '     ' '     LFD' '     CookieSession' '' '     ' '     admin' '     fastjsonlinux' '' '     ' '     SelfXSS' '     ' '     ' '     cookie' '     ' '     SSL  TLS' '     Clickjacking' '     Flash' '     RFD' '     ' '     ' '     CSRF' '     MITM' '     ' '     ' '     HTTP' 'VVuullnneerraabbiilliittyy RReewwaarrdd PPrrooggrraamm' 'RReeppoorrttiinngg' 'If you believe you have found any security technical vulnerability in the' 'Program you are welcome to submit a vulnerability report to us at https' 'securityalibabacom In the case of reporting any security vulnerability' 'please note that you may include the following information Qualified' 'Reporting' '     The git program URL and running version' '     A detailed description with applicable screenshots' '     Steps to reproduce the vulnerabilityexploit and your advice to fix it' '     Other useful information' 'PPrroocceessssiinngg' 'ASRC Alibaba Security Response Center will review and respond as quickly as' 'possible to your submission and keep you informed as we work to fix the' 'vulnerability you submitted We may contact you for further information if' 'necessary' 'TTeerrmmss aanndd CCoonnddiittiioonnss' '    ONLY technical vulnerabilities will be accepted and rated' '    For security reasons reporters agree to cooperate with ASRC exclusively' '      on the vulnerability heshe submitted and not disclose any information of' '      vulnerability to any thirdparties' '    In the case that more than one person report the same security' '      vulnerability the reward will be given to the first person who' '      accomplish a Qualified Reporting' '    To protect users of the program please do not directly submit issue on' '      github or discuss anything with the community' '    All Rewards and Reputation Credits are given to the reporters who submit' '      hisher security vulnerabilities ONLY to ASRC' '    All rights for the security vulnerability rewards are reserved by ASRC' 'SSccooppee ooff CCoolllleeccttiinngg' 'The main categories of vulnerabilities that we are sincerely looking for are' '     ServerSide Request Forgery SSRF' '     SQL Injection' '     Denial of Service Attack' '     Remote Code Execution RCE' '     XML External Entity Attacks XXE' '     Access Control Issues Insecure Direct Object Reference issues etc' '     Directory Traversal Issues' '     Local File Disclosure LFD' '     Sensitive Information Leakage Key Cookie Session etc' 'RReewwaarrdd' '      for one valid report' '      for Vuls which is limited For example Vuls that need user' '      interactions or administrator authority' '     Vuls which only work on the special version will be accepted but no' '      reward or directly rejected For example Vul runs only on a special' '      linux version' 'IInneelliiggiibbllee RReeppoorrttss' '     Vulnerabilities affecting users of outdated browsers or platforms' '     Self XSS' '     Session fixation' '     Content Spoofing' '     Missing cookie flags' '     Mixed content warnings' '     SSLTLS best practices' '     ClickjackingUI redressing' '     Flashbased vulnerabilities' '     Reflected file download attacks RFD' '     Physical or social engineering attacks' '     Unverified Results of automated tools or scanners' '     Loginlogoutunauthenticatedlowimpact CSRF' '     Attacks requiring MITM or physical access to a users device' '     Issues related to networking protocols or industry standards' '     Error information disclosure that cannot be used to make a direct attack' '     Missing securityrelated HTTP headers which do not lead directly to a' '      vulnerability
dromara/hutool,,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'xx   ' 'xx   ' 'xx   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'loollyaliyuncom' 'To report any found security issues or vulnerabilities please send a mail to' 'loollyaliyuncom
SwiftyJSON/SwiftyJSON,,
