author_repo,wf_contents,security_policy
freeCodeCamp/freeCodeCamp,CI - Run CodeQL Analysis' 'active' '1622344' 'CI - Node.js Test Current' 'active' '2139888' 'CI - Node.js Test Upcoming' 'active' '2883490' 'CI - Create CodeSee Maps' 'active' '15925942' 'i18n - Download Client UI' 'active' '15925944' 'i18n - Download Curriculum' 'active' '15925945' 'i18n - Download Docs' 'active' '15925946' 'i18n - Upload Client UI' 'active' '15925947' 'i18n - Upload Curriculum' 'active' '15925948' 'i18n - Upload Docs' 'active' '15925949' 'pages-build-deployment' 'active' '16423383' 'Dependency Review' 'active' '25617322' 'Github - Welcome First-timers' 'active' '28360722' 'i18n - Curriculum PR Validation' 'active' '37510435' 'CI - E2E - Web browser' 'active' '37510436' 'CI - E2E - Mobile (webview) Browser' 'active' '37510437' 'i18n - Build Validation' 'active' '37514100' 'CI - E2E - 3rd party donation tests' 'active' '37514102' 'GitHub - Autoclose Invalid PRs' 'active' '37514103' 'GitHub - Label PRs' 'active' '37514104' 'GitHub - No translations via PRs' 'active' '37514106' 'CI - Unused Exports' ' Types and Files' 'active' '38075701' 'GitHub - Spam PR' 'disabled_manually' '37514107,
vuejs/vue,ci' 'active' '26488619' 'Create Release' 'active' '27192329,
facebook/react,DevTools Check for bug repro' 'active' '9277735' 'Commit Artifacts for Facebook WWW' 'active' '40906692,If you believe you have found a security vulnerability in React we encourage' 'you to let us know right away We will investigate all legitimate reports and' 'do our best to quickly fix the problem' 'Please refer to the following page for our responsible disclosure policy' 'reward guidelines and those things that should not be reported' 'httpswwwfacebookcomwhitehat
getify/You-Dont-Know-JS,,
twbs/bootstrap,JS Tests' 'active' '72792' 'Lint' 'active' '72793' 'BrowserStack' 'active' '72794' 'CSS' 'active' '72796' 'Docs' 'active' '72798' 'Tests' 'active' '157748' 'CSS (Dart Sass)' 'active' '430636' 'Release notes' 'active' '900394' 'Bundlewatch' 'active' '1030890' 'CodeQL' 'active' '1149056' 'CSS (node-sass)' 'active' '2687666' 'Tests' 'active' '14425510' 'cspell' 'active' '16687980' 'Close Issue Awaiting Reply' 'active' '20412350' 'Issue Labeled' 'active' '20412351' 'pages-build-deployment' 'active' '20412443' 'Compress Images' 'active' '26633268,The Bootstrap team and community take security issues in Bootstrap seriously' 'We appreciate your efforts to responsibly disclose your findings and will make' 'every effort to acknowledge your contributions' 'To report a security issue email securitygetbootstrapcom and include the' 'word SECURITY in the subject line' 'Well endeavor to respond quickly and will keep you updated throughout the' 'process
trekhleb/javascript-algorithms,CI' 'active' '4550796,
airbnb/javascript,Tests: pretest/posttest' 'active' '14941660' 'Tests: node.js' 'active' '14941661' 'Automatic Rebase' 'active' '14962764' 'Require “Allow Edits”' 'active' '14962765,Do not open issues or pull requests  this makes the problem immediately' 'visible to everyone including malicious actors Please report potential' 'security issues in this project through the Airbnb Bug Bounty program' 'httpshackeronecomairbnb' 'Airbnbs team will triage and address all valid issues You may be eligible for' 'a bounty if the report is valid under our program
30-seconds/30-seconds-of-code,,
electron/electron,Only run build when needed' 'active' '127406' 'GitHub Actions' 'active' '15327393' 'Check Semantic Commit' 'active' '24563738' 'Lint' 'active' '25283566' 'Trigger Major Release Dependency Updates' 'active' '26806454' 'Electron WOA Testing' 'active' '31067835' 'Update AppVeyor Image' 'active' '32548657' 'Issue Labeled' 'active' '35433128' 'Close stale issues' 'active' '35978213' 'Scorecards supply-chain security' 'active' '40514209' 'Codespaces Prebuilds' 'active' '41139097,The Electron team and community take security bugs in Electron seriously We' 'appreciate your efforts to responsibly disclose your findings and will make' 'every effort to acknowledge your contributions' 'To report a security issue please use the GitHub Security Advisory Report a' 'Vulnerability tab' 'The Electron team will send a response indicating the next steps in handling' 'your report After the initial reply to your report the security team will' 'keep you informed of the progress towards a fix and full announcement and may' 'ask for additional information or guidance' 'Report security bugs in thirdparty modules to the person or team maintaining' 'the module You can also report a vulnerability through the npm contact form by' 'selecting Im reporting a security vulnerability' 'TThhee EElleeccttrroonn SSeeccuurriittyy NNoottiiffiiccaattiioonn PPrroocceessss' 'For context on Electrons security notification process please see the' 'Notifications section of the Security WGs Membership and Notifications' 'Governance document' 'LLeeaarrnniinngg MMoorree AAbboouutt SSeeccuurriittyy' 'To learn more about securing an Electron application please see the security' 'tutorial
justjavac/free-programming-books-zh_CN,,
