author_repo,wf_contents,security_policy
jakevdp/PythonDataScienceHandbook,CI' 'active' '6501179,vulnz for our intake and do coordination and disclosure here on GitHub' 'including using GitHub Security Advisory The Google Security Team will' 'respond within  working days of your report on gcovulnz
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,,
ageron/handson-ml,,
trekhleb/homemade-machine-learning,,
MLEveryday/100-Days-Of-ML-Code,,
microsoft/recommenders,Upload Python Package' 'active' '5937999' 'sarplus test and package' 'active' '16276644' 'pages-build-deployment' 'active' '16429797' 'azureml-unit-tests' 'active' '26521626' 'azureml-gpu-nightly' 'active' '27870255' 'azureml-spark-nightly' 'active' '27870256' 'azureml-cpu-nightly' 'active' '27870257' 'Create GitHub Draft Release' 'active' '29185326' 'Test Upload Python Package' 'disabled_manually' '12451432' 'Upload Python Package' 'disabled_manually' '12451433,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and' 'many more' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center at' 'securemicrosoftcom If possible encrypt your message with our PGP key' 'please download it from the Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
emilwallner/Screenshot-to-code,,
plotly/plotly.py,,
chenyuntc/pytorch-book,,
ydataai/pandas-profiling,Tests and Coverage' 'active' '3936733' 'Multi-software test' 'active' '7611159' 'Release' 'active' '7612139' 'Lint Commit Messages' 'active' '8174738' 'pages-build-deployment' 'active' '20589699' 'Label issues' 'active' '25645179' 'Pull Request' 'active' '35951317' 'Merge into develop branch' 'active' '36163506' 'Merge into master branch' 'active' '36163507' 'SonarQube' 'active' '42488206,
jupyter/notebook,Binder Badge' 'active' '21329585' 'Build' 'active' '20897315' 'Build Utilities' 'active' '20897316' 'Check Release' 'active' '8731301' 'Docs Tests' 'active' '4940122' 'Enforce PR label' 'active' '15407948' 'Enforce PR label' 'active' '20897314' 'Linux JS Tests' 'active' '4940123' 'Lock Closed Threads' 'active' '7051939' 'NBConvert Service Tests' 'active' '4940124' 'Python Tests' 'active' '4940125' 'Selenium Tests' 'active' '4940126' 'Build PR Image' 'active' '44125170' 'UI Tests' 'active' '20897317,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you find a security vulnerability in Jupyter please report it to' 'securityipythonorg' 'See more information in our docs
dunovank/jupyter-themes,,
marceloprates/prettymaps,publish distributions' 'active' '13905657' 'pages-build-deployment' 'active' '17536262,
microsoft/computervision-recipes,CodeQL' 'active' '38793579' 'Lint' 'active' '38118588' '.github/workflows/test.yml' 'active' '38118586' 'pages-build-deployment' 'active' '34369354,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
AkashSingh3031/The-Complete-FAANG-Preparation,CodeQL' 'active' '10788696' 'pages-build-deployment' 'active' '18060178,
aws/amazon-sagemaker-examples,.github/workflows/workflow.yml' 'active' '30129694' '.github/workflows/workflow2.yml' 'active' '30130208,If you discover a potential security issue in this project we ask that you' 'notify AWSAmazon Security via our vulnerability reporting page or directly via' 'email to awssecurityamazoncom Please do nnoott create a public GitHub issue
jupyter/docker-stacks,Build' ' test and push Docker Images' 'active' '2135466' 'Build Sphinx Documentation and check links' 'active' '2135467' 'Run pre-commit hooks' 'active' '9760131' 'Update dockerhub overviews' 'active' '14261225' 'Download parent image' ' build a new one and test it; then upload the image' ' tags and manifests to GitHub artifacts' 'active' '29604970' 'Download build manifests from GitHub artifacts and push them to GitHub wiki' 'active' '29604972' 'Download images tags from GitHub artifacts and create multi-platform manifests' 'active' '35420672' 'Download Docker image and its tags from GitHub artifacts' ' apply them and push the image to DockerHub' 'active' '43006951' 'Build and test Docker Images' 'disabled_manually' '19966107' 'Build and test Docker Images' 'disabled_manually' '25961907,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you find a security vulnerability in Jupyter please report it to' 'securityipythonorg' 'See more information in our docs
jupyterhub/jupyterhub,CodeQL' 'active' '11868339' 'Release' 'active' '4189050' 'Support Requests' 'active' '14740472' 'Test docs' 'active' '17305037' 'Test jsx (admin-react.js)' 'active' '21654517' 'Test' 'active' '3537134,If you believe youve found a security vulnerability in a Jupyter project' 'please report it to securityipythonorg If you prefer to encrypt your' 'security reports you can use this PGP public key
firmai/industry-machine-learning,,
Atcold/pytorch-Deep-Learning,pages-build-deployment' 'active' '17400291,
