author_repo,wf_contents,security_policy
fogleman/Craft,,
dnschneid/crouton,,
PaperMC/Paper,Build Paper' 'active' '3253128' 'Comment on pull request' 'active' '41318474,
IdreesInc/Monocraft,,
MinecraftForge/MinecraftForge,Label Actions' 'active' '37433508' 'Pull Request actions' 'active' '43867545' 'Comment actions' 'active' '44284228' 'Issue actions' 'active' '44284229' 'Pull Request Review actions' 'active' '44284230' 'Push actions' 'active' '44284231,
nuno-faria/tiler,,
cabaletta/baritone,Java CI with Gradle' 'active' '10371165' 'Tests' 'active' '10371166,
huanghongxun/HMCL,Check Style' 'active' '13108117' 'Check Translations' 'active' '13054730' 'Check Update' 'active' '14437816' 'Sync to Gitee' 'active' '16559741' 'Java CI' 'active' '137075,
cuberite/cuberite,,
CaffeineMC/sodium-fabric,gradle-ci' 'active' '1786103' 'release-artifacts' 'active' '1786104,
MultiMC/Launcher,,
GeyserMC/Geyser,Build Pull Request' 'active' '50762,
PojavLauncherTeam/PojavLauncher,Android CI' 'active' '2436016' 'pages-build-deployment' 'active' '19420486,
PrismarineJS/mineflayer,CI' 'active' '1443952' 'npm-publish' 'active' '1303638' 'pages-build-deployment' 'active' '16552378,
pmmp/PocketMine-MP,CI' 'active' '4177875' 'Manage support request issues' 'active' '5354332' 'Draft release' 'active' '12309661' 'Update update.pmmp.io API info' 'active' '12309662' 'Update Docker Hub images' 'active' '22183890' 'Notify Discord webhook of release' 'active' '32027399' 'test' 'active' '41165512,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'DDOO NNOOTT rreeppoorrtt vvuullnneerraabbiilliittiieess oonn tthhee GGiittHHuubb iissssuuee ttrraacckkeerr GitHub is public and' 'anyone can see the issues you post on the issue tracker including people who' 'would exploit vulnerabilities for their own gain' 'WWAARRNNIINNGG YYoouu mmaayy ppuutt lliivvee sseerrvveerrss aatt rriisskk bbyy rreeppoorrttiinngg aa vvuullnneerraabbiilliittyy oonn tthhee
PrismLauncher/PrismLauncher,Build' 'active' '37709441' 'CodeQL Code Scanning' 'active' '40147731' 'Build Application' 'active' '37709442' 'Build Application and Make Release' 'active' '37709443' 'Publish to WinGet' 'active' '37709444,
EngineHub/WorldEdit,CodeQL' 'active' '16267028' 'Gradle Build' 'active' '6562292,SSuuppppoorrtteedd VVeerrssiioonnss' 'We only support the latest release of Minecraft and the latest release of our' 'software' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Vulnerabilities should be reported to our security email' 'securityenginehuborg' 'WorldEdit is designed to be an admin tool We do not consider users being able' 'to break limits or cause lag security vulnerabilities iiff tthheeyy aarree ggiivveenn' 'ppeerrmmiissssiioonn ttoo rruunn tthhee ccoommmmaannddss Only performance issues resulting from players' 'without permissions are considered security vulnerabilities
IrisShaders/Iris,build-release' 'active' '12866845' 'Java CI with Brachyura' 'active' '3648602,
feather-rs/feather,Check & Test & Lints & Build' 'active' '975334' 'Release' 'active' '1186960,
Querz/mcaselector,Release' 'active' '28194996,
toolbox4minecraft/amidst,,
MCSManager/MCSManager,pages-build-deployment' 'active' '17178804' 'CodeQL' 'active' '30222050' 'Node.js CI' 'active' '30222129' 'Dependency Review' 'active' '30222149,
microsoft/pxt,CodeQL' 'active' '7961251' 'pxt-buildmain' 'active' '5410646' 'pxt-buildpr' 'active' '5410532' 'pxt-buildpush' 'active' '5410531,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
icexin/gocraft,Go' 'active' '774733,
Creators-of-Create/Create,Label Issues' 'active' '16339673' 'Crowdin Action' 'active' '29534042' 'Close Issues' 'disabled_manually' '16339672,
JannisX11/blockbench,pages-build-deployment' 'active' '16702036,
GlowstoneMC/Glowstone,Dev Build' 'active' '4866931' 'CI' 'active' '4866994,
PolyMC/PolyMC,Build' 'active' '19107904' 'Build Application' 'active' '19792207' 'Build Application and Make Release' 'active' '20494202' 'Publish to WinGet' 'active' '29893956,
PistonDevelopers/hematite,,
Minestom/Minestom,Check PR code style' 'disabled_manually' '3678069' 'CodeQL' 'disabled_manually' '7683526' 'Build and deploy Javadoc' 'active' '3632766' 'Build and test Minestom' 'active' '3632767' 'Trigger Jitpack Build' 'active' '12583257' 'pages-build-deployment' 'active' '16759524,
LuckPerms/LuckPerms,Build Gradle and Publish Docker image' 'active' '30669574,
Luohuayu/CatServer,,
FabricMC/fabric,Build' 'active' '1640506' 'Manage Issues' 'active' '24469173' 'Release' 'active' '3406096,
CaffeineMC/lithium-fabric,gradle-ci' 'active' '920703' 'release-artifacts' 'active' '929228' 'gradle-ci' 'active' '18290956,
EssentialsX/Essentials,Build EssentialsX' 'active' '214763' 'Build EssentialsX' 'active' '8698297' 'Build Pull Request' 'active' '7123315,
mouse0w0/MinecraftDeveloperGuide,pages-build-deployment' 'active' '21255514,
valence-rs/valence,Rust' 'active' '36323733,
MightyPirates/OpenComputers,Java CI with Gradle' 'active' '27713652' 'publish' 'active' '27713653,
PurpurMC/Purpur,Build Purpur' 'active' '8557775' 'Build' 'active' '13764973,
PorkStudios/FarPlaneTwo,,
BuildCraft/BuildCraft,Java CI with Gradle' 'active' '28391834,
PaperMC/Velocity,Java CI with Gradle' 'active' '5323462,
AOF-Dev/MCinaBox,APK Debug' 'active' '5746677' 'APK Release Nightly Build' 'active' '5990131,
Amulet-Team/Amulet-Map-Editor,Build' 'active' '3615956' 'Stylecheck' 'active' '3615862' 'Unittests' 'active' '3615863,
AppliedEnergistics/Applied-Energistics-2,Lock threads' 'active' '875307' 'Build PRs' 'active' '1510922' 'Build branches' 'active' '1511137' 'Release' 'active' '1620121' 'Update translations' 'active' '16899361' 'Build and Test' 'active' '17077642' 'Nightly' 'active' '28363551,
SpongePowered/SpongeForge,Java CI with Gradle' 'active' '3028540' 'License Check' 'active' '3028541' 'Build and Deploy' 'active' '3028542' 'Validate Gradle Wrapper' 'active' '3028543,
BlueMap-Minecraft/BlueMap,Build' 'active' '38378345' 'Publish' 'active' '38378346,
MeteorDevelopment/meteor-client,Build Pull Request' 'active' '5031900' 'Publish' 'active' '13752793' 'Dev Build' 'active' '30372617,
MCCTeam/Minecraft-Console-Client,Build MCC and Documents' 'active' '18681002' 'Build Documents' 'active' '39791874' 'Sync Translations' 'active' '39791875,
michaljaz/webmc,Build and Deploy' 'active' '7483475' 'pages-build-deployment' 'active' '17193668,
SpongePowered/SpongeAPI,Validate Gradle Wrapper' 'active' '1630534' 'Build and Deploy' 'active' '3010547' 'Build' ' Test' ' and Deploy' 'active' '9504887' 'Checkstyle' 'active' '9504892' 'Spotless Check' 'active' '37558335,
MCHPR/MCHPRS,Build' 'active' '15480684' 'Docker' 'active' '17177813' 'Test' 'active' '15480885,
PojavLauncherTeam/PojavLauncher_iOS,Development build' 'active' '13535296' 'iOS build' 'active' '4564882' 'Release build' 'active' '13535333,
