author_repo,wf_contents,security_policy
monero-project/monero,ci/gh-actions/build-time-test' 'active' '27359244' 'ci/gh-actions/cli' 'active' '437974' 'ci/gh-actions/depends' 'active' '4156133' 'ci/gh-actions/gitian' 'active' '41942143,
xmrig/xmrig,,
yjjnls/awesome-blockchain,,
cazala/coin-hive,,
MultiPoolMiner/MultiPoolMiner,,
Cyclenerd/ethereum_nvidia_miner,,
darkrenaissance/darkfi,.github/workflows/matrix-commit-message.yml' 'active' '9044913' 'Test' 'active' '14575838' 'Generate DarkFi Book' 'active' '16556487' 'pages-build-deployment' 'active' '16557166' 'CI Checks' 'active' '16565628' 'Stable lints' 'active' '16565629' 'Push Notification IRC' 'disabled_manually' '30022831,
xmrig/xmrig-nvidia,,
SChernykh/p2pool,C/C++ CI' 'active' '12832737' 'CodeQL' 'active' '12778033' 'cppcheck' 'active' '12855171' 'Microsoft C++ Code Analysis' 'active' '14633886' 'Sync test' 'active' '33055600,
oliverw/miningcore,.NET' 'active' '15226202,
lucasjones/cpuminer-multi,,
UnamSanctam/SilentCryptoMiner,,
haveno-dex/haveno,CI' 'active' '8301786' 'CodeQL' 'active' '15478050' 'Comment to label' 'active' '8562269' 'Trigger e2e haveno-ts tests' 'active' '44313358,
nanopool/nanominer,,
AleoHQ/wagyu,,
deepwn/deepMiner,,
xmrig/xmrig-proxy,,
bradoyler/xmr-miner,,
comit-network/xmr-btc-swap,CI' 'active' '2750658' 'Create 'preview' release' 'active' '6398591' 'Build swap and asb release binaries' 'active' '7136179' 'Create release' 'active' '7136180' 'Draft new release' 'active' '7136181,
UnamSanctam/SilentXMRMiner,,
sammy007/monero-stratum,,
cazala/coin-hive-stratum,,
xmrig/xmrig-amd,,
cake-tech/cake_wallet,Cache Dependencies' 'active' '43800663' 'PR Test Build' 'active' '41128016,
jtgrassie/monero-pool,,
moneroexamples/onion-monero-blockchain-explorer,,
bitcartcc/bitcart,Lint' 'active' '23909621,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report security issues send an email to bitcartservicesgmailcom' 'The following keys may be used to communicate sensitive information to' 'developers' 'NNaammee       FFiinnggeerrpprriinntt' 'MrNaif AB FF ED  E D CDE  CD BC' 'You can import a key by running the following command with that individuals' 'fingerprint gpg recvkeys fingerprint Ensure that you put quotes around' 'fingerprints containing spaces
monerobook/monerobook,,
x25/coinhive-stratum-mining-proxy,,
notgiven688/webminerpool,,
CoinSpace/CoinSpace,CoinSpace CI' 'active' '10668971,
nemosminer/NemosMiner,,
AthanorLabs/atomic-swap,.github/workflows/build-macos.yaml' 'active' '40489959' 'checks' 'active' '14570839' '.github/workflows/integration-tests.yaml' 'active' '21505019' '.github/workflows/unit-tests.yml' 'active' '14570840,
monero-ecosystem/monero-python,,
Ragnaroek/mithril,Rust' 'active' '11399682,
ebellocchia/bip_utils,,
Mikerah/awesome-privacy-on-blockchains,,
xmrMiner/xmrMiner,,
PiTi2k5/Crypto-Webminer,,
cazala/react-coin-hive,,
NYAN-x-CAT/Lime-Miner,,
moneroexamples/openmonero,,
monero-ecosystem/monero-javascript,pages-build-deployment' 'active' '16864577,
sethforprivacy/self-hosted-services,,
amiuhle/kasisto,,
christ0ph3r/cryptocurrency-cli,,
jimywork/cromos,,
PsychicCat/monero-nodejs,,
hawksh/Hidden-miner-builder,,
jtgrassie/xmr-wasm,,
monero-rs/monero-rs,CI' 'active' '8665444' 'Code Coverage' 'active' '13862669' 'Create release' 'active' '14860731' 'Draft new release' 'active' '14860732' 'Release to crates.io' 'active' '14860733,
sumoprojects/SumoEasyMiner,,
monero-ecosystem/monero-java,pages-build-deployment' 'active' '16864575,
monero-integrations/monerowp,,
pluja/kycnot,,
LukasMasuch/best-of-crypto,update-best-of-list' 'active' '17601429,
christ0ph3r/cryptocurrency-dashboard,,
jtgrassie/monero-powpy,,
cytopia/coinwatch,,
fotolockr/CakeWallet,,
h4sh3d/xmr-btc-atomic-swap,,
Equim-chan/cryptonight,,
monerodocs/md,,
DotNetRussell/MinerInTheMiddle,,
monero-ecosystem/monero-GUI-guide,,
farcaster-project/RFCs,,
CryptoGrampy/HotShop,pages-build-deployment' 'active' '26481924' 'Docker Image CI' 'active' '42178383,
cnrig/cnrig,,
giansalex/monero-miner-docker,pages-build-deployment' 'active' '19753405,
FungibilityMatters/MoneroMixer,,
hinto-janaiyo/monero-bash,,
jieyima/Cryptocurrency_Investment_Analysis_and_Modeling,,
wrkzcoin/TipBot,CodeQL' 'active' '22987457,
gabstv/go-monero,,
koalalorenzo/wallets,,
monero-ecosystem/vanity-monero,,
dotnwat/xmonarch,,
cryptoprofitswitcher/CryptoProfitSwitcher,Build CryptoProfitSwitcher' 'active' '365280,
immrmonero/coin-imp,,
elsesiy/crypto-trader,,
X-CASH-official/xcash-dpops,,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you discover a security vulnerability please send an email to' 'securityxcashfoundation All security vulnerabilities will be promptly' 'addressed
vtnerd/monero-lws,,
uPlexa/uplexa,,
monero-ecosystem/dont-buy-monero-sticker,,
Crypto-Loot/cryptoloot,,
SoftblocksCo/Valets,,
umbertocicero/coinhive-monero,,
wownero/wownero,continuous-integration/gh-actions/cli' 'active' '771961,
sethforprivacy/simple-monerod-docker,Update image and push to Github Packages and Docker Hub weekly' 'active' '7122951' 'Update image when Dockerfile is changed' 'active' '7123003' 'Build and scan container for vulnerabilities with Trivy' 'active' '11267214' 'Test build of image when Dockerfile is changed' 'active' '16090158,
ebellocchia/py_crypto_hd_wallet,,
Dead2/CryptoGoblin,,
metal3d/docker-xmrig,pages-build-deployment' 'active' '30458979,
PedroD/monero-stratum-docker,,
monero-ecosystem/monero-cpp,pages-build-deployment' 'active' '16864093,
blur-network/blur,Blur Master Branch' 'active' '92161,
mikekazakov/xmr-stak-cpu-ios,,
dunklesToast/XMRigFrontend,,
xmrig/xmrig-config,,
patcito/mindwallet,,
monero-ecosystem/go-monero-rpc-client,,
b-i-t-n/alpine-xmrig,,
cazala/coin-hive-proxy,,
snowdream/docker-xmr,,
lalanza808/monero.fail,,
hinto-janaiyo/gupax,,
youngqqcn/QBlockChainNotes,,
Jefreesujit/easyminer,,
monero-ecosystem/meta,,
onodera-punpun/sako,,
moneropay/moneropay,,
monero-ecosystem/telegram-monerotipbot,,
bitrequest/bitrequest.github.io,pages-build-deployment' 'active' '16821625,
cryptoshrimpi/monerod-js,,
pcca-matrix/XMRig-Proxy-Frontend,,
djphoenix/MoneroKit,,
neokarasu/CryptoCurrency,,
tipxmr/tipxmr,CI' 'active' '40481810,
