author_repo,wf_contents,security_policy
MvvmCross/MvvmCross,dotnet format' 'active' '20535854' 'pages-build-deployment' 'active' '34517024,SSuuppppoorrtteedd VVeerrssiioonnss' 'We support only the latest version of MvvmCross which can be found on the' 'MvvmCross NuGetorg profile' 'VVeerrssiioonn SSuuppppoorrtteedd' '   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'PPlleeaassee ddoo nnoott ooppeenn ppuubblliicc GGiittHHuubb iissssuueess ffoorr aannyytthhiinngg yyoouu tthhiinnkk mmiigghhtt hhaavvee aa' 'sseeccuurriittyy iimmpplliiccaattiioonn' 'Instead please contact us directly by send an email to mvvmcross at gmailcom' 'Please prefix the subject of your email with security in lowercase and square' 'brackets Otherwise our email filters may automatically move such messages to' 'spam' 'You will receive an acknowledgement of your report within  hhoouurrss' 'If you do not receive an acknowledgment within said time frame please give us' 'the benefit of the doubt as it might be possible that we have not seen the' 'email yet' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'HHiissttoorryy' 'nothing
MvvmCross/MvvmCross-Samples,,
MvvmCross/NPlus1DaysOfMvvmCross,,
Baseflow/Chameleon,,
Plac3hold3r/MvxScaffolding,,
Cheesebaron/Cheesebaron.MvxPlugins,,
Nethereum/Nethereum.UI.Wallet.Sample,,
Baseflow/MvxForms,,
rogerwcpt/xamarin-mvvvm-frameworks,,
DominicMaas/SoundByteOSS,,
grendio/XBottomSheet,,
mgj/MvvmCross-Dreams,,
softlion/XamSvg-Samples,,
zleao/MvvmCross-Extensions,,
nmilcoff/TagsView,,
AppRopio/AppRopio.Mobile,,
jimbobbennett/MvvmCross-VisualStudioAddIn,,
TorisanKitsune/MinoriEditorShell,Verification Build' 'active' '11800379' '${{ env.GitVersion.NuGetVersion }}' 'active' '11822538,
entdark/JKChat,,
wcoder/MvvmCrossStarterKit,,
MeshackMusundi/StaffStuff-MvvmCross,,
Danielbahe/Xamarin.Popups,,
jsuarezruiz/mvxforms-samples,,
isax5/Hymnal-Xamarin,,
heytherewill/MvvmCross.FSharp,,
Plac3hold3r/PH.SharedElement,,
daniel-p/XamarinWorkshop-GetReal,,
eiadxp/MvvmCross.Platforms.Wpf.ItemsViewPresenter,,
roygarbriceno/ARDemo,,
rogerwcpt/weissdigital.xamarin.addins.mvxcontentpage,,
Strifex/MvvmCross_Sample,,
orestesgaolin/bottomnavview-xamarin-example,,
g0rdan/g0rdan.MvxPlugin.AlertDialog,,
canbilgin/mvvmcross-samples,,
sbytedev/demo-xamarin-mvvmcross-popups,,
mikeacosta/mvx-custom-binding,,
NAXAM/busuu-clone-xamarin-app,,
Danielbahe/Fluxamarin,,
yash786agg/AndroidArchitectureComponent,,
LogoFX/logofx-client-mvvm-viewmodelfactory,,
dawcza3/MvvmCross-Qr-Code-Scanner,,
eiadxp/MvvmTools,,
mgj/MvvmCross-Plugins,,
mr-kg/XamarinMvvmCrossExamples,,
gentilijuanmanuel/xamarin-playground,,
riseworld27/MvvmCross-SMS-Example,,
sbytedev/Net.MvvmCross.Plugins.UserAgent,CD' 'active' '10564506' 'CI' 'active' '10564485,
rodolphocastro/ARDC.BizCard,,
sbytedev/Net.MvvmCross.Plugins.WebBrowser,CD' 'active' '10564254' 'CI' 'active' '10564235,
klzig/MapX,,
b099l3/MvxTutorials,,
mharrisonbit/FireTvApp,,
sbytedev/Net.MvvmCross.Plugins.DateTimeConverter,CD' 'active' '1135174' 'CI' 'active' '1144145,
Xablu/Meetups,,
jimbobbennett/CrossPlatformSummit,,
Tyron18/TMapViews,,
herbat73/mcforms,,
gabrieldelaparra/TaskLog,,
vincenzo-petronio/LearningXamarin,,
darkmortem/TestMvvmCross,,
sbytedev/demo-xamarin-mvvmcorss-storyboards,,
tnapes96/RPECalc,,
preetanshumishra/basic-mvvmcross-setup-xamarin-native,,
csharpnl/Breakout,,
EnzoA/Movies-App,,
smolyakoff/food-by-me,,
sbytedev/Net.MvvmCross.Plugins.FeatureRegistry,CD' 'active' '10564931' 'CI' 'active' '10564910,
minhnguyenlinknode/IncidentApp,,
preetanshumishra/basic-mvvmcross-setup-xamarin-forms,,
CiBuildOrg/Xamarin-Starter,,
qdzungpham/SCRecover,,
