author_repo,wf_contents,security_policy
freeCodeCamp/freeCodeCamp,CI - Run CodeQL Analysis' 'active' '1622344' 'CI - Node.js Test Current' 'active' '2139888' 'CI - Node.js Test Upcoming' 'active' '2883490' 'CI - Create CodeSee Maps' 'active' '15925942' 'i18n - Download Client UI' 'active' '15925944' 'i18n - Download Curriculum' 'active' '15925945' 'i18n - Download Docs' 'active' '15925946' 'i18n - Upload Client UI' 'active' '15925947' 'i18n - Upload Curriculum' 'active' '15925948' 'i18n - Upload Docs' 'active' '15925949' 'pages-build-deployment' 'active' '16423383' 'Dependency Review' 'active' '25617322' 'Github - Welcome First-timers' 'active' '28360722' 'i18n - Curriculum PR Validation' 'active' '37510435' 'CI - E2E - Web browser' 'active' '37510436' 'CI - E2E - Mobile (webview) Browser' 'active' '37510437' 'i18n - Build Validation' 'active' '37514100' 'CI - E2E - 3rd party donation tests' 'active' '37514102' 'GitHub - Autoclose Invalid PRs' 'active' '37514103' 'GitHub - Label PRs' 'active' '37514104' 'GitHub - No translations via PRs' 'active' '37514106' 'CI - Unused Exports' ' Types and Files' 'active' '38075701' 'GitHub - Spam PR' 'disabled_manually' '37514107,
30-seconds/30-seconds-of-code,,
electron/electron,Only run build when needed' 'active' '127406' 'GitHub Actions' 'active' '15327393' 'Check Semantic Commit' 'active' '24563738' 'Lint' 'active' '25283566' 'Trigger Major Release Dependency Updates' 'active' '26806454' 'Electron WOA Testing' 'active' '31067835' 'Update AppVeyor Image' 'active' '32548657' 'Issue Labeled' 'active' '35433128' 'Close stale issues' 'active' '35978213' 'Scorecards supply-chain security' 'active' '40514209' 'Codespaces Prebuilds' 'active' '41139097,The Electron team and community take security bugs in Electron seriously We' 'appreciate your efforts to responsibly disclose your findings and will make' 'every effort to acknowledge your contributions' 'To report a security issue please use the GitHub Security Advisory Report a' 'Vulnerability tab' 'The Electron team will send a response indicating the next steps in handling' 'your report After the initial reply to your report the security team will' 'keep you informed of the progress towards a fix and full announcement and may' 'ask for additional information or guidance' 'Report security bugs in thirdparty modules to the person or team maintaining' 'the module You can also report a vulnerability through the npm contact form by' 'selecting Im reporting a security vulnerability' 'TThhee EElleeccttrroonn SSeeccuurriittyy NNoottiiffiiccaattiioonn PPrroocceessss' 'For context on Electrons security notification process please see the' 'Notifications section of the Security WGs Membership and Notifications' 'Governance document' 'LLeeaarrnniinngg MMoorree AAbboouutt SSeeccuurriittyy' 'To learn more about securing an Electron application please see the security' 'tutorial
axios/axios,Close Stale' 'active' '1594500' 'CI' 'active' '12016475' 'Dependency Review' 'active' '27466664' 'CodeQL' 'active' '29918896' 'CI: Labs' 'active' '43339538' 'Release Axios' 'active' '43366160' 'Release PR' 'active' '44706487,If you discover a security vulnerability in axios please disclose it via our' 'huntr page Bounty eligibility CVE assignment response times and past reports' 'are all there' 'Thank you for improving the security of axios
nodejs/node,Python 3 testing' 'active' '23884' 'Python 3 testing' 'active' '131770' 'First commit message adheres to guidelines' 'active' '826635' 'Build Windows' 'active' '858948' 'Linters' 'active' '858949' 'misc' 'active' '858950' 'Test Linux' 'active' '858951' 'Test macOS' 'active' '858952' 'Build from tarball' 'active' '863857' 'Test ASan' 'active' '998450' 'Auto Start CI' 'active' '2064336' 'Commit Queue' 'active' '2195107' 'Close stalled issues and PRs' 'active' '2418842' 'Comment on issues and PRs when labelled stalled' 'active' '2418843' 'Coverage Linux' 'active' '3010817' 'Coverage Windows' 'active' '3028483' 'License update' 'active' '3132906' 'Notify on Force Push' 'active' '4696937' 'coverage-linux-without-intl' 'active' '7233683' 'Label PRs' 'active' '8487903' 'Comment on issues and PRs when labeled' 'active' '8668149' 'Node.js daily job' 'active' '9584860' 'Find inactive collaborators' 'active' '11210537' 'Authors update' 'active' '12466282' 'Test and upload documentation to artifacts' 'active' '12500219' 'Test internet' 'active' '13131410' 'Tools and deps update' 'active' '15053580' 'Find inactive TSC members' 'active' '15496267' 'Close stale feature requests' 'active' '20146142' 'Tests' 'active' '26139603' 'Label Flaky Test Issues' 'active' '31880479' 'Timezone update' 'active' '33825334,RReeppoorrttiinngg aa bbuugg iinn NNooddeejjss' 'Report security bugs in Nodejs via HackerOne' 'Normally your report will be acknowledged within  days and youll receive a' 'more detailed response to your report within  days indicating the next steps' 'in handling your submission These timelines may extend when our triage' 'volunteers are away on holiday particularly at the end of the year' 'After the initial reply to your report the security team will endeavor to keep' 'you informed of the progress being made towards a fix and full announcement' 'and may ask for additional information or guidance surrounding the reported' 'issue' 'NNooddeejjss bbuugg bboouunnttyy pprrooggrraamm' 'The Nodejs project engages in an official bug bounty program for security' 'researchers and responsible public disclosures The program is managed through' 'the HackerOne platform See httpshackeronecomnodejs for further details' 'RReeppoorrttiinngg aa bbuugg iinn aa tthhiirrdd ppaarrttyy mmoodduullee' 'Security bugs in third party modules should be reported to their respective' 'maintainers' 'DDiisscclloossuurree ppoolliiccyy' 'Here is the security disclosure policy for Nodejs' '     The security report is received and is assigned a primary handler This' '      person will coordinate the fix and release process The problem is' '      confirmed and a list of all affected versions is determined Code is' '      audited to find any potential similar problems Fixes are prepared for' '      all releases which are still under maintenance These fixes are not' '      committed to the public repository but rather held locally pending the' '      announcement' '     A suggested embargo date for this vulnerability is chosen and a CVE' '      Common Vulnerabilities and Exposures CVE is requested for the' '      vulnerability' '     On the embargo date the Nodejs security mailing list is sent a copy of' '      the announcement The changes are pushed to the public repository and new' '      builds are deployed to nodejsorg Within  hours of the mailing list' '      being notified a copy of the advisory will be published on the Nodejs' '      blog' '     Typically the embargo date will be set  hours from the time the CVE is' '      issued However this may vary depending on the severity of the bug or' '      difficulty in applying a fix' '     This process can take some time especially when coordination is required' '      with maintainers of other projects Every effort will be made to handle' '      the bug in as timely a manner as possible however its important that' '      we follow the release process above to ensure that the disclosure is' '      handled in a consistent manner' 'TThhee NNooddeejjss tthhrreeaatt mmooddeell' 'In the Nodejs threat model there are trusted elements such as the underlying' 'operating system Vulnerabilities that require the compromise of these trusted' 'elements are outside the scope of the Nodejs threat model' 'For a vulnerability to be eligible for a bug bounty it must be a vulnerability' 'in the context of the Nodejs threat model In other words it cannot assume' 'that a trusted element such as the operating system has been compromised' 'Being able to cause the following through control of the elements that Nodejs' 'does not trust is considered a vulnerability' '     Disclosure or loss of integrity or confidentiality of data protected' '      through the correct use of Nodejs APIs' '     The unavailability of the runtime including the unbounded degradation of' '      its performance' 'If Nodejs loads configuration files or runs code by default without a' 'specific request from the user and this is not documented it is considered a' 'vulnerability Vulnerabilities related to this case may be fixed by a' 'documentation update' 'NNooddeejjss ddooeess NNOOTT ttrruusstt' '    The data from network connections that are created through the use of' '      Nodejs APIs and which is transformedvalidated by Nodejs before being' '      passed to the application This includes' '          o HTTP APIs all flavors client and server APIs' '          o DNS APIs' '    Consumers of data protected through the use of Nodejs APIs for example' '      people who have access to data encrypted through the Nodejs crypto' '      APIs' '    The file content or other IO that is opened for reading or writing by' '      the use of Nodejs APIs ex stdin stdout stderr' 'In other words if the data passing through Nodejs tofrom the application can' 'trigger actions other than those documented for the APIs there is likely a' 'security vulnerability Examples of unwanted actions are polluting globals' 'causing an unrecoverable crash or any other unexpected side effects that can' 'lead to a loss of confidentiality integrity or availability' 'NNooddeejjss ttrruussttss eevveerryytthhiinngg eellssee As some examples this includes' '    The developers and infrastructure that runs it' '    The operating system that Nodejs is running under and its configuration' '      along with anything under control of the operating system' '    The code it is asked to run including JavaScript and native code even if' '      said code is dynamically loaded eg all dependencies installed from the' '      npm registry The code run inherits all the privileges of the execution' '      user' '    Inputs provided to it by the code it is asked to run as it is the' '      responsibility of the application to perform the required input' '      validations' '    Any connection used for inspector debugger protocol regardless of being' '      opened by command line options or Nodejs APIs and regardless of the' '      remote end being on the local machine or remote' '    The file system when requiring a module See httpsnodejsorgapi' '      moduleshtmlalltogether' 'Any unexpected behavior from the data manipulation from Nodejs Internal' 'functions are considered a vulnerability' 'In addition to addressing vulnerabilities based on the above the project works' 'to avoid APIs and internal implementations that make it easy for application' 'code to use the APIs incorrectly in a way that results in vulnerabilities' 'within the application code itself While we dont consider those' 'vulnerabilities in Nodejs itself and will not necessarily issue a CVE we do' 'want them to be reported privately to Nodejs first We often choose to work to' 'improve our APIs based on those reports and issue fixes either in regular or' 'security releases depending on how much of a risk to the community they pose' 'EExxaammpplleess ooff vvuullnneerraattiibbiittiieess' 'IImmpprrooppeerr CCeerrttiiffiiccaattee VVaalliiddaattiioonn CCWWEE' '     Nodejs provides APIs to validate handling of Subject Alternative Names' '      SANs in certficates used to connect to a TLSSSL endpoint If' '      certificates can be crafted which result in incorrect validation by the' '      Nodejs APIs that is considered a vulnerability' 'IInnccoonnssiisstteenntt IInntteerrpprreettaattiioonn ooff HHTTTTPP RReeqquueessttss CCWWEE' '     Nodejs provides APIs to accept http connections Those APIs parse the' '      headers received for a connection and pass them on to the application' '      Bugs in parsing those headers which can result in request smuggling are' '      considered vulnerabilities' 'MMiissssiinngg CCrryyppttooggrraapphhiicc SStteepp CCWWEE' '     Nodejs provides APIs to encrypt data Bugs that would allow an attacker' '      to get the original data without requiring the decryption key are' '      considered vulnerabilities' 'EExxtteerrnnaall CCoonnttrrooll ooff SSyysstteemm oorr CCoonnffiigguurraattiioonn SSeettttiinngg CCWWEE' '     If Nodejs automatically loads a configuration file which is not' '      documented and modification of that configuration can affect the' '      confidentiality of data protected using the Nodejs APIs this is' '      considered a vulnerability' 'EExxaammpplleess ooff nnoonnvvuullnneerraattiibbiittiieess' 'MMaalliicciioouuss TThhiirrddPPaarrttyy MMoodduulleess CCWWEE' '     Code is trusted by Nodejs therefore any scenario that requires a' '      malicious thirdparty module cannot result in a vulnerability in Nodejs' 'PPrroottoottyyppee PPoolllluuttiioonn AAttttaacckkss CCWWEE' '     Nodejs trusts the inputs provided to it by application code It is up to' '      the application to sanitize appropriately therefore any scenario that' '      requires control over user input is not considered a vulnerability' 'UUnnccoonnttrroolllleedd SSeeaarrcchh PPaatthh EElleemmeenntt CCWWEE' '     Nodejs trusts the file system in the environment accessible to it' '      Therefore it is not a vulnerability if it accessesloads files from any' '      path that is accessible to it' 'EExxtteerrnnaall CCoonnttrrooll ooff SSyysstteemm oorr CCoonnffiigguurraattiioonn SSeettttiinngg CCWWEE' '     If Nodejs automatically loads a configuration file which is documented' '      no scenario that requires modification of that configuration file is' '      considered a vulnerability' 'RReecceeiivviinngg sseeccuurriittyy uuppddaatteess' 'Security notifications will be distributed via the following methods' '     httpsgroupsgooglecomgroupnodejssec' '     httpsnodejsorgenblog' 'CCoommmmeennttss oonn tthhiiss ppoolliiccyy' 'If you have suggestions on how this process could be improved please submit a' 'pull request or file an issue to discuss
goldbergyoni/nodebestpractices,automerge' 'active' '8481615' 'CI' 'active' '8663039' 'CI' 'active' '8662289' 'Lint & Generate HTML from Markdown' 'active' '9094113' 'Update date in last update badge' 'active' '7193813,
nvm-sh/nvm,Docker Image CI' 'active' '7397517' 'install script' 'active' '38695963' 'Tests: `nvm install-latest-npm`' 'active' '3762809' 'Tests: linting' 'active' '3762810' 'Node.js CI' 'active' '7397544' 'Automatic Rebase' 'active' '1156612' 'Tests: release process' 'active' '3745038' 'Require “Allow Edits”' 'active' '3436117' 'Tests: shellcheck' 'active' '3697197' 'urchin tests' 'active' '12771595' 'update readme TOC' 'active' '1156497' 'Tests on Windows: `nvm install`' 'active' '4558806,Please email ljharb or see httpstideliftcomsecurity if you have a' 'potential security vulnerability to report
expressjs/express,ci' 'active' '10933076,
socketio/socket.io,CI' 'active' '4083886,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x     ' 'x     ' 'x   ' '  ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a security vulnerability in this package please send an email to' 'darrachequesne see address in profile describing the vulnerability and how' 'to reproduce it' 'We will get back to you as soon as possible and publish a fix if necessary' ' IMPORTANT  please do not create an issue in this repository as attackers' 'might take advantage of it Thank you in advance for your responsible' 'disclosure' 'HHiissttoorryy' 'No security vulnerability were reported yet
leonardomso/33-js-concepts,Check Markdown links' 'active' '8286731,
