author_repo,wf_contents,security_policy
bitcoin/bitcoin,,SSuuppppoorrtteedd VVeerrssiioonnss' 'See our website for versions of Bitcoin Core that are currently supported with' 'security updates httpsbitcoincoreorgenlifecycleschedule' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report security issues send an email to securitybitcoincoreorg not for' 'support' 'The following keys may be used to communicate sensitive information to' 'developers' 'NNaammee          FFiinnggeerrpprriinntt' 'Pieter Wuille E AC  FA CF B F EB E ' 'Michael Ford  E F C DD  EB D F ACD BA' 'Andrew Chow      C D D   EE E' 'You can import a key by running the following command with that individuals' 'fingerprint gpg keyserver hkpskeysopenpgporg recvkeys' 'fingerprint Ensure that you put quotes around fingerprints containing' 'spaces
syncthing/syncthing,Go' 'active' '165636' 'Build Syncthing' 'active' '38918121' 'Update translations and documentation' 'active' '17680934,If you believe that youve found a Syncthingrelated security vulnerability' 'please report it by sending email to the address securitysyncthingnet The' 'PGP key for securitysyncthingnet BADBCAB can be used to send' 'encrypted mail or to verify responses received from that address' 'You can read more about Syncthing security at httpssyncthingnetsecurity
ethereum/go-ethereum,Go' 'active' '6875870,SSuuppppoorrtteedd VVeerrssiioonnss' 'Please see Releases We recommend using the most recently released version' 'AAuuddiitt rreeppoorrttss' 'Audit reports are published in the docs folder httpsgithubcomethereumgo' 'ethereumtreemasterdocsaudits' 'SSccooppee  DDaattee     RReeppoorrtt LLiinnkk' 'geth    pdf' 'clef    pdf' 'Discv  pdf' 'Discv  pdf' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'PPlleeaassee ddoo nnoott ffiillee aa ppuubblliicc ttiicckkeett mentioning the vulnerability' 'To find out how to disclose a vulnerability in Ethereum visit https' 'bountyethereumorg or email bountyethereumorg Please read the disclosure' 'page for more information about publicly disclosed security vulnerabilities' 'Use the builtin geth versioncheck feature to check whether the software is' 'affected by any known vulnerability This command will fetch the latest' 'vulnerabilitiesjson file which contains known security vulnerabilities' 'concerning geth and crosscheck the data against its own version number' 'The following key may be used to communicate sensitive information to' 'developers' 'Fingerprint AE ED E B F EF ED  FAF AA' 'BEGIN PGP PUBLIC KEY BLOCK' 'Version SKS ' 'Comment Hostname pgpmitedu' '' 'mQINBFgltgBEACAtUBkDYVeLrOmtgyJSHRoZvkgKWZIYfjiIRaYneAkBp' 'GUPVzzhKrgtMXIScDREnaDsYQgJqQlNOGCikrnnkGonLcyiqryZTCmYM' 'qCaacTFqnyuXJaZNtBQGBpzfhWkYThpegkEoRUimybuJDtoNfYILlhDQXNq' 'lHBDWOVUihphtUIFsPKBvTrSIreGjkbfUopexOnLSSojoJmsmdpAoKlac' 'cZUzwRAYcqnvkrfmfWkObgxRdEvKZznjRopmAIwmoCCiLmqCHPmTavEoby' 'PFEkujjZCPOuOwjzDkMzMSfnNfDqbXhnnueBxJNzgDoCcPhMXRQCXCho' 'yIvbfpdGvCvYqvQAEbWjqnumZvUPgZNgDfiAzGmUxCSeFBhacgzDvtQlsuuvmF' 'nQOUggHhxzgoZkqVwjaUPFREueweThBxielnzOfVycVXeSuvvIncdgsmXc' 'kLSXJRKdWDrIrRAzkwAqFZtBQTlDrPswumxsmTzMbnyPsbLHBMGZEZCjMXxB' 'bqVeSaktjnSlUNXVXxyOxXAZGjwpregiriVRXokrQARAQABtDRFdGhlcmVbSBG' 'bVuZGFaWuIEJZyBCbVudHkgPGJvdWeUBldGhlcmVbSvcmciQIcBBEBCAAGBQJa' 'FCYAAoJEHoMAQnfveHPgJBPoBXZLisUfbUWjwLiYihZqIJUnzSWTqBzgb' 'mCZJiTHsxQetSARabzDybQFhDIWnqVTKuBMRzJtuhLzKCyMrAINPMo' 'rKWdunHHarpuRmtLzWJkleQVYbvkZXJJEPJwNIYeKKeCsubeqZuGAsMzzB' 'JnmdRRAvazzbrFbynzbMxWKTsJnstjCgsEeIZcdotSyelLtCUkkhsTvpV' 'WvBNSUBYsMkxyFiPUyyWixgeasKjGoOtDvaFkpRHrTEWAOXDRcLrHJMSwD' 'CwqcLQqJdNxwUWiKeBmPptTiOGuGvoaEyoaWrHRBOJuYrQrjqBHJezjAdqt' 'nibLwLnLAVDpprNTOeZDprvsoFSUNwziHybovuyXpADGkKevOMcPohX' 'QRQMTxLjwPYkwlvLUkiDPXPGPILnhYOkwBRDsCOPnxyFxEELmupRzt' 'CjoCYAoweeShgUjBPzbnGYmOcFfbUPBgFyMMfwFjoHbiVIOUtgysZaKFyp' 'XqVDqyEkYXsOLbOCbrtIJEPgBPwcHKGNagRfLxnQViVZKNHyQgSiQIBBMBAgAo' 'AhsDBgsJCAcDAgYVCAIJCgsEFgIDAQIeAQIXgAUCWglhgUJBaNgWAAKCRDojTMlqCgQ' 'DudJpVzGIZWyNaVvtdvfKsTLiGIRJLUBqVbYxuhnNjTltAhCVosCQpzvikMl' 'sqOvukwEWFFkwKroIpTqlVIjwhRVQrCkRoAkeUdUntqJUTYeVgqbqdsI' 'ZZTRyPJMDYpuAIcaahwjExksYQdMeprnDrQkkBCbFIMqfDzBPKvEaDcQrK' 'kxhrLDqilEgxtJdHDaRGLcaoHyMyPsbZOsfmZUObfMoZgPpqYMJanhzOj' 'dpnItyBiipckNxnMOfeikEMBvWUJTttWzApGGmFUzDhtuEvRHNBjtJpMrYspIGu' 'OQNYKKOKQTvVIlwGcmdTsSkqtBDSUwZyWbfKfKOIRhMdCgjBOYDYYVrdTK' 'ZtYjuhdfsbhuPuFcgnSSZlvazvfEghtHPnYxvLjfqbJAhCIXhNgandPAEFky' 'fSkoJPKvdSvsUcSiQQUHXjNBjXRfGFutgbJnhXzEckzgqtwSDZHoddVuOSsc' 'TsKCdXthSKnRyuIsGUpGglpKWIfYkWFKNZWuQYUatYQEDHXTIioycSmVpdgS' 'VTegidLxYbXMkbqznFArRffvMHqtcYkCPgQTAQIAKAUCWCXhOwIbAwUJAeEzgAYL' 'CQgHAwIGFQgCCQoLBBYCAwECHgECFAACgkQIzNPpfagrNwIgpvtYdNunikwyHnYf' 'JkmMmaMDUMmtsaXVNxbnNXaGWCpmdsbYZtIoQNHqbEIWFHFaFkMkm' 'AJVLuUkipCtmCZNkbRPJAluNUUEuuFXBhfddujbjMetRFkifJHVCCofISUNhLp' 'bwcWqqgDQNZNYMOosWXTlxgTZddcAYthwnkwhuMJmGojpLqIQjZiffm' 'otfrFLJhIIdWWIIhvBhHVllXwzojPALstThDuKoIiirFJDejUGRKKAS' 'DeOGlSpWjrSgFvNgAOxqXBbQTuajdcYJpHRHJJwzfHsHPgDQcgYrGlmjVF' 'aqUWVhzXcHshKkZduDzypvrFsZUemKaLzXLVpVSPWQnSxSmDlYr' 'AENfdqvsnJQuBVIvTvUbNfDraDGJCstrObjBTvnBWTBCebbEsnSiStIFkWdz' 'WXsLYzreiJwqRjiuqahZRjHsjAUfaOHVHEzlFtCFmLPClmllGQfQOpmklGZF' 'rmvusqZrtUgWHPZezykkwtWrFOwspwuCWaPDtotgbRJZftitpdYYMdKWIGJXBwrt' 'BQrMsulpvDFyJAlUEEwEIADCGwMGCwkIBwMCBhUIAgkKCwQWAgMBAhBAheAFiEErpbt' 'lpHmwCEFIzNPpfagoFAmEAEJwFCQycmLgACgkQIzNPpfagpWoBAAhOcbMAUwZt' 'GYzTsRciatezPzXEXJfebzRMuPElXcxcnMxdvXZmGPXPJKCPaWCuNZYyFWj' 'GTOYtfIkvSxhyspgiPAmviduQmDbzivktnyzCkDWfMAllsCSEqVlaqyTaSWB' 'TzCSMPbRrCDpwyrNYWumvyVJhadmMwUGgstsZeMaRYEdXyyTCBpXzpE' 'qQjIEOTizvzvxjkHeZUeUnTBNlhSAWFHUipfBdoqogMvECPqMKoSdDtPbA' 'zqlyKoHHnXOMsqdftGwbivsYXWvrYvmaCdYsviOytHOyuVZEtBdYqoxNZjQMA' 'nYkjjrIXbUCMqrJsQxxWQIgikMTDvYLnevoJyVvwIQAwCmjUzFNmbZLYDOP' 'lGJCVtFNYVUNxNMvescKcmVNKpygSmxhKQYOUjZsIvgddrlTkqrFMuxFnTyN' 'WvzEwFunNDkFZBqSSlRvBHjzLrDgEzFWfeAwqdZbvMjjDVIcVGlYpCp' 'obcseTtYXTNYgSRgoEpHxibIWvbQQxGwBbTsmWUeWOcmXQewzLZTwK' 'NYehmUOFwWJOYEIeOUVaGVyZXVtIEZvdWkYXRpbgUVjdXJpdHkgVGVhbSA' 'cVjdXJpdHlAZXRoZXJldWubJnPokCHAQRAQgABgUCWhQmOgAKCRBDANNPLSEACT' 'wZkTASWZjQFrmkIMGEyBxLEPundNcMgMKtjEDSmiukNIknVSMYOIgXhQl' 'DfoFGKdTomrwwCzTNyUYCYLnPZZHGrZgZtZrbkzIiUpwAlhGQNDlBqem' 'JKCFXXpDAojuikqrYcwMTPxPJkwgpRgwjgdcZyJTsXdHblVIGUHVdSgcfAf' 'DbYxDUlBtzlpNkZqxenirLIXUQvsfuIfRUbUSkWoKnUgOCajAeZNFiXOWjHSw' 'NDAWhFWcGEdpfMVfPASUUPKHuwbVgRAvvoyMFdpjyCAYAhJuOpVyL' 'QaGgZkVOjuNWKkBzpFDWGhYBatbhEUyQOqAAtRlNfMQFAdrHTxXoZeqVWV' 'FmimkNwCIUvSSrZrdTchpOtyXegZBXSfzncCSRQIUDCOgNWaOzAaUmKvbvye' 'uSCxOysxCQhZtjzFPKdljSmRlYeULfHlJURbgmriSXLmneKrSEDmEGTnRx' 'TgXMqJssWFxDbboVEuyuFmZnmCBApAitHrsCshGIEpaMQxJCYUxyqeJHCc' 'AjaUfXhnKuvPClpJLIlREgmOXeEIkCPgQTAQIAKAIbAwYLCQgHAwIGFQgCCQoLBBYC' 'AwECHgECFAFAloJYfoFCQWjYFgACgkQIzNPpfagrMQcfpGSbSGdkqgctWFycQ' 'diiTmxcwxYtlIyrNmdjtrIQMzGdqtYLNzaNFmXNfDyVHXwdYUEhVCTzKC' 'sefUfxTzunDTTcGqaoelgIPMnIiKzRZEeKpfDWeqWYxbEqGNSjqTQSxpezF' 'EOAmtRRxVxDtqzLfHzLeazaCADjEqgYvXTQaDyVVMgOyECCCadJQCDOhIA' 'BgVDWwrAUwKBwskXZIqreJTKLEmtzzgtJfABwaCFtojwgRjbOcNAZwHLGwU' 'ChkbbRzIoZoMfYxVSopiqfTeqtXkBYCxbSXTJDAMKjcVuwNYKWbkGPEfQThe' 'BfAKFwwIwYmsWjHKIQjRhBxzTzrzyLuEAAFfAOJKaboIqbOlauHOuOUmVtr' 'TczHOpTcgWVNytqpXKBfvbmULNbgHFRqgHxCWjyXGkcqjbgUFwtDxeqRTdGJ' 'SyBGNBEUpBNolyynyaKaaJjJbiYpvjymLrlzBHDnZRRmqwlTeqwFYginujg' 'CCEicqOSEVjlVtVAcgANkXKdbBEQwlKsGIkSwXFAYcaNHFTqNeSTSFXFhvU' 'HylYxOtJAjEEwECACgFAlgltgCGwMFCQHhMAGCwkIBwMCBhUIAgkKCwQWAgMBAhB' 'AheAAAoJEOiNMzTXoKmUMPhnaLbVyepAqLIdvIUbHfagtOoKVfZsbkMxJOitJR' 'kwZVPTihXFdzhLYNWcLtEBtKItqkJZKmWCEOPXGVuUhfFPebuzVccYJfmQEj' 'VJIUomfBpakHYyEEDWVQjoYnXVPsonwusLDXcvutbrUdbjgaKjHbewDXO' 'wVVoXyHEmUPlygqvzFbNDylCWONMcOSNDitGZGrjOPRRTcnlVIRVcWZ' 'OTspPSnRGVrfFiHNvGwHPLQcJZFvYPfUGNdcYbTmhWdiYbEYXFiNrgzCCsyadeKUR' 'WNQmxqmyqLDjUEDJCAhESVgtqGwXkuNUCoFgaTxQtUXZJDEQFAGeASQRqEq' 'EAuLvIGMoIqKOpWfLuqsYdTbKBwDzzYOJtEOGuPPQbHxaYStTushZmJnmhilhVG' 'jTqsEJdEIlImHWnXsCevaXjZugBiyVyvOqHwweszKfrnQucadvGAheIqumM' 'YonDaJYmEPXWnhIbACaGmWvUwjIceresSPYnuHnMLAmqQwMVSmyUtC' 'MIAeMvvRRkYFLJPVPdNpbWjqXdoklFpKfXMBngYneUzgCUBiQJVBBMBCAA' 'AhsDBgsJCAcDAgYVCAIJCgsEFgIDAQIeAQIXgBYhBKWZaeRsAhPPhfiNMzTXoKBQJh' 'ABCQBQkMnJiAAoJEOiNMzTXoKAvPgJtwBpefNWyVLcIghcOouDNPvzfmgX' 'FoOJLMeigtPuSVfEkuTaTuRbArzuFtdvHGkcRQvOlOzyiIRHCkgDHoIvvtnRbRhVm' 'XouGIsFHstnABjicwEKOpIhHoqxzYSBgBVkfYEJIRyJiKFbyPjHeSYev' 'RaFugLxPmMVkWWPzULnsriWBGTnZmXFHZpnOpkUlcIFKRGlkmlCox' 'DiGAJCVulbAClkyCTmJRRazQxUIqVywsydqtbJQbmZGEtiCjjbSRJLoT' 'xCRilrPMREkPLvegJdgjPKlffZMocDEohiQwFpejFDiTljehexRUwCRb' 'ibJSQgUHlJJumEgdvZHDmMDfnARzcaOcdASbnQmzTOKcGzLIrkETEnU' 'UZOlSAAqmBgzYgKOilUhodkyCAwNLQDpvrITDPLEFPsjyBMKudZSVEnRletju' 'qkMWqFMNlsbwzMZwUSeGcsCsBWQsroCExlhSauUFkmoVjJmYVTIYOMzuPa' 'OyGspqPhRuhEsmMDPDWDAadkGTqogQNnuKyRliZjXXrDZqFDnfsJSLKysJGEMuQIN' 'BFgltgBEACbgqHTNgEBilkDMafInmNiUgRGYqkWlfRjhHudXjDpgDlolGbh' 'YontkMaKRlCgRvgjvkZvePKWjKwgrYBafMFYBhAXIOdyIrFhxEZFfWAfwKVmT' 'BdeAQRFvcfdwfXVczddULMJFBTrxKDlIRWwTkdLPQeWbjoeHlgtuLiLrTxVbnj' 'bfDbMwVavzPrkviHqvKeQPgayQDViWvFgLbidfAHIdsPgflpVDSrVHFL' 'DrSRdIRoIcmYoNjSRXDuvgOkAKWLRpvouFHHjpFrGesRbrbbEGiPsRMQ' 'FqILVMHPmmtRXvbnKkHrYyEqaMbSdkjGapkAWlesIhSKkAtGkHlKZNoG' 'rfUehPVeJLaphDioFLHxRryrKyQQKLMJRekxigqgreWxBzufMkuouRHNmoPe' 'bHjFstLigiDzPetUmrTJTGOShoGMlRtVRxdPImKunLOXbfOxArOSkYigs' 'gkkSygTJEBYSauTYrglYTWPQIJxWVOKlTWIpwJubBKQVLqDYzkoWytel' 'bMACUtipMiIVeUsuFiRjpzAWyQHKPTdSuGlJPRrfcQARAQABiQIlBBgBAgAPAhsMBQJa' 'CWIIBQkFoBYAAoJEOiNMzTXoKgSwQAKKsBGFTyZeIEOEUKRbdQDCdSGZYtqLFg' 'IHMGxDMbFVoaAEsFgvxpoebxBBzkhUklslgxvKiSLYjxfNjTBltfiFJeQnfOTs' 'KeRlLarvIHqUzkNDCCTFHwIDpVAXhBjKYkrDCrteyrQyFpfxIIQUKKXvz' 'ZKGdxhxDbOUSdMYynqcmclGSGKgFXiyuVjeifDCMTNQTXKlneidcqtBDvlgg' 'JTLJtQPOoEHzXSiuddKthuUhZOFEaYRZoyeYEyBTNOOEfXlvuiuIAMBSDLep' 'sEIaXYwoDIgHdWDlkPDOjGQpiouXMEdsdMTiMDRNTijknTDLCgmoUmYYM' 'BgbwFhXraxPZlKjrqRzFElvZPPcVgtNznsALYQOvlbMcJGapbbvNWCyEEq' 'SclHiMxjtHaPastHwcNTslWzRByVNJvpWGStQXcngsSUeJtIGdYNjUJq' 'LihZTlwcFVapcTcDptoUvXYGgmRNNPZwErSfIJIbnxwPVuRNNiCLOtmtKpFp' 'MAOQPpZvEhIiOaOwZUHBwvpYjDUliaROsWUQsqzZCVjcyvPWEFiQIl' 'BBgBAgAPBQJYJdYAhsMBQkBTOAAAoJEOiNMzTXoKTjgPojCVyGyvHMLUgnXzwrRQ' 'MRKFzkHwKjODVLRIspIoTQtDYyFDItGqbYRQMtxcNEbmaianhKtrCXfhPs' 'LigjDfiTcmzamXNxnhxkzhZJJCMuuMvKxCMQHCVKAwjswlHJqIBXAYEl' 'LpXPjDZuPxSpkRrdpKTGXjiuEleMzGlzBLWydqovOckCaKhETFpDYYz' 'yQAsPJykrArwrHywmwWlzuQewavnrLnJMiMFXpIhyHeEIUfofdQkrZCGzd' 'cqigzaBSzawZWgbvvBelNsIllYLdirjxBOxxyvJvEuuglzyoJTCTAYAbMlle' 'gVdPkVcGyvvVStinnSaiIzuvWrYHKWlluYPmQCDsPIbUGAXpgQLUhXQguysX' 'GWqWFSJzPXgcRUASvwBdHylubKbeqEpBGsmCqOrcEQvJmyYDOkhEyNig' 'rmjplLuirtCXDdHpnNJenMwFxbMpMkLAjPPAGPpekcusxCeEJUFKCR' 'XIxgtzUUJfppxygbxqHinRtVRdIzvZnGsXrfxnWfSOaBcUVRNINzHHaxETa' 'QVDnGOuQaFiQIBBgBCAAmAhsMFiEErpbtlpHmwCEFIzNPpfagoFAmEAELYFCQyc' 'mNACgkQIzNPpfagoqAQMnDjBxJWMdXjeFoYKxOontkInVMEJTBlsPdVkTB' 'PWZdPQHwSnTvRmykFeznXIRzuxkowjrZYXdPXBxYbWyDVAtiTMvqpaRosyPsxy' 'IdzDsshYvUsIRLOlGiYeBNuACqyKnDErzBkDYJHhMCdadbVWUACxvVIDvro' 'yQeVLKMsHqMCdBTGDVDsNXskPnNpAFnkzSZbSNzrlgTcpUiuZHIXPIpEYmsYzh' 'ucTUuIdNPbSFHKtGpHbZrPxYLDgcTfuSDApZzwvvKTqjdOMEJHssOz' 'iOUeWKsowWttanPIozBSKOTxmMqLSQfNpFJsVilGxRKfjhzJKniOMUBAmP' 'mTmXfVtthJredsHlJMTJNptsCcTwLMmyckeIEAugsJjLTpkEAqVZiPQHRB' 'ITklABSArrPSEfQULhZqmyZziyILgVMLuRCCfQOMWhwlyQWIIafyPIxur' 'epylHHmxjjOReoDaSxQGQpThAtFGwkWkFhykijEkkrxvEyyYZDXnYcIbpqhJx' 'PtwCMZUJkcskOrsbOIiBNaEoNXDllmUHjOgWNDQkcCuOCxucKano' 'arte' 'END PGP PUBLIC KEY BLOCK
rustdesk/rustdesk,CI' 'active' '14108610' 'Flutter CI' 'active' '34634114' 'Flutter Nightly Build' 'active' '38004562' 'Publish to WinGet' 'active' '28251007,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn   SSuuppppoorrtteedd' 'x     ' 'x       ' 'Below  ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Here we should write what to do in case of a security vulnerability
webtorrent/webtorrent,ci' 'active' '5753887' 'CodeQL' 'active' '9788579' 'Lock Threads' 'active' '22884529' 'Release' 'active' '9269689' 'Mark stale issues and pull requests' 'active' '10967997,This document outlines security procedures and general policies for the' 'WebTorrent project' '     Reporting a Bug' '     Disclosure Policy' '     Comments on this Policy' 'RReeppoorrttiinngg aa BBuugg' 'The WebTorrent team and community take all security bugs in WebTorrent' 'seriously Thank you for improving the security of WebTorrent We appreciate' 'your efforts and responsible disclosure and will make every effort to' 'acknowledge your contributions' 'Report security bugs by emailing the lead maintainer at ferossferossorg' 'The lead maintainer will acknowledge your email within  hours and will send' 'a more detailed response within  hours indicating the next steps in handling' 'your report After the initial reply to your report the security team will' 'endeavor to keep you informed of the progress towards a fix and full' 'announcement and may ask for additional information or guidance' 'Report security bugs in thirdparty modules to the person or team maintaining' 'the module' 'DDiisscclloossuurree PPoolliiccyy' 'When the security team receives a security bug report they will assign it to a' 'primary handler This person will coordinate the fix and release process' 'involving the following steps' '     Confirm the problem and determine the affected versions' '     Audit code to find any potential similar problems' '     Prepare fixes for all releases still under maintenance These fixes will' '      be released as fast as possible to npm' 'CCoommmmeennttss oonn tthhiiss PPoolliiccyy' 'If you have suggestions on how this process could be improved please submit a' 'pull request
ipfs/ipfs,Close and mark stale issue' 'active' '28086113,
HelloZeroNet/ZeroNet,CodeQL' 'active' '27837947' 'tests' 'active' '696408,
amark/gun,ci' 'active' '3707332' 'Docker' 'active' '12681151,
Chocobozzz/PeerTube,Benchmark' 'active' '6062123' 'CodeQL' 'active' '15792133' 'Docker' 'active' '15802043' 'Nightly' 'active' '15840171' 'Stats' 'active' '6062122' 'Test' 'active' '1847107,good faith to help us maintain a high standard for the security and privacy for' 'our users This includes encouraging responsible vulnerability research and' 'disclosure This policy sets out our definition of good faith in the context of' 'finding and reporting vulnerabilities as well as what you can expect from us' 'in return' 'EExxppeeccttaattiioonnss' 'When working with us according to this policy you can expect us to' '     Extend Safe Harbor see below for your vulnerability research that is' '      related to this policy' '     Work with you to understand and validate your report' '     Work to remediate discovered vulnerabilities in a timely manner and' '     Recognize your contribution to improving our security if you are the' '      first to report a unique vulnerability and your report triggers a code' '      or configuration change' 'SSaaffee HHaarrbboorr' 'When conducting vulnerability research according to this policy we consider' 'this research to be' '     Authorized in accordance with the law and we will not initiate or' '      support legal action against you for accidental good faith violations of' '      this policy' '     Exempt from the Digital Millennium Copyright Act DMCA and we will not' '      bring a claim against you for circumvention of technology controls' '     Exempt from restrictions in our Terms  Conditions that would interfere' '      with conducting security research and we waive those restrictions on a' '      limited basis for work done under this policy' '     Lawful helpful to the overall security of the Internet and conducted in' '      good faith' 'You are expected as always to comply with all applicable laws' 'If at any time you have concerns or are uncertain whether your security' 'research is consistent with this policy please submit a report through one of' 'our Official Channels before going any further' 'GGrroouunndd RRuulleess' 'To encourage vulnerability research and to avoid any confusion between good' 'faith hacking and malicious attack we ask that you' '     Play by the rules This includes following this policy as well as any' '      other relevant agreements If there is any inconsistency between this' '      policy and any other relevant terms the terms of this policy will' '      prevail' '     Report any vulnerability you have discovered promptly' '     Avoid violating the privacy of others disrupting our systems destroying' '      data andor harming user experience' '     Use only the Official Channels to discuss vulnerability information with' '      us' '     Keep the details of any discovered vulnerabilities confidential until' '      they are fixed according to the Disclosure Terms in this policy' '     Perform testing only on inscope systems and respect systems and' '      activities which are outofscope Systems currently considered inscope' '      are the official demonstrationtest servers provided by the PeerTube' '      development team' '     If a vulnerability provides unintended access to data Limit the amount' '      of data you access to the minimum required for effectively demonstrating' '      a Proof of Concept and cease testing and submit a report immediately if' '      you encounter any user data during testing such as Personally' '      Identifiable Information PII Personal Healthcare Information PHI' '      credit card data or proprietary information' '     You should only interact with test accounts you own or with explicit' '      permission from the account holder' '     Do not engage in extortion' 'DDiisscclloossuurree TTeerrmmss' 'The vulnerability is kept private until a majority of instances known on' 'instancesjoinpeertubeorg have updated to a safe version of PeerTube or' 'applied a hotfix The PeerTube development team coordinates efforts to update' 'once the patch is issued' 'OOffffiicciiaall CChhaannnneellss' 'To help us receive vulnerability submissions we use the following official' 'reporting channels' '     chocobozzzframasoftorg GPG ADBE' '     sendmemailrigelkeu GPG EABEF' 'If you think you have found a vulnerability please include the following' 'details with your report and be as descriptive as possible' '     The location and nature of the vulnerability' '     A detailed description of the steps required to reproduce the' '      vulnerability screenshots compressed screen recordings and proofof' '      concept scripts are all helpful and' '     Your namehandle and a link for recognition' 'If you would like to encrypt the information please use our GPG key' 'We may modify the terms of this program or terminate this program at any time' 'We will not apply any changes we make to these program terms retroactively
peers/peerjs,CodeQL' 'active' '25514021' 'Check JavaScript for conformance with Prettier' 'active' '24969961' 'Release' 'active' '24970831' 'Unit tests' 'active' '20273495,
