author_repo,wf_contents,security_policy
gchq/CyberChef,CodeQL Analysis' 'active' '5718225' 'Master Build' ' Test & Deploy' 'active' '5473801' 'Pull Requests' 'active' '5477901' 'Releases' 'active' '5473802' 'pages-build-deployment' 'active' '22428748,SSuuppppoorrtteedd VVeerrssiioonnss' 'CyberChef is supported on a best endeavours basis Patches will be applied to' 'the latest version rather than retroactively to older versions To ensure you' 'are using the most secure version of CyberChef please make sure you have the' 'latest release The official live demo is always up to date' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'In most scenarios the most appropriate way to report a vulnerability is to' 'raise a new issue describing the problem in as much detail as possible ideally' 'with examples This will obviously be public If you feel that the' 'vulnerability is significant enough to warrant a private disclosure please' 'email ossgchqgovuk and ngmailcom' 'Disclosures of vulnerabilities in CyberChef are always welcomed Whilst we aim' 'to write clean and secure code free from bugs we recognise that this is an' 'open source project written by analysts in their spare time relying on dozens' 'of open source libraries that are modified and updated on a regular basis We' 'hope that the community will continue to support us as we endeavour to maintain' 'and develop this tool together
antlr/antlr4,antlr4' 'active' '30344827,
pydantic/pydantic,CI' 'active' '52902' 'Docs Preview' 'active' '486743' 'Upload Previews' 'active' '7402466' 'PR Guideline Checks' 'active' '16957428' 'CodeQL' 'active' '17165446' 'ClusterFuzzLite PR fuzzing' 'active' '31122314' 'Cherry Pick' 'active' '35353360' 'Dependencies Check' 'active' '44283286,SSuuppppoorrtteedd VVeerrssiioonnss' 'We will endeavour to support' '     the most recent minor release with bug fixes' '     the latest minor release from the last major version for  months after a' '      new major version is released with critical bug fixes' '     all versions if a security vulnerability is found provided  upgrading' '      to a later version is nontrivial  sufficient people are using that' '      version to make support worthwhile' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you find what you think might be a security vulnerability with pydantic' 'please do not create an issue on github Instead please email smuelcolvincom' 'Ill reply to your email promptly and try to get a patch out ASAP
tree-sitter/tree-sitter,CI' 'active' '3545075' 'Rustfmt and clippy checks' 'active' '7431919' 'pages-build-deployment' 'active' '16819749,
soxoj/maigret,Build docker image and push to DockerHub' 'active' '8880121' 'CodeQL' 'active' '14769985' 'Package exe with PyInstaller - Windows' 'active' '15001901' 'Linting and testing' 'active' '4821838' 'Upload Python Package' 'active' '4858578' 'Update sites rating and statistics' 'active' '18408123,
DoctorWkt/acwj,,
jquery/esprima,Code Style' 'active' '1419188' 'Downstream Checks' 'active' '1419189' 'ECMA-262 Test Suite' 'active' '1419190' 'Publish nightly to npm' 'active' '10943122' 'Tests' 'active' '1419187,
marmelroy/PhoneNumberKit,Mark stale issues and pull requests' 'active' '24591695' 'Update metadata' 'active' '32690748,
Leonidas-from-XIV/node-xml2js,,
estree/estree,,
harc/ohm,Node.js CI' 'active' '4562708,
troessner/reek,CI' 'active' '3905574,
SBJson/SBJson,,
pest-parser/pest,pest Continuous Integration' 'active' '3988313' 'CIFuzz' 'active' '41276101' 'pest Release' 'active' '31274138,
lief-project/LIEF,Linux AArch64' 'active' '4620316' 'macOS' 'active' '4644026' 'iOS' 'active' '4660223' 'Android' 'active' '4667998' 'Linux x86-64' 'active' '4777930' 'LIEF Windows x86 Quick' 'active' '20105991' 'LIEF Windows x64 Quick' 'active' '20105992' 'LIEF Windows x64' 'active' '20111352' 'LIEF Windows x86' 'active' '20111354' 'sanitize' 'active' '23005149' 'LIEF PR' 'active' '23152651,
timofurrer/maya,Close Stale Issues and Pull Requests' 'active' '172609' 'Continuous Integration and Deployment' 'active' '266090,
kach/nearley,pages-build-deployment' 'active' '17558196,
google/wuffs,CIFuzz' 'active' '1167778,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
zserge/jsmn,,
dotnet/command-line-api,,SSuuppppoorrtteedd VVeerrssiioonnss' 'The NET Core and ASPNET Core support policy including supported versions can' 'be found at the NET Core Support Policy Page' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Security issues and bugs should be reported privately to the Microsoft Security' 'Response Center MSRC either by emailing securemicrosoftcom or via the' 'portal at httpsmsrcmicrosoftcom You should receive a response within ' 'hours If for some reason you do not please follow up via email to ensure we' 'received your original message Further information including the MSRC PGP' 'key can be found in the MSRC Report an Issue FAQ' 'Reports via MSRC may qualify for the NET Core Bug Bounty Details of the NET' 'Core Bug Bounty including terms and conditions are at httpsakams' 'corebounty' 'Please do not open issues for anything you think might have a security' 'implication
Jeffail/gabs,,
Knetic/govaluate,,
mono/CppSharp,LLVM-win' 'active' '6324422' 'LLVM' 'active' '3582581' 'CI' 'active' '3442731' 'pages-build-deployment' 'active' '26157121,
Chevrotain/chevrotain,Continuous Integration' 'active' '14037818' 'Release' 'active' '14038298' 'pages-build-deployment' 'active' '17485218,
sjdirect/abot,,
taylorhakes/fecha,Node.js CI' 'active' '24002525,
johnxnguyen/Down,SwiftLint' 'active' '6961684,
dateutil/dateutil,Validate' 'active' '9199412' 'Upload package' 'active' '11058632,
comby-tools/comby,Docker build' 'active' '75411,
bradjasper/ImportJSON,,
pyparsing/pyparsing,Continuous Integration' 'active' '16005591,Pyparsing itself has no known security vulnerabilities It does not itself' 'access any riskinherent methods like exec or eval nor does it import any' 'modules not part of the Python standard library' 'Parsers written with pyparsing mmaayy introduce security vulnerabilities If so' 'this information should be forwarded to the maintainer of those parsers' 'If you find that pyparsing itself has a security vulnerability please report' 'it to httpstideliftcomsecurity
maciejhirsz/logos,Test' 'active' '967327,
rubberduck-vba/Rubberduck,,
taocpp/PEGTL,CodeQL' 'active' '4036771' 'clang-format' 'active' '4039540' 'Code Coverage' 'active' '4039879' 'Linux' 'active' '4062701' 'macOS' 'active' '4062718' 'Windows' 'active' '4062719' 'clang-analyze' 'active' '4148900' 'clang-tidy' 'active' '4170348' 'Sanitizer' 'active' '4176438' 'Android' 'active' '4249987' 'No-Exceptions' 'active' '4935118,
log2timeline/plaso,test_docker' 'active' '3894126' 'test_docs' 'active' '19055025' 'test_tox' 'active' '3894127,
dompdf/php-svg-lib,Run unit tests' 'active' '26262665,
nitin42/Making-a-custom-React-renderer,,
kevinmehall/rust-peg,Rust' 'active' '4217176,
taskrabbit/react-native-parsed-text,,
nmdias/FeedKit,,
cezheng/Fuzi,,
grafov/m3u8,,
fightbulc/moment.php,qa' 'active' '644555,
tidyverse/readr,R-CMD-check' 'active' '473081' 'pkgdown' 'active' '473082' 'Commands' 'active' '474117' 'test-coverage' 'active' '2538546' 'pages-build-deployment' 'active' '17715050' 'R-CMD-check-against-dev-vroom' 'active' '33905901,
daddyz/phonelib,,
meriyah/meriyah,CodeQL' 'active' '40048828' 'Node.js CI' 'active' '20184531' 'pages-build-deployment' 'active' '22994440,
nette/neon,Coding Style' 'active' '920322' 'Static Analysis (only informative)' 'active' '920354' 'Tests' 'active' '920323,please ping me Once I accept the report the fix should be available and new' 'version released within days I will mark the bug as public after releasing a' 'new version or declining the bug' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'I support the last published branch and the last development version master
halaxa/json-machine,`make build`' 'active' '18542784' 'pages-build-deployment' 'active' '18715572,
afollestad/ason,,
nikitakit/self-attentive-parser,,
emacs-tree-sitter/elisp-tree-sitter,Doc' 'active' '19776470' 'Integ' 'active' '13596171' 'CI' 'active' '12030771' 'Release' 'active' '13083876' 'Shell' 'active' '12031572,
jikan-me/jikan,Archive' 'active' '28780227' 'Code Quality' 'active' '27789057' 'Code Quality' 'active' '27790912' 'Comment run' 'disabled_manually' '29795563' 'Tests' 'active' '27789058,
ianh/owl,pages-build-deployment' 'active' '26729730,
pydantic/pydantic-core,benchmarks' 'active' '25876274' 'ci' 'active' '24056054' 'codspeed' 'active' '40186033' 'pages-build-deployment' 'active' '25835968,
FirelyTeam/firely-net-sdk,Add isuses to project' 'active' '24223755,
benjamin-hodgson/Pidgin,Build and test' 'active' '206325' 'Build' 'active' '8450453' 'pages-build-deployment' 'active' '24136655,
yhirose/cpp-peglib,CMake' 'active' '3051419' 'pages-build-deployment' 'active' '17286190,
eliaskosunen/scnlib,Alpine' 'active' '18381276' 'Code coverage' 'active' '3603870' 'Fuzz' 'active' '21059694' 'Install' 'active' '21059699' 'macOS' 'active' '3437969' 'Ubuntu 18.04' 'active' '19874938' 'Ubuntu 20.04' 'active' '19874939' 'Windows' 'active' '3437968,
asc-community/AngouriMath,Kernel Benchmark' 'active' '2306399' 'F# Test' 'active' '3739089' 'C++ Build' 'active' '7337839' 'C++ Test' 'active' '7340080' 'F# Build' 'active' '7436590' 'Solution Build' 'active' '7436591' 'C# Test' 'active' '7436592' 'C#/Kernel Build' 'active' '7436593' 'Interactive Build' 'active' '8320047' 'Interactive Test' 'active' '8320093' 'Upload last-master versions to MyGet' 'active' '9129629' '.github/workflows/codecov.yml' 'active' '9203319' 'C++ Test' 'active' '9221657' 'Integration Test' 'active' '9296873' 'Terminal nightly builds' 'active' '11916562,
felipeochoa/rjsx-mode,,
scala/scala-parser-combinators,test' 'active' '12716929' 'Release' 'active' '13013950,
ZhaoJ9014/Multi-Human-Parsing,,
ehmicky/wild-wild-path,Build' 'active' '22627430,
plokhotnyuk/jsoniter-scala,build' 'active' '14491' 'pages-build-deployment' 'active' '18512382,
ospfranco/link-preview-js,Repo checks' 'active' '1301277,
lionheart/bottlenose,,
PaesslerAG/gval,,
sheredom/json.h,CMake' 'active' '5197232' 'Sanitizers' 'active' '5646221,
inhabitedtype/angstrom,build' 'active' '6984985,
DeVaukz/MachO-Kit,,
cemdervis/SharpConfig,,
katef/kgt,Emscripten' 'active' '4114384' 'Sanitizers' 'active' '4153161' 'Makefiles' 'active' '4153162' 'Package' 'active' '4155135,
jflex-de/jflex,Build' 'active' '1634145' 'CodeQL' 'active' '42476847' 'Code Style' 'active' '4513597' 'License Check' 'active' '44539583,
vncorenlp/VnCoreNLP,,
