author_repo,wf_contents,security_policy
home-assistant/core,Mention CODEOWNERS of integrations when integration label is added to an PRs' 'active' '137411' 'CI' 'active' '1777664' 'Lock' 'active' '3472749' 'Stale' 'active' '3472817' 'Build images' 'active' '8538855' 'Build wheels' 'active' '8953128' 'Translations' 'active' '8986038' 'Codespaces Prebuilds' 'active' '35473342,
pi-hole/pi-hole,.github/workflows/base-branch-check.yml' 'active' '16504658' 'CodeQL' 'active' '13873166' 'Codespell' 'active' '24688120' 'Differential ShellCheck' 'active' '31752256' 'editorconfig-checker' 'active' '29024683' 'Check for merge conflicts' 'active' '43022900' 'Trigger: Push action' 'active' '8384935' 'Repository Smoke Tests' 'active' '13862397' 'Mark stale issues' 'active' '16342897' 'Sync Back to Development' 'active' '17735508' 'Test Supported Distributions' 'active' '3909520,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Pihole welcomes all responsible disclosures PPlleeaassee ddoo nnoott ooppeenn aann IISSSSUUEE ttoo' 'rreeppoorrtt aa sseeccuurriittyy pprroobblleemm' 'We accept disclosures via email at disclosurepiholenet
MichMich/MagicMirror,Dependency Review' 'active' '27538908' 'Run Codecov Tests' 'active' '27630862' 'Enforce Changelog' 'active' '27630863' 'Run Automated Tests' 'active' '27630864,
jarun/nnn,ci' 'active' '3760121' 'CodeQL' 'active' '40059001' 'Lock threads' 'active' '1374860,
rwaldron/johnny-five,,
s-matyukevich/raspberry-pi-os,,
microsoft/IoT-For-Beginners,pages-build-deployment' 'active' '16481066,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
raysan5/raylib,Windows' 'active' '2228300' 'macOS' 'active' '2228441' 'Linux' 'active' '2228526' 'WebAssembly' 'active' '2252481' 'CMakeBuilds' 'active' '5208305' 'Linux Examples' 'active' '6507087' 'Windows Examples' 'active' '6507280' 'Android' 'disabled_manually' '2249651,
thibmaek/awesome-raspberry-pi,CI' 'active' '18124100,
rust-embedded/rust-raspberrypi-OS-tutorials,.github/workflows/build_rpi4.yml' 'active' '255110' 'BSP-RPi3' 'active' '9173' 'BSP-RPi4' 'active' '9157' 'Various Sanity Checks' 'active' '177889' 'Integration-Tests' 'active' '108256' 'Boot-and-Unit-Tests' 'active' '108257' 'Xtra-Tests' 'active' '8647973,
RetroPie/RetroPie-Setup,,
therecipe/qt,,
openframeworks/openFrameworks,build-android' 'active' '4742183' 'build-emscripten' 'active' '4742184' 'build-ios-tvos' 'active' '4742185' 'build-linux64-and-arm' 'active' '4742186' 'build-macos' 'active' '4742187' 'build-msys2' 'active' '4742188' 'build-vs' 'active' '4742189,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report any security vulnerabilities to' 'ooff at ooppeennFFrraammeewwoorrkkss cccc
nasa/fprime,Autodocs' 'active' '10079213' 'MacOS-CI' 'active' '12785813' 'RPI-CI' 'active' '16179402' 'CI' 'active' '1506812' 'JPL Coding Standard Scan' 'active' '38944839' 'CodeQL Security Scan' 'active' '38712828' 'Cppcheck Scan' 'active' '41495567' 'Cpplint Scan' 'active' '42113653' 'Format Python' 'active' '10695222' 'Spell checking' 'active' '6502905' 'tutorial-support' 'active' '10937425' 'pages-build-deployment' 'active' '36444092,
hybridgroup/gobot,,
OctoPrint/OctoPrint,Trigger doc build' 'active' '1534445' 'Test install of branches and latest release twice per day' 'active' '1542901' 'Build' 'active' '1675527' 'Trigger docker build' 'active' '2023013' 'Issue Automation' 'active' '4926756' 'Pull Request Automation' 'active' '4926757' 'Cleanup issues & PRs' 'active' '5008632' 'Linkify systeminfo bundles' 'active' '5221853' 'Nightly merge' 'active' '5882788' 'Add issues/PRs to backlog automatically' 'active' '28578224,OctoPrints security policy can be found here
MycroftAI/mycroft-core,Unit Tests' 'active' '5351996' 'Update Mark II' 'active' '13657332' 'Contributor License Agreement' 'active' '20424910,
pivpn/pivpn,,
navidrome/navidrome,Pipeline' 'active' '1118575' 'ShiftLeft' 'active' '9993285' 'Add download link to PR' 'active' '15453548,
pikvm/pikvm,ci' 'active' '14114688' 'pages-build-deployment' 'active' '16702261,
SuLingGG/OpenWrt-Rpi,Build bcm27xx/bcm2708 openwrt' 'active' '15394454' 'Build bcm27xx/bcm2709 openwrt' 'active' '15394455' 'Build bcm27xx/bcm2710 openwrt' 'active' '15394456' 'Build bcm27xx/bcm2711 openwrt' 'active' '15394457' 'Delete Old Workflows' 'active' '15394458' 'Build ipq40xx/generic openwrt' 'active' '15394459' 'Build rockchip/armv8 openwrt' 'active' '15394460' 'Build x86/64 openwrt' 'active' '15394461,
alphacep/vosk-api,,
alexellis/k3sup,build' 'active' '3541675' 'publish' 'active' '3341985,
raspberrypi/documentation,Build' 'active' '12033822' 'Mark stale issues and pull requests' 'active' '12585563,
cuberite/cuberite,,
CCOSTAN/Home-AssistantConfig,,
dtcooper/raspotify,Deploy Release' 'active' '18024614' 'Mark stale issues and pull requests' 'active' '15329174' 'Tag Automation' 'active' '15699175' 'pages-build-deployment' 'active' '16638342,
hybridgroup/cylon,,
RaspAP/raspap-webgui,CodeQL' 'active' '5179643' 'pages-build-deployment' 'active' '17184889,
mikeroyal/Self-Hosting-Guide,,
getumbrel/umbrel,Build OS image on PR' 'active' '2198099' 'Build OS image of current master' 'active' '2220415,UUmmbbrreell iiss ccuurrrreennttllyy iinn bbeettaa aanndd iiss nnoott ccoonnssiiddeerreedd sseeccuurree' 'Weve decided to make the following tradeoffs while Umbrel is in beta to help' 'us ship critical features like overtheair OTA updates' 'NNoo ssiiggnnaattuurree vveerriiffiiccaattiioonn oonn OOTTAA uuppddaatteess oorr wwhheenn ppuulllliinngg DDoocckkeerr iimmaaggeess' 'The lack of signature verification means GitHub as a company could backdoor the' 'OTA update process or Docker Hub could backdoor our Docker images Its quite' 'unlikely that they would do this but currently we just have to trust that they' 'wont If this were to occur the current update system would not detect or' 'prevent it' 'rrddppaarrttyy NNooddeejjss ddeeppeennddeenncciieess' 'During the beta phase we are making use of Nodejs and its rich ecosystem of' 'npm packages to rapidly build out features However the npm ecosystem tends to' 'make use of a large number of small focused modules This can make audibility' 'difficult as you end up with a huge dependency tree for even relatively simple' 'projects' 'AAssssuummiinngg tthhee llooccaall nneettwwoorrkk iiss sseeccuurree' 'Umbrel currently makes the assumption that the local network is secure This' 'means local network communication is unencrypted using plain text HTTP Remote' 'access via Tor is encrypted' 'This is pretty much the industry standard when it comes to locally networked' 'devices All routers and smart devices that expose a web interface work this' 'way Bootstrapping a secure connection over an insecure network and avoiding' 'MITM attacks without being able to rely on certificate authorities is not an' 'easy problem to solve' 'However we think we can do better and have some interesting ideas on how to' 'make Umbrel safe to run even when the local network is untrusted' 'RReellaaxxeedd PPeerrmmiissssiioonnss' 'Currently we are being quite liberal with filesystem permissions and root' 'usage Some background jobs on the host are currently being run as root that' 'dont strictly need to Also some scripts executed by root are writable by non' 'root users The umbrel user itself is also currently added to the docker group' 'which makes it essentially root' 'NNoo NNeettwwoorrkk LLeevveell SSaannddbbooxxiinngg' 'Apps already have process level sandboxing and filesystem level sandboxing but' 'not network level sandboxing We plan to implement network level sandboxing so' 'one app will not be able to interact with another app over the network Apps' 'will also not be able to interact with other physical devices on the local' 'network without explicitly asking the user for permission' '' 'TThhee iissssuueess rraaiisseedd aabboovvee wwiillll bbee rreessoollvveedd bbeeffoorree wwee ddoo aa ssttaabbllee rreelleeaassee ooff' 'UUmmbbrreell
patriciogonzalezvivo/glslViewer,Build and Release' 'active' '19657195' 'pages-build-deployment' 'active' '27875173,
anudeepND/whitelist,,
blynkkk/blynk-library,,
ClemensElflein/OpenMower,pages-build-deployment' 'active' '28926828' 'PlatformIO Firmware' 'active' '30571788' 'CI' 'active' '31450657,
starrtc/starrtc-android-demo,,
hzeller/rpi-rgb-led-matrix,C/C++ CI' 'active' '2474933,
Picovoice/porcupine,.NET' 'active' '11777172' 'Rust' 'active' '12158466' 'Rust Demos' 'active' '12183414' 'iOS AppCenter Tests' 'active' '12185624' 'Android AppCenter Tests' 'active' '12187146' 'React' 'active' '12534422' '.NET Demos' 'active' '12534423' 'Node.js' 'active' '12534424' 'Angular' 'active' '12534425' 'Go' 'active' '12535155' 'Java' 'active' '12535441' 'Python' 'active' '12535681' 'React Native' 'active' '12536183' 'Vue' 'active' '12536184' 'Web' 'active' '12537108' 'Vue Demos' 'active' '12538550' 'Angular Demos' 'active' '12538551' 'Java Demos' 'active' '12538552' 'Go Demos' 'active' '12538553' 'C Demos' 'active' '17038128' '.github/workflows/c-helper.yml' 'active' '17706950' 'React Demos' 'active' '18270667' 'Python Perfomance' 'active' '23509452' 'Node.js Performance' 'active' '23515624' 'Android Performance' 'active' '23519264' 'Java Performance' 'active' '23520299' 'iOS Performance' 'active' '23521960' 'Flutter' 'active' '30131846' 'Web Performance' 'active' '32231030' 'SpellCheck' 'active' '32652877' 'Check Markdown links' 'active' '32729854' 'Python Codestyle' 'active' '41701074' 'React Native Demos' 'active' '42006796' 'Java CodeStyle' 'active' '42025823' 'Go Codestyle' 'active' '42528058' 'Rust Codestyle' 'active' '42531054' 'Swift Codestyle' 'active' '42535742' 'C Codestyle' 'active' '42615963' 'Flutter Codestyle' 'active' '42632103' 'JavaScript Codestyle' 'active' '42632104' 'Web Codestyle' 'active' '42709045' 'Angular Codestyle' 'active' '42709046' 'React Native Codestyle' 'active' '42709048' 'React Codestyle' 'active' '42709049' 'Node.js Codestyle' 'active' '42709050' 'Vue Codestyle' 'active' '42709053' '.NET Codestyle' 'active' '42713562,
Drewsif/PiShrink,,
pyload/pyload,Build' 'active' '8575012' 'Deploy' 'active' '8575013' 'Lock Threads' 'active' '14016857' 'Test' 'active' '8570474,SSeeccuurriittyy PPoolliiccyy' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'pyLoad Next releases will receive security vulnerabilities patches Old' 'versions of pyLoad working on Python  will receive plugin updates only' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report any security vulnerabilities by sending an email to' 'securitypyloadnet' 'You will receive a response from us within a short time If the issue is' 'confirmed we will release a patch as soon as possible depending on complexity' '' '' '  ppyyLLooaadd tteeaamm
evancohen/smart-mirror,,
nhivp/Awesome-Embedded,,
sayanarijit/xplr,Continuous Integration' 'active' '7508616' 'Continuous Deployment' 'active' '7510321' 'Book' 'active' '10689829' 'pages-build-deployment' 'active' '17046589' 'Push Binary Cache for Nix' 'disabled_manually' '40325572,
openfans-community-offical/Debian-Pi-Aarch64,,
gokrazy/gokrazy,CI' 'active' '1427252' 'pages-build-deployment' 'active' '16514033,If you suspect to have found a security vulnerability in gokrazy please' 'directly email michael AT stapelberg DOT ch
bitfieldaudio/OTTO,,
scottlawsonbc/audio-reactive-led-strip,,
autorope/donkeycar,Python package and test' 'active' '6559797' 'Super-Linter' 'active' '6559798,
kizniche/Mycodo,Mycodo' 'active' '10266033' 'pages-build-deployment' 'active' '22803272,
oznu/docker-homebridge,Build' 'active' '977163' 'Stale Bot' 'active' '15632534' 'Wiki Changed Discord Notifications' 'active' '30324609,
tiny-pilot/tinypilot,Merge community changes into pro repo' 'active' '15886079,
GladysAssistant/Gladys,Build and publish demo website' 'active' '38075963' 'Build Gladys dev images' 'active' '3714327' 'Master branch tests' 'active' '5382222' 'Pull request tests' 'active' '3639023' 'Release Gladys Production Images' 'active' '5280627' 'Publish Gladys Plus front to production' 'active' '38078857' 'RelativeCI' 'active' '30018393,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability you can contact us on Gladys Assistant forum in' 'private or on the contact form on our website
samjabrahams/tensorflow-on-raspberry-pi,,
azlux/log2ram,,
f1xpl/openauto,,
balena-labs-projects/balena-sound,pages-build-deployment' 'active' '41657149' 'Deploy Docs' 'active' '41666258' 'Deploy to Balena' 'active' '41666259,
piku/piku,Handle inactive issues/PRs' 'active' '16035646' 'Basic Test Suite and Linting' 'active' '43364' 'Test Against OS Packages' 'active' '43365,
wwj718/awesome-raspberry-pi-zh,,
cncjs/cncjs,,
nextcloud/nextcloudpi,VM Integration Tests' 'active' '24362429' 'Docker Integration Tests and Release' 'active' '24755032' 'pages-build-deployment' 'active' '29498541' 'Build and test SD/VM images' 'active' '30433866' 'Release' 'active' '30586953' 'Build Armbian Images' 'active' '30593163' 'Organize Issues and PRs on GH project' 'active' '31193544' 'Publish Images' 'active' '32262276' 'LXD Tests' 'active' '32855295' 'NCP Installation Tests' 'disabled_manually' '24290643' 'Docker Test' 'disabled_manually' '24414706' 'Build and test LXD image' 'disabled_manually' '30418814' '.github/workflows/build-armbian.yml' 'disabled_manually' '32124673,SSuuppppoorrtteedd VVeerrssiioonnss' 'The latest three major release versions of Nextcloud are currently being' 'supported with security updates Please visit httpsgithubcomnextcloud' 'serverwikiMaintenanceandReleaseSchedule for further details' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Security is very important to us If you have discovered a security issue with' 'Nextcloud please read our responsible disclosure guidelines and contact us at' 'hackeronecomnextcloud Your report should include' '     Product version' '     A vulnerability description' '     Reproduction steps' 'If in scope of the project a member of the security team will confirm the' 'vulnerability determine its impact and develop a fix Otherwise the team will' 'contact the maintainer and make sure the issue gets fixed The fix will be' 'applied to the master branch tested and packaged in the next security' 'release The vulnerability will be publicly announced after the release' 'Finally your name will be added to the hall of fame as a thank you from the' 'entire Nextcloud community Note our threat model to know what is expected' 'behavior' 'Please visit httpsnextcloudcomsecurity for further information about' 'security
opencardev/crankshaft,build-crankshaft' 'active' '2813537' 'Pifile' 'active' '13313630' 'Close stale issues and PRs' 'active' '15620206,
wzpan/dingdang-robot,,
dresden-elektronik/deconz-rest-plugin,Release Drafter' 'active' '2174161' 'Close stale issues and PRs' 'active' '6105547' 'Verify button maps' 'active' '7517618' 'Verify DDF JSON' 'active' '34442539,
google/periph,,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
geerlingguy/raspberry-pi-dramble,,
bjoernkarmann/project_alias,,
gpiozero/gpiozero,Python package' 'active' '2217418,
fossasia/susi_linux,,
Screenly/Anthias,Docker Image Build' 'active' '3693956' 'Build Webview' 'active' '34960381' 'CodeQL' 'active' '34960382' 'Run Unit Tests' 'active' '36080863' 'Ansible Lint' 'active' '36521590' 'Build Balena Disk Images' 'active' '38654575' 'pages-build-deployment' 'active' '41385906' 'Lint Code Base' 'active' '42249544' 'Deploy Anthias.screenly.io' 'active' '42694966,
DT42/BerryNet,Docker Image CI' 'active' '1799951,
google/aiyprojects-raspbian,,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
ZerBea/hcxtools,,
FydeOS/chromium_os-raspberry_pi,,
waveform80/picamera,,
lukechilds/dockerpi,Docker CI' 'active' '376025,
rsta2/circle,,
vmstan/gravity-sync,,
gcgarner/IOTstack,,
blinker-iot/blinker-js,auto-deploy' 'active' '7992889,
th33xitus/kiauh,,
libretro/Lakka-LibreELEC,CodeQL' 'active' '41915751,
soramimi/Guitar,pages-build-deployment' 'active' '16958870,
ZerBea/hcxdumptool,,
rahul-thakoor/balena-rpiplay,,
volumio/Volumio2,,
timothymiller/cloudflare-ddns,Build cloudflare-ddns Docker image (multi-arch)' 'active' '6246202,
unosquare/embedio,.NET Core CI' 'active' '187529' 'Build' 'active' '23430' 'CodeQL' 'active' '2567262' 'CodeQL' 'active' '40604242,
geerlingguy/pi-webcam,CI' 'active' '2714325,
eclipse/mraa,,
uraimo/SwiftyGPIO,.github/workflows/linuxarmv7.yml' 'active' '214808' '.github/workflows/linuxarmv7.yml' 'active' '258242,
