author_repo,wf_contents,security_policy
reduxjs/redux,Bundle Size' 'active' '4249301' 'Tests' 'active' '4249302,
Asabeneh/30-Days-Of-JavaScript,,
react-boilerplate/react-boilerplate,Test App' 'active' '6099528' 'PR Analysis' 'active' '6099527,
sudheerj/reactjs-interview-questions,Documentation' 'active' '1222201,
immerjs/immer,Public docs' 'active' '11026713' 'Release' 'active' '11027103' 'Test' 'active' '11026546' 'pages-build-deployment' 'active' '17741399,SSuuppppoorrtteedd VVeerrssiioonnss' 'Latest only' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Security issues can be reported at infomichelcodes Since this software is' 'provided asis no follow up remediation or time lines are guaranteed
reduxjs/react-redux,Bundle Size' 'active' '3208725' 'Tests' 'active' '3208890,
redux-saga/redux-saga,Release' 'active' '226289' 'Node CI' 'active' '95084' 'Release' 'active' '158032' 'Compressed Size' 'active' '25329613' 'pages-build-deployment' 'active' '20950384,
markerikson/react-redux-links,Check URLs for dead links' 'active' '13783753,
paularmstrong/normalizr,Close Pull Request' 'active' '22182136,
verekia/js-stack-from-scratch,,
reduxjs/reselect,CI' 'active' '5666555,
responsively-org/responsively-app,CodeQL' 'active' '1893852' 'Publish' 'active' '37560803' 'Test' 'active' '36813073,
Asabeneh/30-Days-Of-React,,
dvajs/dva,Node CI' 'active' '61272,
grab/front-end-guide,,
infinitered/reactotron,,
zalmoxisus/redux-devtools-extension,,
piotrwitek/react-redux-typescript-guide,pages-build-deployment' 'active' '24087851,
redux-form/redux-form,,
rt2zz/redux-persist,redux-persist ci' 'active' '14272494,
Automattic/wp-calypso,.github/workflows/continuous-integration.yml' 'active' '125359' 'Calculate ICFY stats' 'active' '627929' 'Editing Toolkit Plugin' 'active' '2028934' 'Lighthouse Review Requested' 'active' '2608177' 'Mark stale issues' 'active' '5729663' 'Repo gardening' 'active' '7399792' 'Is Pull Request' 'active' '7739242' 'Calypso Live' 'active' '8321569' 'Create Sentry Release' 'active' '25469451' 'Lint' 'active' '36937509,Although we strive to create the most secure products possible we are not' 'perfect If you happen to find a security vulnerability in one of our services' 'we would appreciate letting us know and allowing us to respond before' 'disclosing the issue publicly We take security seriously and we will try to' 'review and reply to every legitimate security report personally within ' 'hours Other reports submitted will not be replied to' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'WWeebb' 'Only the latest version of Calypso that is what is present in the trunk' 'branch is supported Calypso is continuously deployed shortly after each merge' 'to trunk multiple times per day' 'WWoorrddPPrreessss DDeesskkttoopp' 'Only the latest version of WordPress desktop is supported To receive security' 'updates please update to the latest available version of WordPress desktop' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Calypso is an opensource wpadmin replacement Our HackerOne program covers' 'the software' 'FFoorr rreessppoonnssiibbllee ddiisscclloossuurree ooff sseeccuurriittyy iissssuueess aanndd ttoo bbee eelliiggiibbllee ffoorr oouurr bbuugg' 'bboouunnttyy pprrooggrraamm pplleeaassee ssuubbmmiitt yyoouurr rreeppoorrtt vviiaa tthhee HHaacckkeerrOOnnee ppoorrttaall' 'Our most critical targets are' '     wordpresscom' '     cloudjetpackcom' 'For more targets see the In Scope section on HackerOne' 'PPlleeaassee nnoottee tthhaatt tthhee WWoorrddPPrreessss ssooffttwwaarree iiss aa sseeppaarraattee eennttiittyy ffrroomm AAuuttoommaattttiicc' 'PPlleeaassee rreeppoorrtt vvuullnneerraabbiilliittiieess ffoorr WWoorrddPPrreessss tthhrroouugghh tthhee WWoorrddPPrreessss FFoouunnddaattiioonnss' 'HHaacckkeerrOOnnee ppaaggee' 'GGuuiiddeelliinneess' 'Were committed to working with security researchers to resolve the' 'vulnerabilities they discover You can help us by following these guidelines' '     Follow HackerOnes disclosure guidelines' '     Pentesting Production' '          o Please sseettuupp aa llooccaall eennvviirroonnmmeenntt instead whenever possible Most of' '            our code is open source see above' '          o If thats not possible lliimmiitt aannyy ddaattaa aacccceessssmmooddiiffiiccaattiioonn to the' '            bare minimum necessary to reproduce a PoC' '          o DDoonntt aauuttoommaattee ffoorrmm ssuubbmmiissssiioonnss Thats very annoying for us' '            because it adds extra work for the volunteers who manage those' '            systems and reduces the signalnoise ratio in our communication' '            channels' '          o To be eligible for a bounty all of these guidelines must be' '            followed' '     Be Patient  Give us a reasonable time to correct the issue before you' '      disclose the vulnerability' 'We also expect you to comply with all applicable laws Youre responsible to' 'pay any taxes associated with your bounties
xgrommx/awesome-redux,,
onivim/oni,,
microsoft/frontend-bootcamp,,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
reactide/reactide,,
coryhouse/react-slingshot,,
hackjutsu/Lepton,,
GetStream/Winds,Test' 'active' '12599156,
devhubapp/devhub,,
rematch/rematch,Rematch CI' 'active' '2033827' 'Rematch Docs CI' 'active' '5448534' 'lint-pr-title' 'active' '3539858' 'Rematch Nightly Suite + Typescript@next' 'active' '9644745' 'Rematch Size Testing' 'active' '4396726' 'Yarn Lock Changes' 'active' '8646727' 'pages-build-deployment' 'active' '17078575,
brianegan/flutter_architecture_samples,,
ngrx/platform,Docs Preview' 'active' '16973922' 'Deploy to Firebase Hosting on PR' 'active' '16972113' 'Labeler' 'active' '5091732,
chvin/react-tetris,,
ReSwift/ReSwift,Test' 'active' '17552716' 'Update Docs' 'active' '17558536' 'pages-build-deployment' 'active' '17764194,
alibaba/fish-redux,,
blueedgetechno/win11React,Build & Deploy' 'active' '12389444' 'Close stale issues and PRs' 'active' '13802364' 'pages-build-deployment' 'active' '16422617' 'publish' 'active' '17167510' 'CLA Assistant' 'active' '21638678' 'Dependency Review' 'active' '24304812' 'Re generate the package-lock file' 'active' '24323394' 'Publish to WinGet' 'active' '29114312' 'Prettier' 'active' '41709812' 'Update Dependencies' 'active' '41731582' 'Issue Text' 'active' '41731583' 'PR Preview' 'active' '42743192' 'Prettier' 'active' '44248385,
apollographql/react-apollo,,At Apollo we consider the security of our projects a top priority No matter' 'how much effort we put into system security there can still be vulnerabilities' 'present' 'In the event that a vulnerability is discovered we support rreessppoonnssiibbllee' 'ddiisscclloossuurree and we would like to know about it so we can take steps to address' 'it as quickly as possible prior to public disclosure' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you discover a vulnerability please do the following' '     Email your findings to security at apollographql dot com' '     DDoo nnoott take advantage of the vulnerability or problem you have' '      discovered for example by downloading more data than necessary to' '      demonstrate the vulnerability or deleting or modifying other peoples' '      data' '     DDoo nnoott reveal the problem to others until it has been resolved' '     DDoo nnoott use attacks on physical security social engineering distributed' '      denial of service spam or applications of third parties' '     DDoo provide sufficient information to reproduce the problem so we will be' '      able to resolve it as quickly as possible Complex vulnerabilities may' '      require further explanation' 'Our response' '     We will respond to your report wwiitthhiinn  bbuussiinneessss ddaayyss with our evaluation' '      of the report and an expected resolution date' '     If you have followed the instructions above we will not take any legal' '      action against you in regard to the report' '     We will handle your report with strict confidentiality and not pass on' '      your personal details to third parties without your permission' '     We will keep you informed of the progress towards resolving the problem' '     In the public information concerning the problem reported we will give' '      your name as the discoverer of the problem unless you desire otherwise' '     We strive to resolve all problems as quickly as possible and we would' '      like to play an active role in the ultimate publication on the problem' '      after it is resolved' 'This policy is adapted from text written by Floor Terra at found at https' 'responsibledisclosurenlen It is published with a Attribution  Unported ' 'CC BY  license
