author_repo,wf_contents,security_policy
gin-gonic/gin,Run Tests' 'active' '4571766' 'CodeQL' 'active' '7897413' 'CodeQL' 'active' '19315571' 'Goreleaser' 'active' '27017870,
expressjs/express,ci' 'active' '10933076,
withastro/astro,Format Code' 'active' '7200227' 'Changelog' 'active' '8678026' 'CI' 'active' '11508262' 'Release' 'active' '11531875' 'Auto Assign Issues to Project' 'active' '12746135' 'Label PRs' 'active' '15291949' 'Main Checks' 'active' '15773427' 'Nightly' 'active' '16258510' 'Scripts' 'active' '26911004' 'Create a Snapshot Release' 'active' '34689777' 'Check mergeability' 'active' '35580517' 'Check mergeability' 'active' '35587469' 'Benchmark' 'active' '36462680' 'Examples astro check' 'active' '36850759' 'release astro@next--compiler' 'disabled_manually' '13418246,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a security issue please email securityastrobuild with a detailed' 'description of the issue the steps you took to create the issue affected' 'versions and if known mitigations for the issue' 'Please remember to include everything required for us to reproduce the issue' 'including but not limited to a publicly accessible git repository andor' 'StackBlitz repository All code samples shared with our Security team will only' 'be used to verify and diagnose the issue and will not be publicly shared with' 'anyone outside of Astros teams Astros Security Team members may share' 'information only within the Astro teams on a needtoknow basis to fix the' 'related issue in Astro' 'Our Security team will acknowledge receiving your email within  working days' 'IIff yyoouu tthhiinnkk yyoouuvvee ffoouunndd aa sseeccuurriittyy iissssuuee pplleeaassee DDOO NNOOTT rreeppoorrtt ddiissccuussss oorr' 'ddeessccrriibbee iitt oonn DDiissccoorrdd GGiittHHuubb oorr aannyy ootthheerr ppuubblliicc ffoorruumm wwiitthhoouutt pprriioorr' 'ccoonnttaacctt aanndd aacckknnoowwlleeddggmmeenntt ooff AAssttrrooss SSeeccuurriittyy tteeaamm' 'This project follows a  day disclosure timeline' 'TThhiiss iiss ddeettrriimmeennttaall ttoo tthhee ssaaffeettyy ooff aallll AAssttrroo uusseerrss NNoo eexxcceeppttiioonnss' 'EEmmbbaarrggoo PPoolliiccyy' 'The information members and others receive through participation in this group' 'must not be made public shared or even hinted otherwise except with prior' 'explicit approval which shall be handled on a casebycase basis This holds' 'true until the agreedupon public disclosure datetime is satisfied' 'As a clarifying example this policy forbids Astro Security members from' 'sharing list information with their employers unless prior arrangements have' 'been made directly with an employer' 'In the unfortunate event that you share the information beyond what is allowed' 'by this policy you must urgently inform the Astro Security Team of exactly' 'what information leaked and to whom as well as the steps that will be taken to' 'prevent future leaks' 'RReeppeeaatteedd ooffffeennsseess mmaayy lleeaadd ttoo tthhee rreemmoovvaall ffrroomm tthhee SSeeccuurriittyy oorr AAssttrroo tteeaamm
vapor/vapor,test' 'active' '225524' 'deploy-api-docs' 'active' '1549283' 'issue-to-project-board-workflow' 'active' '20879359' 'Generate Sponsors README' 'active' '38756605' 'test' 'active' '7080,SSuuppppoorrtteedd VVeerrssiioonnss' 'Use this section to tell people about which versions of your project are' 'currently being supported with security updates' 'VVeerrssiioonn SSuuppppoorrtteedd' 'xx   ' ' x   ' 'PPrriivvaattee DDiisscclloossuurree PPrroocceessss' 'The Vapor Core Team ask that known and suspected vulnerabilities be privately' 'and responsibly disclosed by emailing securityvaporcodes or message one of' 'the Core team on Discord with the all the required detail' 'DDoo nnoott ffiillee aa ppuubblliicc iissssuuee' 'WWhheenn ttoo rreeppoorrtt aa vvuullnneerraabbiilliittyy' '     You think you have discovered a potential security vulnerability in a' '      Vapor package' '     You are unsure how a vulnerability affects a Vapor package' 'WWhhaatt hhaappppeennss nneexxtt' '     A member of the team will acknowledge receipt of the report within ' '      working days This may include a request for additional information about' '      reproducing the vulnerability' '     We will privately inform the Swift Server Work Group SSWG of the' '      vulnerability within  days of the report as per their security' '      guidelines' '     Once we have identified a fix we may ask you to validate it We aim to do' '      this within  days In some cases this may not be possible for example' '      when the vulnerability exists at the protocol level and the industry must' '      coordinate on the disclosure process' '     If a CVE number is required one will be requested through the GitHub' '      security advisory process providing you with full credit for the' '      discovery' '     We will decide on a planned release date and let you know when it is' '     Prior to release we will inform major dependents that a securityrelated' '      patch is impending' '     Once the fix has been released we will publish a security advisory on' '      GitHub and in the Server  Security Updates category on the Swift forums
PostgREST/postgrest,CI' 'active' '11704065' 'Loadtest' 'active' '15616253' 'Upload Reports' 'active' '15616941,
valeriansaliou/sonic,Test and Build' 'active' '4146940' 'Build and Release' 'active' '29790729' 'nix' 'active' '37966085,
ory/hydra,CI Tasks for Ory Hydra' 'active' '18747948' 'Closed Reference Notifier' 'active' '2365543' 'CodeQL' 'active' '2803749' 'Conventional commits' 'active' '29236733' 'Docker Image Scanners' 'active' '13706373' 'Format' 'active' '34964187' 'Synchronize Issue Labels' 'active' '2266193' 'Licenses' 'active' '38982070' 'Generate and Publish Milestone Document' 'active' '2250683' 'Close Stale Issues' 'active' '2278620,          o Supported Versions' '          o Reporting a Vulnerability' 'SSeeccuurriittyy PPoolliiccyy' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'We release patches for security vulnerabilities Which versions are eligible' 'for receiving such patches depends on the CVSS v Rating' 'CCVVSSSS vv SSuuppppoorrtteedd VVeerrssiioonnss' '  Releases within the previous three months' '   Most recent release' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report suspected security vulnerabilities to sseeccuurriittyyoorryysshh You will' 'receive a response from us within  hours If the issue is confirmed we will' 'release a patch as soon as possible depending on complexity but historically' 'within a few days
imthenachoman/How-To-Secure-A-Linux-Server,,
http-party/http-server,Node.js CI' 'active' '11359462' 'release-drafter' 'active' '14128062' 'Mark stale issues and pull requests' 'active' '12256989,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn   SSuuppppoorrtteedd' 'x       Yes' 'x       Security updates until April ' ' x  No' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'In general vulnerabilities can be reported as an issue pull requests are very' 'welcome If youd like to report privately please email jademichaelhttp' 'serverjmthorntonnet
Grasscutters/Grasscutter,Build' 'active' '24651861' 'Language Lint' 'active' '29919500' 'Lint whitespace and languages' 'active' '30062391' 'Protect write-access files from being PR'd' 'active' '34229760' 'Pull request CI' 'active' '25130588,
mail-in-a-box/mailinabox,,
OpenRCT2/OpenRCT2,CI' 'active' '13424' 'Dependency check' 'active' '26111218' 'Localisation Merge' 'active' '159919,
restify/node-restify,ci' 'active' '1713513' 'release-please' 'active' '1712861,
tariqbuilds/linux-dash,,
google/go-cloud,tests' 'active' '12681839' 'pages-build-deployment' 'active' '17819656,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
coturn/coturn,CMake' 'active' '32572964' 'Docker CI' 'active' '8030445' 'Lint' 'active' '31773791' 'C/C++ CI macoS' 'active' '39077234' 'mingw' 'active' '24083510' 'msvc' 'active' '24083509' 'OpenSSL-3.0 Compatibility' 'active' '33306217' '.github/workflows/openssl-versions.yml' 'active' '33305725' 'C/C++ CI' 'active' '33570684' 'C/C++ CI' 'active' '31066714,
adnanh/webhook,build' 'active' '2818805,
Kitura/Kitura,pages-build-deployment' 'active' '24644373,
webpack/webpack-dev-server,Cancel' 'active' '32400499' 'Dependency Review' 'active' '37828563' 'webpack-dev-server' 'active' '986822,
seanmonstar/warp,CI' 'active' '48469,
puma/puma,Check Changelog' 'active' '72948' 'Puma' 'active' '167328' 'MRI 4-3-stable' 'active' '974580' 'MRI' 'active' '2794836' 'non_MRI' 'active' '2795759' 'ragel' 'active' '24244134' 'Tests' 'active' '25279272' 'Rack_v2' 'active' '34217942' 'Skip Duplicate Workflow Runs' 'active' '39385098' 'turbo-rails' 'active' '40392540' 'Ensure pull requests are labeled' 'active' '44602714,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn               SSuuppppoorrtteedd' 'Latest release in x       ' 'Latest release in x       ' 'All other releases          ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Contact Evan Phoenix
egametang/ET,pages-build-deployment' 'active' '16649347,
sj26/mailcatcher,CI' 'active' '11240950,
vibora-io/vibora,,
ponzu-cms/ponzu,,
processone/ejabberd,CI' 'active' '9420559' 'Container' 'active' '25285613' 'Runtime' 'active' '25285614' 'Installers' 'active' '25396438' 'CI (19.3)' 'active' '34158127,
linuxserver/Heimdall,Tests (PHP)' 'active' '40493392,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x   ' '    ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'You can report any vulnerabilities on our discord server by DMing a team' 'member or asking a team member to DM you' 'httpsdiscordcominviteYWrKVTn
mumble-voip/mumble,Build' 'active' '3910254' 'PR-Checks' 'active' '8264666' 'Code Scanning - Action' 'active' '10441290' 'Dispatch new release' 'active' '25664804' 'Find and close stale issues' 'active' '34361681' 'Publish to WinGet' 'active' '34563730' 'Backport PRs' 'active' '44574179,SSuuppppoorrtteedd VVeerrssiioonnss' 'We always support our latest stable feature version' 'Depending on the state of the project version and environments we may patch' 'older versions or support multiple feature versions' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report vulnerabilities in private to securitymumbleinfo' 'We will do our best to respond verify them and resolve them as quickly as' 'possible' 'SSeeccuurriittyy AAddvviissoorriieess' 'Our security advisories are published at httpswwwmumbleinfosecurity
kbengine/kbengine,,
shazow/ssh-chat,Go' 'active' '1171531,
cuberite/cuberite,,
mockoon/mockoon,CI' 'active' '32343' 'CI' 'active' '192997' 'Release desktop' 'active' '22791881' 'Release libs (NPM)' 'active' '43870603,
vespa-engine/vespa,CodeQL' 'active' '24816516,
causefx/Organizr,Lock closed stale issue' 'active' '5223091' 'Close stale issues' 'active' '5223092,
svenstaro/miniserve,CI' 'active' '1945066' 'Build/publish release' 'active' '34916216,
gluster/glusterfs,,
redfin/react-server,,
davyxu/cellnet,,
simov/grant,Test' 'active' '16972173,
ionorg/ion,go-mod-fix' 'active' '1284363' 'lint all' 'active' '3919463' 'build' 'active' '3926282' 'islb docker' 'active' '3926285' 'sfu docker' 'active' '3926286' 'app-room docker' 'active' '14664220' 'signal docker' 'active' '14945754,
hhxsv5/laravel-s,,
httpswift/swifter,Danger' 'active' '999014' 'Test Linux Platform' 'active' '998948' 'Test OS X Platform' 'active' '999066,
boostorg/beast,CI' 'active' '6886911,
ssbc/patchwork,Node.js CI' 'active' '5243901' 'Prepare Release' 'active' '5434635,
GameServerManagers/LinuxGSM,Github to Bitbucket sync' 'active' '1217461' 'jc2server' 'active' '1881506' 'rustserver' 'active' '1903940' 'Lock Threads' 'active' '4479236' 'Issue Labeler' 'active' '5894024' 'vhserver' 'active' '7734803' 'mcserver' 'active' '7735696' 'Version Check' 'active' '10925278' 'Label sponsors' 'active' '13639506' 'Potential Duplicates' 'active' '14076325' 'Lint Code Base' 'active' '27397304' 'gameserver' 'active' '27399368' 'Update copyright year(s) in license file' 'active' '36655946' 'Codacy Security Scan' 'active' '37878017' 'Lint Code Base' 'active' '37878020' 'Trigger Docker Build' 'active' '39029366' 'codacy-coverage-reporter' 'disabled_manually' '2890664' 'download-test' 'disabled_manually' '2895839,
dimatill/graphql-shield,CI' 'active' '10411826' 'pr' 'active' '36460069' 'Release' 'active' '10411827' 'website' 'active' '36023033,
pistacheio/pistache,abidiff' 'active' '20683770' 'autopkgtest' 'active' '10825621' 'conventional-commits' 'active' '13215343' 'linux' 'active' '26559663' 'pistache.io' 'active' '5670664' 'reuse' 'active' '10785848' 'RPM Lint' 'active' '14570022' 'pages-build-deployment' 'active' '19860398,
