author_repo,wf_contents,security_policy
frappe/erpnext,Trigger Docker build on release' 'active' '1599233' 'Documentation Required' 'active' '2984871' 'CI' 'active' '6592763' 'Semgrep' 'active' '6677711' 'Patch' 'active' '8876473' 'Server' 'active' '8876474' 'Linters' 'active' '12734477' 'Server' 'active' '15206628' 'Server (Mariadb)' 'active' '17226354' 'Server (Postgres)' 'active' '17226355' 'Pull Request Labeler' 'active' '17630042' 'Generate Semantic Release' 'active' '24327593' 'Semantic Commits' 'active' '30529740' 'Create weekly release pull requests' 'active' '34168133' 'Backport' 'disabled_manually' '603094' 'UI' 'disabled_manually' '9939074,The ERPNext team and community take security issues seriously To report a' 'security issue fill out the form at httpserpnextcomsecurityreport' 'You can help us make ERPNext and all its users more secure by following the' 'Reporting guidelines' 'We appreciate your efforts to responsibly disclose your findings Well' 'endeavor to respond quickly and will keep you updated throughout the process
zammad/zammad,build-docker-compose-images' 'active' '693461' 'build-docker-image' 'active' '692008' 'CI' 'active' '695964' 'docker-ci' 'active' '39750023' 'docker-release' 'active' '39810360,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn  SSuuppppoorrtteedd' 'x    ' ' x ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If youve found a security vulnerability in Zammad please report the' 'vulnerability exclusively via email to securityzammadcom' 'We will get back to you as soon as possible and inform you about the next' 'steps Accepted vulnerabilities will be disclosed via patch level release with' 'accompanying security advisory' 'RReewwaarrddss' 'Every first reporter of a vulnerability may be credited in the related security' 'advisory' 'Zammad does not offer financial compensation through a security bounty program
helpyio/helpy,,If you discover a security issue in Helpy please ddoo nnoott ooppeenn aann iissssuuee' 'Instead you should either email hellohelpyiomailto hellohelpyio or' 'join us in Slack and contact me Scott Miller directly' 'Please provide detailed information in your email with instructions' 'screenshots also helpful of how to reproduce the issue and any ideas on how' 'best to mitigate will also be helpful' 'SSeeccuurriittyy HHaallll ooff FFaammee' 'This section is reserved for individuals and organizations who have reported' 'security issues When you report a verified security problem you will have the' 'option of being listed here for all to thank' '     Joan Bono joanbono
freescout-helpdesk/freescout,,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Email at supportfreescoutnet
django-helpdesk/django-helpdesk,Python package' 'active' '30651908,SSuuppppoorrtteedd VVeerrssiioonnss' 'The following chart shows versions of djangohelpdesk that are currently' 'receiving bugfixes and security patches' 'VVeerrssiioonn SSuuppppoorrtt HHiissttoorryy LLaasstt DDaattee ooff SSuuppppoorrtt' 'x                  will be set after release of ' 'x                  ' '                   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you believe you have discovered a bug impacting security in a supported' 'version please DO NOT file a Issue  Bug Report for it publicly' 'Instead please send details to garretwassiversecom Please be sure to' 'include djangohelpdesk security issue in the subject line for fastest' 'response' 'Once reported well be in touch to confirm the issue and work toward releasing' 'a patch as soon as possible' 'After a patch has been released a new release will be tagged and uploaded to' 'PyPi etc At that time details of the issue will be announced publicly' 'Users are always highly encouraged to upgrade to the latest bugfix release as' 'soon as possible
BadChoice/handesk,,If you discover any security related issues please email hellocodepassionio' 'instead of using the issue tracker
mattmezza/vue-beautiful-chat,Greetings' 'active' '1558325,
polonel/trudesk,,
opensupports/opensupports,run-tests' 'active' '25378764,This document is intended to provide a guide to properly disclosure security' 'issues found in our open source software' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you find a vulnerability or potential security issue in OpenSupports Please' 'contact us at contactopensupportscom' 'We will acknowledge your email within  hours and will send a more detailed' 'response within  hours indicating the next steps in handling your report' 'After the initial reply to your report we will endeavor to keep you informed' 'of the progress towards a fix and full announcement and may ask for additional' 'information or guidance' 'DDiisscclloossuurree PPoolliiccyy' 'When we receive a security bug report we will assign it to a primary handler' 'This person will coordinate the fix and release process involving the' 'following steps' '     Confirm the problem and determine the affected versions' '     Audit code to find any potential similar problems' '     Prepare fixes for all releases still under maintenance These fixes will' '      be released as fast as possible in a new OpenSupports version
bestpractical/rt,.github/workflows/github-action.yml' 'active' '4746614,
