author_repo,wf_contents,security_policy
ohmyzsh/ohmyzsh,Triage Pull Request' 'active' '148722' 'CI' 'active' '493439' 'Project tracking' 'active' '17209357,SSuuppppoorrtteedd VVeerrssiioonnss' 'At the moment Oh My Zsh only considers the very latest commit to be supported' 'We combine that with our fast response to incidents and the automated updates' 'to minimize the time between vulnerability publication and patch release' 'VVeerrssiioonn       SSuuppppoorrtteedd' 'master        ' 'other commits ' 'In the near future we will introduce versioning so expect this section to' 'change' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'DDoo nnoott ssuubbmmiitt aann iissssuuee oorr ppuullll rreeqquueesstt this might reveal the vulnerability' 'Instead you should email the maintainers directly at sseeccuurriittyyoohhmmyyzzsshh' 'We will deal with the vulnerability privately and submit a patch as soon as' 'possible' 'You can also submit your vulnerability report to huntrdev and see if you can' 'get a bounty reward
microsoft/terminal,.github/workflows/linter.yml' 'active' '2583189' 'Spell checking' 'active' '11262200' 'Add triaged bugs & tasks to project board' 'active' '34898560' 'Spell checking' 'disabled_manually' '856400,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and' 'many more' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts definition of a security vulnerability' 'please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send email to securemicrosoftcom' 'If possible encrypt your message with our PGP key please download it from the' 'Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
alacritty/alacritty,CI' 'active' '3431868' 'Release' 'active' '3431869,
tldr-pages/tldr,CI' 'active' '1700977' 'Codespell' 'active' '32384006' 'PR Labeler' 'active' '15479834' 'Main Mirror' 'active' '6508373' 'Manage stale issues' 'active' '1885161,
Eugeny/tabby,Docs' 'active' '295' 'macOS Build' 'active' '165351' 'Package-Build' 'active' '10999054' 'tagged-release' 'active' '11584869' 'CodeQL' 'active' '14774417' 'issue-translator' 'active' '18893599,
Textualize/rich,codespell' 'active' '10334017' 'issues' 'active' '12616467' 'lint_python' 'active' '10332602' 'issues' 'active' '41834610' 'Run pre-commit checks' 'active' '34004064' 'Test Rich module' 'active' '76505' 'README.md Changed' 'active' '8326982,To report a security vulnerability please use the Tidelift security contact' 'Tidelift will coordinate the fix and disclosure
vercel/hyper,CodeQL' 'active' '3876334' 'Comment e2e test screenshots on PR' 'active' '14134059' 'Node CI' 'active' '272846,If you believe you have found a security vulnerability in Nextjs we encourage' 'you to let us know right away' 'We will investigate all legitimate reports and do our best to quickly fix the' 'problem' 'Email responsibledisclosurevercelcom to disclose any security' 'vulnerabilities' 'httpsvercelcomsecurity
sharkdp/bat,CICD' 'active' '1455323' 'Toxicity check' 'active' '8406321,
GitSquared/edex-ui,Build packaged binaries' 'active' '3849248' 'CodeQL' 'active' '9130199,SSuuppppoorrtteedd VVeerrssiioonnss' 'We support the latest released version and the current development version' 'master branch' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If youre concerned about a potential or proven security vulnerability in this' 'software please get in touch by sending an email at gabrielsaillarddev' 'If your email subject contains the SECURITY tag you will be surfaced to the' 'front of my inbox and should expect a response in  hours or less The link' 'above will set you up with a subject template
chubin/cheat.sh,Differential ShellCheck' 'active' '34579346' 'Ubuntu Tests' 'active' '2960959,
