author_repo,wf_contents,security_policy
neovim/neovim,CI' 'active' '3822072' 'Release' 'active' '4054572' 'vim-patches' 'active' '8558280' 'Pull Request Labeler' 'active' '9148610' 'Autogenerate API docs' 'active' '9793006' 'Backport' 'active' '10260821' 'Request reviews' 'active' '19675244' 'Missing API docs' 'active' '22282362' 'Remove reviewers' 'active' '23032145' 'Close stale issues and PRs' 'active' '39165855' 'news.txt check' 'active' '41071741' 'Commit Linter' 'active' '41953701' 'Remove reviewers' 'active' '41954233' 'Request reviews' 'active' '41954234' 'CodeQL' 'active' '41954235' 'Coverity' 'active' '41954236' 'New feature' 'active' '43665705,neovimsecurityadvisoriesnew
junegunn/fzf,Test fzf on Linux' 'active' '4916903' 'CodeQL' 'active' '5453195' 'Dependency Review' 'active' '26109826' 'Differential ShellCheck' 'active' '33632646' 'Test fzf on macOS' 'disabled_manually' '4916904,
LeCoupa/awesome-cheatsheets,,
junegunn/vim-plug,Test vim-plug' 'active' '15970476,
vim/vim,GitHub CI' 'active' '4081728' 'CodeQL' 'active' '2804156' 'Coverity' 'active' '11997784,
ycm-core/YouCompleteMe,CI' 'active' '8338350' 'Lock Old Issues' 'active' '8737624' 'Update vim docs' 'active' '40320707,
syl20bnr/spacemacs,Automatic Rebase' 'active' '378556' 'Mark stale issues and pull requests' 'active' '650679' 'elisp tests' 'active' '2406728,
neoclide/coc.nvim,Dev' 'active' '5765' 'Lint' 'active' '12555492,
SpaceVim/SpaceVim,Detach Plugins' 'active' '5854534' 'Async SpaceVim wiki' 'active' '5873720' 'test' 'active' '5853598' 'docker' 'active' '12000463' 'reviewdog' 'active' '5853267' 'mirror' 'active' '12557254' 'pages-build-deployment' 'active' '17012690,
preservim/nerdtree,Vint' 'active' '102111,
helix-editor/helix,Build' 'active' '8953228' 'Cachix' 'active' '20899013' 'Changelog Check' 'active' '36903861' 'Github Pages' 'active' '9664484' 'Categorize new items' 'active' '43797335' 'Release' 'active' '8915907' 'pages-build-deployment' 'active' '16398127,
vim-airline/vim-airline,CI' 'active' '4134938' 'reviewdog' 'active' '513380,
