author_repo,wf_contents,security_policy
storybookjs/storybook,Unit tests' 'active' '14458' 'CLI tests' 'active' '14459' 'Puppeteer & A11y tests' 'active' '14461' 'Automention PRs' 'active' '14911' 'Dangerfile JS Pull' 'active' '14912' 'Dangerfile JS Pull' 'active' '127452' 'Trigger CircleCI workflow' 'active' '3911051' 'Danger JS' 'active' '7958226' 'Generate And Push Repros' 'active' '12422119' 'Handle Release Branches' 'active' '14886250' 'Export to linear' 'active' '15268250' 'Markdown Links Check' 'active' '22587517' 'Generate and push repros to the next branch' 'active' '31265784' 'Generate And Push Repros' 'disabled_manually' '31138867,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn       SSuuppppoorrtteedd' '   ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability you can reach out to the maintainers directly on' 'Twitter httpstwittercomstorybookjs' 'When we fix a security issue we will post a security advisory on GithubNPM' 'describe the change in the release notes and also announce notify the' 'community on our Discord
Polymer/polymer,,
Tencent/omi,pages-build-deployment' 'active' '27656898,
rough-stuff/wired-elements,,
microsoft/fast,Deploy Documentation (staging)' 'active' '16015582' 'Validate Platforms/Browsers' 'active' '16015584' 'Validate PRs' 'active' '16015586' 'Deploy Color Explorer' 'active' '16015786' 'Deploy CDN' 'active' '16019281' 'Deploy Documentation (production)' 'active' '16019282' 'Release NPM Packages' 'active' '16019283' 'Fast Element benchmark jobs' 'active' '26769507' 'Validate Benchmarks' 'active' '27453244' 'Run Benchmarks' 'disabled_manually' '26229513,Microsoft takes the security of our software products and services seriously' 'which includes all source code repositories managed through our GitHub' 'organizations which include Microsoft Azure DotNet AspNet Xamarin and our' 'GitHub organizations' 'If you believe you have found a security vulnerability in any Microsoftowned' 'repository that meets Microsofts Microsofts definition of a security' 'vulnerability please report it to us as described below' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'Instead please report them to the Microsoft Security Response Center MSRC at' 'httpsmsrcmicrosoftcomcreatereport' 'If you prefer to submit without logging in send an email to' 'securemicrosoftcom If possible encrypt your message with our PGP key' 'Please download it from the Microsoft Security Response Center PGP Key page' 'You should receive a response within  hours If for some reason you do not' 'please follow up via email to ensure we received your original message' 'Additional information can be found at microsoftcommsrc' 'Please include the requested information listed below as much as you can' 'provide to help us better understand the nature and scope of the possible' 'issue' '     Type of issue eg buffer overflow SQL injection crosssite scripting' '      etc' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'If you are reporting for a bug bounty more complete reports can contribute to' 'a higher bounty award Please visit our Microsoft Bug Bounty Program page for' 'more details about our active programs' 'PPrreeffeerrrreedd LLaanngguuaaggeess' 'We prefer all communications to be in English' 'PPoolliiccyy' 'Microsoft follows the principle of Coordinated Vulnerability Disclosure
vmware/clarity,Build' 'active' '603587' 'Dev' 'active' '604056' 'Website' 'active' '604058' 'Lock threads' 'active' '2304673' 'Stale threads' 'active' '2613195' 'CheckLinks' 'active' '5347670,The community has adopted this security disclosure and response policy to' 'ensure we responsibly handle critical issues' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'For a list of support versions that this project will potentially create' 'security fixes for please refer to the Releases page on this projects GitHub' 'andor project related documentation on release cadence and support' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy  PPrriivvaattee DDiisscclloossuurree PPrroocceessss' 'Security is of the highest importance and all security vulnerabilities or' 'suspected security vulnerabilities should be reported to this project' 'privately to minimize attacks against current users before they are fixed' 'Vulnerabilities will be investigated and patched on the next patch or minor' 'release as soon as possible This information could be kept entirely internal' 'to the project' 'If you know of a publicly disclosed security vulnerability for this project' 'please IIMMMMEEDDIIAATTEELLYY contact the maintainers of this project privately The use' 'of encrypted email is encouraged' 'IIMMPPOORRTTAANNTT DDoo nnoott ffiillee ppuubblliicc iissssuueess oonn GGiittHHuubb ffoorr sseeccuurriittyy vvuullnneerraabbiilliittiieess' 'To report a vulnerability or a securityrelated issue please contact the' 'maintainers with enough details through one of the following channels' '     Directly via their individual email addresses' '     Open a GitHub Security Advisory This allows for anyone to report' '      security vulnerabilities directly and privately to the maintainers via' '      GitHub Note that this option may not be present for every repository' 'The report will be fielded by the maintainers who have committer and release' 'permissions Feedback will be sent within  business days including a detailed' 'plan to investigate the issue and any potential workarounds to perform in the' 'meantime' 'Do not report nonsecurityimpacting bugs through this channel Use GitHub' 'issues for all nonsecurityimpacting bugs' 'PPrrooppoosseedd RReeppoorrtt CCoonntteenntt' 'Provide a descriptive title and in the description of the report include the' 'following information' '     Basic identity information such as your name and your affiliation or' '      company' '     Detailed steps to reproduce the vulnerability POC scripts screenshots' '      and logs are all helpful to us' '     Description of the effects of the vulnerability on this project and the' '      related hardware and software configurations so that the maintainers can' '      reproduce it' '     How the vulnerability affects this projects usage and an estimation of' '      the attack surface if there is one' '     List other projects or dependencies that were used in conjunction with' '      this project to produce the vulnerability' 'WWhheenn ttoo rreeppoorrtt aa vvuullnneerraabbiilliittyy' '     When you think this project has a potential security vulnerability' '     When you suspect a potential vulnerability but you are unsure that it' '      impacts this project' '     When you know of or suspect a potential vulnerability on another project' '      that is used by this project' 'PPaattcchh RReelleeaassee aanndd DDiisscclloossuurree' 'The maintainers will respond to vulnerability reports as follows' '    The maintainers will investigate the vulnerability and determine its' '      effects and criticality' '    If the issue is not deemed to be a vulnerability the maintainers will' '      follow up with a detailed reason for rejection' '    The maintainers will initiate a conversation with the reporter within ' '      business days' '    If a vulnerability is acknowledged and the timeline for a fix is' '      determined the maintainers will work on a plan to communicate with the' '      appropriate community including identifying mitigating steps that' '      affected users can take to protect themselves until the fix is rolled' '      out' '    The maintainers will also create a Security Advisory using the CVSS' '      Calculator if it is not created yet The maintainers make the final call' '      on the calculated CVSS it is better to move quickly than making the CVSS' '      perfect Issues may also be reported to Mitre using this scoring' '      calculator The draft advisory will initially be set to private' '    The maintainers will work on fixing the vulnerability and perform' '      internal testing before preparing to roll out the fix' '    Once the fix is confirmed the maintainers will patch the vulnerability' '      in the next patch or minor release and backport a patch release into all' '      earlier supported releases' 'PPuubblliicc DDiisscclloossuurree PPrroocceessss' 'The maintainers publish the public advisory to this projects community via' 'GitHub In most cases additional communication via Slack Twitter mailing' 'lists blog and other channels will assist in educating the projects users' 'and rolling out the patched release to affected users' 'The maintainers will also publish any mitigating steps users can take until the' 'fix can be applied to their instances This projects distributors will handle' 'creating and publishing their own security advisories' 'CCoonnffiiddeennttiiaalliittyy iinntteeggrriittyy aanndd aavvaaiillaabbiilliittyy' 'We consider vulnerabilities leading to the compromise of data confidentiality' 'elevation of privilege or integrity to be our highest priority concerns' 'Availability in particular in areas relating to DoS and resource exhaustion' 'is also a serious security concern The maintainer team takes all' 'vulnerabilities potential vulnerabilities and suspected vulnerabilities' 'seriously and will investigate them in an urgent and expeditious manner' 'Note that we do not currently consider the default settings for this project to' 'be securebydefault It is necessary for operators to explicitly configure' 'settings role based access control and other resource related features in' 'this project to provide a hardened environment We will not act on any security' 'disclosure that relates to a lack of safe defaults Over time we will work' 'towards improved safebydefault configuration taking into account backwards' 'compatibility
andreasbm/web-skills,,
skatejs/skatejs,,
github/relative-time-element,Publish' 'active' '22613591' 'Node CI' 'active' '1422001' 'pages-build-deployment' 'active' '19744948,SSeeccuurriittyy' 'GitHub takes the security of our software products and services seriously' 'including all of the open source code repositories managed through our GitHub' 'organizations such as GitHub' 'Even though open source repositories are outside of the scope of our bug bounty' 'program and therefore not eligible for bounty rewards we will ensure that your' 'finding gets passed along to the appropriate maintainers for remediation' 'RReeppoorrttiinngg SSeeccuurriittyy IIssssuueess' 'If you believe you have found a security vulnerability in any GitHubowned' 'repository please report it to us through coordinated disclosure' 'PPlleeaassee ddoo nnoott rreeppoorrtt sseeccuurriittyy vvuullnneerraabbiilliittiieess tthhrroouugghh ppuubblliicc GGiittHHuubb iissssuueess' 'ddiissccuussssiioonnss oorr ppuullll rreeqquueessttss' 'Instead please send an email to opensourcesecuritygithubcom' 'Please include as much of the information listed below as you can to help us' 'better understand and resolve the issue' '     The type of issue eg buffer overflow SQL injection or crosssite' '      scripting' '     Full paths of source files related to the manifestation of the issue' '     The location of the affected source code tagbranchcommit or direct' '      URL' '     Any special configuration required to reproduce the issue' '     Stepbystep instructions to reproduce the issue' '     Proofofconcept or exploit code if possible' '     Impact of the issue including how an attacker might exploit the issue' 'This information will help us triage your report more quickly' 'PPoolliiccyy' 'See GitHubs Safe Harbor Policy
yued-fe/lulu,pages-build-deployment' 'active' '16604607,
